symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"STI","2015-01-02T00:00:00-05:00","2015-01-02","39.67713","39.88388","38.77495","39.21664","2735560",""
"STI","2015-01-05T00:00:00-05:00","2015-01-05","39.01929","39.09447","37.60963","37.81638","4894065",""
"STI","2015-01-06T00:00:00-05:00","2015-01-06","37.78819","37.94795","36.45372","36.72625","5638182",""
"STI","2015-01-07T00:00:00-05:00","2015-01-07","37.00818","37.13975","36.55709","37.11156","4567283",""
"STI","2015-01-08T00:00:00-05:00","2015-01-08","37.40288","37.82578","37.3559","37.7506","4446934",""
"STI","2015-01-09T00:00:00-05:00","2015-01-09","37.71301","37.71301","36.48191","36.48191","3585873",""
"STI","2015-01-12T00:00:00-05:00","2015-01-12","36.37853","36.48191","35.79588","36.0966","4386707",""
"STI","2015-01-13T00:00:00-05:00","2015-01-13","36.40673","36.57588","35.50454","35.78648","4301473",""
"STI","2015-01-14T00:00:00-05:00","2015-01-14","35.33538","35.51394","34.56477","35.11924","5531986",""
"STI","2015-01-15T00:00:00-05:00","2015-01-15","34.95008","35.19442","34.32043","34.49899","6317390",""
"STI","2015-01-16T00:00:00-05:00","2015-01-16","35.45756","36.40673","35.04406","35.88985","8076330",""
"STI","2015-01-20T00:00:00-05:00","2015-01-20","36.05901","36.0872","35.41057","35.62672","5223719",""
"STI","2015-01-21T00:00:00-05:00","2015-01-21","35.51394","36.22817","35.42936","36.14359","6072650",""
"STI","2015-01-22T00:00:00-05:00","2015-01-22","36.41612","37.53445","36.13419","37.45927","6577454",""
"STI","2015-01-23T00:00:00-05:00","2015-01-23","37.43108","37.7318","37.05517","37.07396","4689121",""
"STI","2015-01-26T00:00:00-05:00","2015-01-26","36.933","37.50626","36.81083","37.42168","3965115",""
"STI","2015-01-27T00:00:00-05:00","2015-01-27","36.86721","37.20553","36.68866","36.82962","4301154",""
"STI","2015-01-28T00:00:00-05:00","2015-01-28","37.04577","37.12095","35.86166","35.86166","6153521",""
"STI","2015-01-29T00:00:00-05:00","2015-01-29","36.03082","36.65107","35.77708","36.55709","4570475",""
"STI","2015-01-30T00:00:00-05:00","2015-01-30","36.12479","36.79203","35.98383","36.106","7766467",""
"STI","2015-02-02T00:00:00-05:00","2015-02-02","36.35974","36.9424","36.00262","36.87661","3700369",""
"STI","2015-02-03T00:00:00-05:00","2015-02-03","37.11156","37.46867","37.05517","37.3371","4766161",""
"STI","2015-02-04T00:00:00-05:00","2015-02-04","37.28071","37.53445","37.13035","37.20553","3530115",""
"STI","2015-02-05T00:00:00-05:00","2015-02-05","37.41228","38.03253","37.39349","37.88217","2626810",""
"STI","2015-02-06T00:00:00-05:00","2015-02-06","38.35205","39.21664","38.25808","38.68097","5089431",""
"STI","2015-02-09T00:00:00-05:00","2015-02-09","38.33326","38.5682","38.12651","38.24868","2558389",""
"STI","2015-02-10T00:00:00-05:00","2015-02-10","38.58699","38.62458","38.11711","38.49302","2487734",""
"STI","2015-02-11T00:00:00-05:00","2015-02-11","38.35205","38.51181","38.07012","38.32386","2013682",""
"STI","2015-02-12T00:00:00-05:00","2015-02-12","38.58699","39.07568","38.37085","39.05688","3262710",""
"STI","2015-02-13T00:00:00-05:00","2015-02-13","39.24483","39.47038","38.92531","39.06628","2826752",""
"STI","2015-02-17T00:00:00-05:00","2015-02-17","38.87832","39.17905","38.60579","39.16025","2635110",""
"STI","2015-02-18T00:00:00-05:00","2015-02-18","39.12267","39.12267","38.43663","38.50241","3312403",""
"STI","2015-02-19T00:00:00-05:00","2015-02-19","38.39904","38.53061","38.06072","38.22048","4002145",""
"STI","2015-02-20T00:00:00-05:00","2015-02-20","38.05133","38.62458","37.77879","38.60579","3204078",""
"STI","2015-02-23T00:00:00-05:00","2015-02-23","38.47422","38.59639","38.24868","38.52121","2248526",""
"STI","2015-02-24T00:00:00-05:00","2015-02-24","38.58699","39.16025","38.5494","38.95351","2651710",""
"STI","2015-02-25T00:00:00-05:00","2015-02-25","38.99128","39.15181","38.85907","39.01017","2738457",""
"STI","2015-02-26T00:00:00-05:00","2015-02-26","38.92518","39.03849","38.67021","38.8874","2480707",""
"STI","2015-02-27T00:00:00-05:00","2015-02-27","38.78353","38.99128","38.67021","38.71742","3359110",""
"STI","2015-03-02T00:00:00-05:00","2015-03-02","38.78353","39.02905","38.52856","38.97239","3604893",""
"STI","2015-03-03T00:00:00-05:00","2015-03-03","38.87796","39.13293","38.74575","39.11404","2802629",""
"STI","2015-03-04T00:00:00-05:00","2015-03-04","38.84019","38.93462","38.61355","38.67965","2719607",""
"STI","2015-03-05T00:00:00-05:00","2015-03-05","38.65132","39.01961","38.32081","38.92518","3125928",""
"STI","2015-03-06T00:00:00-05:00","2015-03-06","39.09516","40.03004","39.05738","39.5862","5863962",""
"STI","2015-03-09T00:00:00-04:00","2015-03-09","39.5201","39.84117","39.40678","39.74674","2793628",""
"STI","2015-03-10T00:00:00-04:00","2015-03-10","39.2368","39.33124","38.84019","38.84963","3154202",""
"STI","2015-03-11T00:00:00-04:00","2015-03-11","38.98183","39.2368","38.84963","39.1046","2191718",""
"STI","2015-03-12T00:00:00-04:00","2015-03-12","39.5201","40.36055","39.5201","40.34167","3681879",""
"STI","2015-03-13T00:00:00-04:00","2015-03-13","40.28501","40.34167","39.54843","40.06781","2608523",""
"STI","2015-03-16T00:00:00-04:00","2015-03-16","40.21891","40.41721","40.04893","40.39833","2655646",""
"STI","2015-03-17T00:00:00-04:00","2015-03-17","40.14336","40.52109","39.93561","40.52109","3448062",""
"STI","2015-03-18T00:00:00-04:00","2015-03-18","40.31334","40.82327","39.77507","40.18113","6265200",""
"STI","2015-03-19T00:00:00-04:00","2015-03-19","40.0867","40.1528","39.41623","39.78452","3700305",""
"STI","2015-03-20T00:00:00-04:00","2015-03-20","40.03004","40.37","39.85062","40.28501","3692998",""
"STI","2015-03-23T00:00:00-04:00","2015-03-23","40.31334","40.42666","39.59565","39.59565","4102602",""
"STI","2015-03-24T00:00:00-04:00","2015-03-24","39.59565","39.72786","39.22736","39.2368","3886893",""
"STI","2015-03-25T00:00:00-04:00","2015-03-25","39.09516","39.13293","38.28304","38.28304","6149774",""
"STI","2015-03-26T00:00:00-04:00","2015-03-26","38.24526","38.67021","37.96196","38.43413","3519118",""
"STI","2015-03-27T00:00:00-04:00","2015-03-27","38.41524","38.50967","38.08473","38.29248","2237677",""
"STI","2015-03-30T00:00:00-04:00","2015-03-30","38.51912","39.02905","38.50023","38.84019","2146607",""
"STI","2015-03-31T00:00:00-04:00","2015-03-31","38.60411","38.89685","38.43413","38.80241","2816925",""
"STI","2015-04-01T00:00:00-04:00","2015-04-01","38.24526","38.69854","38.1886","38.56633","2948659",""
"STI","2015-04-02T00:00:00-04:00","2015-04-02","38.57578","39.14237","38.50023","39.06683","3058155",""
"STI","2015-04-06T00:00:00-04:00","2015-04-06","38.67021","39.08571","38.36802","38.79297","3301821",""
"STI","2015-04-07T00:00:00-04:00","2015-04-07","38.79297","39.13293","38.78353","38.89685","1989987",""
"STI","2015-04-08T00:00:00-04:00","2015-04-08","39.05738","39.2368","38.80241","39.06683","2810148",""
"STI","2015-04-09T00:00:00-04:00","2015-04-09","38.93462","39.27458","38.76464","39.19903","1885045",""
"STI","2015-04-10T00:00:00-04:00","2015-04-10","39.1707","39.27458","39.01961","39.18959","1516846",""
"STI","2015-04-13T00:00:00-04:00","2015-04-13","39.09516","39.5862","39.09516","39.57676","2897618",""
"STI","2015-04-14T00:00:00-04:00","2015-04-14","39.48233","39.55788","39.14237","39.33124","3605846",""
"STI","2015-04-15T00:00:00-04:00","2015-04-15","39.36901","40.07726","39.29346","39.90728","3210645",""
"STI","2015-04-16T00:00:00-04:00","2015-04-16","39.81284","39.94505","39.36901","39.78452","2217557",""
"STI","2015-04-17T00:00:00-04:00","2015-04-17","39.50122","39.64286","39.01961","39.1046","3417564",""
"STI","2015-04-20T00:00:00-04:00","2015-04-20","39.57676","39.71841","39.20847","39.44456","4823539",""
"STI","2015-04-21T00:00:00-04:00","2015-04-21","39.5201","39.76563","38.94407","39.16126","5760396",""
"STI","2015-04-22T00:00:00-04:00","2015-04-22","39.18959","39.32179","38.73631","39.11404","4485732",""
"STI","2015-04-23T00:00:00-04:00","2015-04-23","38.89685","38.97239","38.58522","38.63243","4901689",""
"STI","2015-04-24T00:00:00-04:00","2015-04-24","38.49078","38.55689","38.15083","38.21693","3807577",""
"STI","2015-04-27T00:00:00-04:00","2015-04-27","38.42468","38.91573","38.28304","38.36802","2943576",""
"STI","2015-04-28T00:00:00-04:00","2015-04-28","38.39635","38.87796","38.20749","38.85907","2881627",""
"STI","2015-04-29T00:00:00-04:00","2015-04-29","38.73631","39.55788","38.72686","39.37845","3539450",""
"STI","2015-04-30T00:00:00-04:00","2015-04-30","39.29346","39.48233","38.96295","39.18959","4210192",""
"STI","2015-05-01T00:00:00-04:00","2015-05-01","39.42567","39.51066","39.05738","39.35957","2883110",""
"STI","2015-05-04T00:00:00-04:00","2015-05-04","39.40678","40.0867","39.33124","40.0867","4141254",""
"STI","2015-05-05T00:00:00-04:00","2015-05-05","39.90728","40.47387","39.81284","39.82228","5194173",""
"STI","2015-05-06T00:00:00-04:00","2015-05-06","39.96394","40.11503","39.22736","39.53899","2359668",""
"STI","2015-05-07T00:00:00-04:00","2015-05-07","39.46344","39.5862","39.1707","39.41623","2007354",""
"STI","2015-05-08T00:00:00-04:00","2015-05-08","39.66175","40.0206","39.37845","40.00171","2074810",""
"STI","2015-05-11T00:00:00-04:00","2015-05-11","39.93561","40.41721","39.82228","40.27557","2347702",""
"STI","2015-05-12T00:00:00-04:00","2015-05-12","40.12447","40.39833","39.7373","40.28501","2581308",""
"STI","2015-05-13T00:00:00-04:00","2015-05-13","40.21891","40.60608","40.0206","40.51165","1834639",""
"STI","2015-05-14T00:00:00-04:00","2015-05-14","40.68163","40.74773","40.28501","40.39833","2317099",""
"STI","2015-05-15T00:00:00-04:00","2015-05-15","40.45499","40.52109","39.56732","39.8034","2205696",""
"STI","2015-05-18T00:00:00-04:00","2015-05-18","39.85062","40.47387","39.8034","40.39833","1904212",""
"STI","2015-05-19T00:00:00-04:00","2015-05-19","40.59664","41.23878","40.53998","41.19156","3196137",""
"STI","2015-05-20T00:00:00-04:00","2015-05-20","40.76661","40.95548","40.31334","40.57775","3687068",""
