symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"SWN","2015-01-02T00:00:00-05:00","2015-01-02","27.09","27.42","26.66","27.17","7326400",""
"SWN","2015-01-05T00:00:00-05:00","2015-01-05","26.86","27.05","25.7","26.01","13336300",""
"SWN","2015-01-06T00:00:00-05:00","2015-01-06","25.8","26.2","24.69","24.71","12461700",""
"SWN","2015-01-07T00:00:00-05:00","2015-01-07","24.91","24.96","24.09","24.24","11652900",""
"SWN","2015-01-08T00:00:00-05:00","2015-01-08","24.64","25.14","24.05","25.07","11383100",""
"SWN","2015-01-09T00:00:00-05:00","2015-01-09","24.98","25.13","24.49","24.68","6669900",""
"SWN","2015-01-12T00:00:00-05:00","2015-01-12","23.66","24.39","23.15","24.07","17762300",""
"SWN","2015-01-13T00:00:00-05:00","2015-01-13","24.07","24.29","23.66","24.13","14679800",""
"SWN","2015-01-14T00:00:00-05:00","2015-01-14","23.8","24.07","22.64","23.02","48674100",""
"SWN","2015-01-15T00:00:00-05:00","2015-01-15","23.61","24.44","23.31","23.78","81402400",""
"SWN","2015-01-16T00:00:00-05:00","2015-01-16","23.64","25.02","23.64","25.01","19914200",""
"SWN","2015-01-20T00:00:00-05:00","2015-01-20","24.65","24.85","23.67","24.5","15824000",""
"SWN","2015-01-21T00:00:00-05:00","2015-01-21","24.94","25.62","24.81","25.53","10863100",""
"SWN","2015-01-22T00:00:00-05:00","2015-01-22","25.71","25.72","24.66","25.52","19227700",""
"SWN","2015-01-23T00:00:00-05:00","2015-01-23","25.52","26","25.33","25.35","9405400",""
"SWN","2015-01-26T00:00:00-05:00","2015-01-26","25.46","26.04","25.35","25.8","9404400",""
"SWN","2015-01-27T00:00:00-05:00","2015-01-27","25.66","26.31","25.37","25.56","7593200",""
"SWN","2015-01-28T00:00:00-05:00","2015-01-28","25.32","25.32","24.45","24.7","14013100",""
"SWN","2015-01-29T00:00:00-05:00","2015-01-29","24.8","24.95","23.8","24.28","11636700",""
"SWN","2015-01-30T00:00:00-05:00","2015-01-30","24.01","25.19","23.75","24.79","11937100",""
"SWN","2015-02-02T00:00:00-05:00","2015-02-02","25.17","26.06","25.13","25.96","11503700",""
