symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"SYF","2015-01-02T00:00:00-05:00","2015-01-02","28.99344","29.00317","28.5652","28.69173","595832",""
"SYF","2015-01-05T00:00:00-05:00","2015-01-05","28.5944","28.82799","27.91312","28.46788","1637690",""
"SYF","2015-01-06T00:00:00-05:00","2015-01-06","28.61387","28.64307","27.68927","28.07858","2258695",""
"SYF","2015-01-07T00:00:00-05:00","2015-01-07","28.73066","28.88638","28.13697","28.41922","1402604",""
"SYF","2015-01-08T00:00:00-05:00","2015-01-08","28.74039","29.29515","28.70146","29.17836","857940",""
"SYF","2015-01-09T00:00:00-05:00","2015-01-09","29.26595","29.26595","28.70146","28.90585","490824",""
"SYF","2015-01-12T00:00:00-05:00","2015-01-12","28.96424","29.00317","28.74039","28.74039","777592",""
"SYF","2015-01-13T00:00:00-05:00","2015-01-13","28.97397","29.19782","28.67226","28.91558","647411",""
"SYF","2015-01-14T00:00:00-05:00","2015-01-14","28.60414","28.80852","28.29269","28.37055","890614",""
"SYF","2015-01-15T00:00:00-05:00","2015-01-15","28.40948","28.46788","27.17344","27.7574","1124364",""
"SYF","2015-01-16T00:00:00-05:00","2015-01-16","27.58221","28.27323","27.45569","28.21483","436881",""
"SYF","2015-01-20T00:00:00-05:00","2015-01-20","28.26349","28.41922","27.84499","28.32189","984525",""
"SYF","2015-01-21T00:00:00-05:00","2015-01-21","28.32189","28.50681","28.19537","28.39975","887429",""
"SYF","2015-01-22T00:00:00-05:00","2015-01-22","28.43868","28.71119","27.66981","28.27323","2583891",""
"SYF","2015-01-23T00:00:00-05:00","2015-01-23","29.19782","31.14435","28.22456","30.14189","3261510",""
"SYF","2015-01-26T00:00:00-05:00","2015-01-26","29.97643","30.61878","29.89857","30.49226","3209006",""
"SYF","2015-01-27T00:00:00-05:00","2015-01-27","30.356","30.65772","30.06403","30.48253","1440210",""
"SYF","2015-01-28T00:00:00-05:00","2015-01-28","30.91076","30.91076","30.26841","30.4144","1066517",""
"SYF","2015-01-29T00:00:00-05:00","2015-01-29","30.3852","30.64798","30.17109","30.39494","1421407",""
"SYF","2015-01-30T00:00:00-05:00","2015-01-30","30.27814","30.49226","29.94724","30.03483","1289479",""
"SYF","2015-02-02T00:00:00-05:00","2015-02-02","30.01536","30.356","29.86938","30.32681","779647",""
"SYF","2015-02-03T00:00:00-05:00","2015-02-03","30.46306","30.65772","30.13215","30.29761","945173",""
"SYF","2015-02-04T00:00:00-05:00","2015-02-04","30.18082","30.54092","30.15162","30.4144","1311159",""
"SYF","2015-02-05T00:00:00-05:00","2015-02-05","30.43387","31.22221","30.29761","31.14435","1144914",""
"SYF","2015-02-06T00:00:00-05:00","2015-02-06","31.21247","31.80616","31.11515","31.2806","1146558",""
"SYF","2015-02-09T00:00:00-05:00","2015-02-09","31.26114","31.54338","31.15408","31.53365","1148715",""
"SYF","2015-02-10T00:00:00-05:00","2015-02-10","31.74777","32.24413","31.50445","32.22467","2418673",""
"SYF","2015-02-11T00:00:00-05:00","2015-02-11","32.36092","32.7113","32.12734","32.6529","2168791",""
"SYF","2015-02-12T00:00:00-05:00","2015-02-12","32.83782","33.05194","32.63343","32.7113","2398740",""
"SYF","2015-02-13T00:00:00-05:00","2015-02-13","32.49718","32.67237","31.74777","31.92295","1268724",""
"SYF","2015-02-17T00:00:00-05:00","2015-02-17","31.92295","31.93269","30.99836","31.06649","1775474",""
"SYF","2015-02-18T00:00:00-05:00","2015-02-18","30.94969","31.339","30.90103","31.05675","1083573",""
"SYF","2015-02-19T00:00:00-05:00","2015-02-19","31.08595","31.22221","30.93996","31.02755","571378",""
"SYF","2015-02-20T00:00:00-05:00","2015-02-20","31.10542","31.89376","30.8329","31.71857","2139406",""
"SYF","2015-02-23T00:00:00-05:00","2015-02-23","31.68937","31.83536","31.38766","31.74777","892566",""
"SYF","2015-02-24T00:00:00-05:00","2015-02-24","31.59204","32.11761","31.05675","31.49472","1056962",""
"SYF","2015-02-25T00:00:00-05:00","2015-02-25","31.46552","31.71857","31.24167","31.42659","690873",""
"SYF","2015-02-26T00:00:00-05:00","2015-02-26","31.66017","31.83536","31.49472","31.58231","366499",""
"SYF","2015-02-27T00:00:00-05:00","2015-02-27","31.50445","31.67964","31.07622","31.09568","568295",""
"SYF","2015-03-02T00:00:00-05:00","2015-03-02","30.82317","31.18328","30.3852","31.10542","807491",""
"SYF","2015-03-03T00:00:00-05:00","2015-03-03","31.3682","31.38766","30.99836","31.2806","497811",""
"SYF","2015-03-04T00:00:00-05:00","2015-03-04","31.19301","31.19301","30.96916","31.03729","451574",""
"SYF","2015-03-05T00:00:00-05:00","2015-03-05","31.12488","31.60178","30.93023","31.10542","499249",""
"SYF","2015-03-06T00:00:00-05:00","2015-03-06","31.08595","31.14435","30.356","30.36574","713066",""
"SYF","2015-03-09T00:00:00-04:00","2015-03-09","30.502","31.29034","30.4144","31.12488","797525",""
"SYF","2015-03-10T00:00:00-04:00","2015-03-10","30.94969","31.07622","30.25868","30.26841","937261",""
"SYF","2015-03-11T00:00:00-04:00","2015-03-11","30.4144","30.87183","30.27814","30.70638","604976",""
