symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"SYK","2015-01-02T00:00:00-05:00","2015-01-02","91.17352","91.89558","89.66198","90.48995","1583154",""
"SYK","2015-01-05T00:00:00-05:00","2015-01-05","87.438","90.22038","87.438","89.09395","1896108",""
"SYK","2015-01-06T00:00:00-05:00","2015-01-06","89.26725","89.97006","88.16007","88.9688","1926645",""
"SYK","2015-01-07T00:00:00-05:00","2015-01-07","89.60422","90.96171","89.48868","90.65363","1189702",""
"SYK","2015-01-08T00:00:00-05:00","2015-01-08","91.49123","92.42511","91.49123","92.19405","1421743",""
"SYK","2015-01-09T00:00:00-05:00","2015-01-09","91.89558","92.22292","90.9232","91.07724","790226",""
"SYK","2015-01-12T00:00:00-05:00","2015-01-12","91.36607","91.36607","90.35516","90.51884","802275",""
"SYK","2015-01-13T00:00:00-05:00","2015-01-13","91.13501","91.9341","89.85454","90.7114","1169656",""
"SYK","2015-01-14T00:00:00-05:00","2015-01-14","89.8064","89.90267","88.26598","89.77751","2063127",""
"SYK","2015-01-15T00:00:00-05:00","2015-01-15","90.07597","90.07597","88.03491","88.09268","1548877",""
"SYK","2015-01-16T00:00:00-05:00","2015-01-16","87.68832","89.10358","87.40912","89.0073","1490919",""
"SYK","2015-01-20T00:00:00-05:00","2015-01-20","89.58496","89.74863","87.32246","88.25635","1967569",""
"SYK","2015-01-21T00:00:00-05:00","2015-01-21","87.94827","88.98804","87.73646","88.67996","1201232",""
"SYK","2015-01-22T00:00:00-05:00","2015-01-22","89.0073","89.89304","88.33337","89.89304","1326808",""
"SYK","2015-01-23T00:00:00-05:00","2015-01-23","89.76788","90.22038","89.15172","89.24799","998585",""
"SYK","2015-01-26T00:00:00-05:00","2015-01-26","88.97842","89.22874","88.36225","89.10358","1124577",""
"SYK","2015-01-27T00:00:00-05:00","2015-01-27","88.31412","89.51757","87.93864","88.89177","1569132",""
"SYK","2015-01-28T00:00:00-05:00","2015-01-28","89.65236","91.51048","89.05544","89.29613","2019295",""
"SYK","2015-01-29T00:00:00-05:00","2015-01-29","89.14208","90.23001","88.04454","90.1915","1351113",""
"SYK","2015-01-30T00:00:00-05:00","2015-01-30","89.16135","89.68124","87.55354","87.65944","1353398",""
"SYK","2015-02-02T00:00:00-05:00","2015-02-02","87.94827","88.35262","86.48487","88.343","1296790",""
"SYK","2015-02-03T00:00:00-05:00","2015-02-03","88.71848","89.33464","87.99641","89.2865","1086250",""
"SYK","2015-02-04T00:00:00-05:00","2015-02-04","89.59458","90.02783","88.81475","89.02656","1617846",""
"SYK","2015-02-05T00:00:00-05:00","2015-02-05","89.62347","90.43219","89.45018","90.18187","1308631",""
"SYK","2015-02-06T00:00:00-05:00","2015-02-06","90.11448","90.48995","88.97842","89.25762","1228030",""
"SYK","2015-02-09T00:00:00-05:00","2015-02-09","88.64146","89.45018","88.05417","88.47778","824607",""
"SYK","2015-02-10T00:00:00-05:00","2015-02-10","89.05544","89.71012","88.70885","89.59458","688124",""
"SYK","2015-02-11T00:00:00-05:00","2015-02-11","89.53682","90.03745","88.91103","89.49831","871139",""
"SYK","2015-02-12T00:00:00-05:00","2015-02-12","89.97006","90.21075","89.43092","89.89304","1004402",""
"SYK","2015-02-13T00:00:00-05:00","2015-02-13","89.739","91.02911","89.61385","90.99059","1220551",""
"SYK","2015-02-17T00:00:00-05:00","2015-02-17","91.00984","91.65489","90.42256","91.52974","1392349",""
"SYK","2015-02-18T00:00:00-05:00","2015-02-18","91.56825","91.7608","90.93282","91.70303","1047196",""
"SYK","2015-02-19T00:00:00-05:00","2015-02-19","91.55862","91.83782","90.79803","91.03873","871451",""
"SYK","2015-02-20T00:00:00-05:00","2015-02-20","90.46107","91.78006","90.2589","91.70303","1158854",""
"SYK","2015-02-23T00:00:00-05:00","2015-02-23","91.70303","92.23256","91.51048","92.04","909674",""
"SYK","2015-02-24T00:00:00-05:00","2015-02-24","91.83782","92.13628","91.13501","91.34681","1136106",""
"SYK","2015-02-25T00:00:00-05:00","2015-02-25","91.15426","91.3757","90.76916","91.04836","1028707",""
"SYK","2015-02-26T00:00:00-05:00","2015-02-26","91.08687","91.32756","90.51884","90.88469","1036809",""
"SYK","2015-02-27T00:00:00-05:00","2015-02-27","90.93282","91.70303","90.83655","91.22166","1391829",""
"SYK","2015-03-02T00:00:00-05:00","2015-03-02","91.29868","92.5984","91.29868","92.43474","1123123",""
"SYK","2015-03-03T00:00:00-05:00","2015-03-03","92.1459","92.26144","88.80512","88.99768","3109389",""
"SYK","2015-03-04T00:00:00-05:00","2015-03-04","88.91103","89.5657","88.14082","88.93028","1649214",""
"SYK","2015-03-05T00:00:00-05:00","2015-03-05","88.91103","89.66198","88.9014","89.52719","1603200",""
"SYK","2015-03-06T00:00:00-05:00","2015-03-06","89.05544","89.05544","86.46561","86.71593","2212282",""
"SYK","2015-03-09T00:00:00-04:00","2015-03-09","87.00476","87.75571","86.99513","87.63055","1061218",""
"SYK","2015-03-10T00:00:00-04:00","2015-03-10","86.76407","87.47651","86.49449","86.93737","1598319",""
"SYK","2015-03-11T00:00:00-04:00","2015-03-11","86.99513","87.57278","86.76407","87.09141","1150025",""
"SYK","2015-03-12T00:00:00-04:00","2015-03-12","87.17806","88.61257","87.09141","88.52592","926501",""
"SYK","2015-03-13T00:00:00-04:00","2015-03-13","88.47778","88.95917","87.3321","87.8905","1302918",""
"SYK","2015-03-16T00:00:00-04:00","2015-03-16","88.48741","89.57533","88.42001","89.32501","1222525",""
"SYK","2015-03-17T00:00:00-04:00","2015-03-17","88.66071","88.99768","88.2756","88.46815","1076382",""
"SYK","2015-03-18T00:00:00-04:00","2015-03-18","88.16007","90.33591","87.90013","89.64272","1435661",""
"SYK","2015-03-19T00:00:00-04:00","2015-03-19","89.55608","90.26852","89.38277","90.08559","982070",""
"SYK","2015-03-20T00:00:00-04:00","2015-03-20","90.53809","90.88469","89.96044","90.16262","2183199",""
