symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"SYY","2015-01-02T00:00:00-05:00","2015-01-02","36.95899","37.19073","36.78286","36.94045","2762173",""
"SYY","2015-01-05T00:00:00-05:00","2015-01-05","36.69016","36.81994","36.42134","36.57892","3330466",""
"SYY","2015-01-06T00:00:00-05:00","2015-01-06","36.76432","36.96826","36.2174","36.38425","3285481",""
"SYY","2015-01-07T00:00:00-05:00","2015-01-07","36.65308","37.4781","36.616","37.45029","4118071",""
"SYY","2015-01-08T00:00:00-05:00","2015-01-08","37.54299","38.14553","37.54299","38.12699","9089767",""
"SYY","2015-01-09T00:00:00-05:00","2015-01-09","37.91379","38.42363","37.86744","38.23823","4741704",""
"SYY","2015-01-12T00:00:00-05:00","2015-01-12","38.23823","38.35874","37.784","37.88597","2851495",""
"SYY","2015-01-13T00:00:00-05:00","2015-01-13","38.0621","38.38655","37.46883","37.77474","3357543",""
"SYY","2015-01-14T00:00:00-05:00","2015-01-14","37.54299","37.63569","37.09804","37.32978","5154439",""
"SYY","2015-01-15T00:00:00-05:00","2015-01-15","37.46883","37.63569","37.24635","37.32051","3611483",""
"SYY","2015-01-16T00:00:00-05:00","2015-01-16","37.21854","37.58007","37.05169","37.09804","6962446",""
"SYY","2015-01-20T00:00:00-05:00","2015-01-20","37.32051","37.39467","36.54184","36.67162","7320056",""
"SYY","2015-01-21T00:00:00-05:00","2015-01-21","36.616","37.45029","36.56965","37.34832","5963295",""
"SYY","2015-01-22T00:00:00-05:00","2015-01-22","37.59861","37.92305","37.32978","37.71912","4542133",""
"SYY","2015-01-23T00:00:00-05:00","2015-01-23","37.76547","38.22896","37.60788","37.98794","3772327",""
"SYY","2015-01-26T00:00:00-05:00","2015-01-26","37.91379","38.07137","37.73766","37.94159","2746639",""
"SYY","2015-01-27T00:00:00-05:00","2015-01-27","37.60788","37.89524","37.35759","37.72839","3203603",""
"SYY","2015-01-28T00:00:00-05:00","2015-01-28","37.89524","38.08991","37.08876","37.1722","3310724",""
"SYY","2015-01-29T00:00:00-05:00","2015-01-29","37.01461","37.19073","36.75505","36.9868","5019809",""
"SYY","2015-01-30T00:00:00-05:00","2015-01-30","36.76432","36.90337","36.28229","36.3101","5525318",""
"SYY","2015-02-02T00:00:00-05:00","2015-02-02","36.46769","36.67162","35.24406","35.62413","10246633",""
"SYY","2015-02-03T00:00:00-05:00","2015-02-03","35.90222","36.74578","35.86514","36.65308","8044122",""
"SYY","2015-02-04T00:00:00-05:00","2015-02-04","36.69016","37.31124","36.616","36.94972","5101040",""
"SYY","2015-02-05T00:00:00-05:00","2015-02-05","36.99607","37.28344","36.86629","36.95899","4095417",""
"SYY","2015-02-06T00:00:00-05:00","2015-02-06","36.85702","37.36686","36.8014","37.31124","5443763",""
"SYY","2015-02-09T00:00:00-05:00","2015-02-09","37.39467","37.52445","37.07023","37.1722","4662415",""
"SYY","2015-02-10T00:00:00-05:00","2015-02-10","37.2927","37.46883","36.84775","36.8941","5394787",""
"SYY","2015-02-11T00:00:00-05:00","2015-02-11","36.90337","37.04242","35.8466","36.07835","12628758",""
"SYY","2015-02-12T00:00:00-05:00","2015-02-12","36.08762","36.87556","36.07835","36.76432","7207865",""
"SYY","2015-02-13T00:00:00-05:00","2015-02-13","36.64381","36.74578","36.50476","36.65308","2814709",""
"SYY","2015-02-17T00:00:00-05:00","2015-02-17","36.48623","36.75505","36.23594","36.68089","3066816",""
"SYY","2015-02-18T00:00:00-05:00","2015-02-18","36.71797","37.2","36.616","36.99607","5800079",""
"SYY","2015-02-19T00:00:00-05:00","2015-02-19","36.91264","36.94045","35.67975","35.74464","10554944",""
"SYY","2015-02-20T00:00:00-05:00","2015-02-20","35.66121","36.8014","35.60559","36.76432","13270083",""
"SYY","2015-02-23T00:00:00-05:00","2015-02-23","36.8014","36.92191","36.616","36.7087","4943433",""
"SYY","2015-02-24T00:00:00-05:00","2015-02-24","36.59746","36.73651","36.38425","36.65308","3439960",""
"SYY","2015-02-25T00:00:00-05:00","2015-02-25","36.81994","36.87556","36.45842","36.5882","2290322",""
"SYY","2015-02-26T00:00:00-05:00","2015-02-26","36.5882","36.64381","36.2452","36.28229","4765329",""
"SYY","2015-02-27T00:00:00-05:00","2015-02-27","36.30083","36.56038","36.11543","36.14324","4577516",""
"SYY","2015-03-02T00:00:00-05:00","2015-03-02","36.14324","36.23594","35.93003","36.1247","5281409",""
"SYY","2015-03-03T00:00:00-05:00","2015-03-03","36.032","36.05981","35.81879","36.05981","4067153",""
"SYY","2015-03-04T00:00:00-05:00","2015-03-04","36.02273","36.18032","35.77245","35.97638","5515393",""
"SYY","2015-03-05T00:00:00-05:00","2015-03-05","36.33791","36.41206","36.04127","36.26375","5456169",""
"SYY","2015-03-06T00:00:00-05:00","2015-03-06","35.97638","36.05054","35.69828","35.82806","4420664",""
"SYY","2015-03-09T00:00:00-04:00","2015-03-09","35.82806","36.18959","35.80952","36.09689","4217425",""
"SYY","2015-03-10T00:00:00-04:00","2015-03-10","35.93003","35.93003","35.58705","35.64267","3783762",""
"SYY","2015-03-11T00:00:00-04:00","2015-03-11","35.62413","35.69828","35.42019","35.59632","3267789",""
"SYY","2015-03-12T00:00:00-04:00","2015-03-12","35.65194","35.96711","35.65194","35.96711","3330466",""
"SYY","2015-03-13T00:00:00-04:00","2015-03-13","35.83733","35.87441","35.51289","35.7539","3090333",""
"SYY","2015-03-16T00:00:00-04:00","2015-03-16","35.86514","35.9115","35.67975","35.88368","3237045",""
"SYY","2015-03-17T00:00:00-04:00","2015-03-17","35.69828","35.87441","35.61485","35.7261","2207149",""
"SYY","2015-03-18T00:00:00-04:00","2015-03-18","35.67048","35.90222","35.23479","35.73536","4970294",""
"SYY","2015-03-19T00:00:00-04:00","2015-03-19","35.65194","35.65194","35.23479","35.41092","3329926",""
"SYY","2015-03-20T00:00:00-04:00","2015-03-20","35.51289","35.92076","35.51289","35.80025","5119918",""
"SYY","2015-03-23T00:00:00-04:00","2015-03-23","35.80025","36.05981","35.77245","35.83733","2984075",""
"SYY","2015-03-24T00:00:00-04:00","2015-03-24","35.83733","36.032","35.448","35.448","3182783",""
"SYY","2015-03-25T00:00:00-04:00","2015-03-25","35.59632","35.77245","35.21625","35.22552","3701668",""
"SYY","2015-03-26T00:00:00-04:00","2015-03-26","35.22552","35.29041","35.0494","35.11428","3193247",""
"SYY","2015-03-27T00:00:00-04:00","2015-03-27","35.10501","35.50362","35.10501","35.37384","4060249",""
"SYY","2015-03-30T00:00:00-04:00","2015-03-30","35.40165","35.5407","35.25333","35.46654","3085047",""
"SYY","2015-03-31T00:00:00-04:00","2015-03-31","35.41982","35.48523","35.23296","35.25165","3331216",""
"SYY","2015-04-01T00:00:00-04:00","2015-04-01","35.0461","35.08347","34.66303","35.06479","3981426",""
"SYY","2015-04-02T00:00:00-04:00","2015-04-02","35.07413","35.53194","35.0461","35.16756","3197321",""
"SYY","2015-04-06T00:00:00-04:00","2015-04-06","35.08347","35.46654","35.05544","35.34508","4190028",""
"SYY","2015-04-07T00:00:00-04:00","2015-04-07","35.37311","35.72815","35.35442","35.47588","3044267",""
"SYY","2015-04-08T00:00:00-04:00","2015-04-08","35.47588","35.75618","35.4572","35.64406","3020934",""
"SYY","2015-04-09T00:00:00-04:00","2015-04-09","35.59734","35.76552","35.54129","35.66274","2344609",""
"SYY","2015-04-10T00:00:00-04:00","2015-04-10","35.54129","35.79355","35.54129","35.66274","2737732",""
