symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"TDC","2015-01-02T00:00:00-05:00","2015-01-02","43.97","44.24","43.23","44","1349800",""
"TDC","2015-01-05T00:00:00-05:00","2015-01-05","43.69","43.8","42.52","43.07","1988600",""
"TDC","2015-01-06T00:00:00-05:00","2015-01-06","43.33","43.6","42.28","42.63","1662900",""
"TDC","2015-01-07T00:00:00-05:00","2015-01-07","43.13","43.25","42.61","42.78","1665000",""
"TDC","2015-01-08T00:00:00-05:00","2015-01-08","43.24","43.9","43.05","43.33","1817700",""
"TDC","2015-01-09T00:00:00-05:00","2015-01-09","43.51","43.66","42.8","43.43","937100",""
"TDC","2015-01-12T00:00:00-05:00","2015-01-12","43.39","43.49","42.57","42.63","1098700",""
"TDC","2015-01-13T00:00:00-05:00","2015-01-13","42.87","43.89","42.46","42.83","1396800",""
"TDC","2015-01-14T00:00:00-05:00","2015-01-14","42.4","42.89","41.99","42.65","1738600",""
"TDC","2015-01-15T00:00:00-05:00","2015-01-15","42.88","43.17","41.93","41.95","1040900",""
"TDC","2015-01-16T00:00:00-05:00","2015-01-16","41.91","42.96","41.83","42.93","1728000",""
"TDC","2015-01-20T00:00:00-05:00","2015-01-20","43.13","43.58","42.83","43.32","1321800",""
"TDC","2015-01-21T00:00:00-05:00","2015-01-21","42.99","43.83","42.71","43.29","1192400",""
"TDC","2015-01-22T00:00:00-05:00","2015-01-22","43.55","44.35","43.26","44.25","1307300",""
"TDC","2015-01-23T00:00:00-05:00","2015-01-23","44","44.39","43.27","43.35","1600900",""
"TDC","2015-01-26T00:00:00-05:00","2015-01-26","43.47","44.39","43.1","44.36","1906100",""
"TDC","2015-01-27T00:00:00-05:00","2015-01-27","43.63","46.72","43.49","45.22","4125800",""
"TDC","2015-01-28T00:00:00-05:00","2015-01-28","45.73","45.83","44.44","44.58","1703300",""
"TDC","2015-01-29T00:00:00-05:00","2015-01-29","44.75","45.12","44.03","45","1556700",""
"TDC","2015-01-30T00:00:00-05:00","2015-01-30","44.53","45.09","44.21","44.56","1941500",""
"TDC","2015-02-02T00:00:00-05:00","2015-02-02","44.59","45.62","44.08","45.53","1646800",""
"TDC","2015-02-03T00:00:00-05:00","2015-02-03","45.9","46.89","45.73","46.69","2109000",""
"TDC","2015-02-04T00:00:00-05:00","2015-02-04","46.27","47.03","46.06","46.98","3131500",""
"TDC","2015-02-05T00:00:00-05:00","2015-02-05","42.5","43.43","41.18","42.19","10329600",""
"TDC","2015-02-06T00:00:00-05:00","2015-02-06","41.42","42.62","41.38","41.63","4081700",""
"TDC","2015-02-09T00:00:00-05:00","2015-02-09","41.48","42.63","41.41","42.5","3102700",""
"TDC","2015-02-10T00:00:00-05:00","2015-02-10","42.7","43.73","42.27","43.63","2243700",""
"TDC","2015-02-11T00:00:00-05:00","2015-02-11","43.65","43.98","43.36","43.83","1793900",""
"TDC","2015-02-12T00:00:00-05:00","2015-02-12","44.72","46.21","44.57","46.02","3727600",""
