symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"TDG","2015-01-02T00:00:00-05:00","2015-01-02","196.76","198.48","195.21","197.75","360800",""
"TDG","2015-01-05T00:00:00-05:00","2015-01-05","197.25","198.88","194.44","196.45","508300",""
"TDG","2015-01-06T00:00:00-05:00","2015-01-06","196.41","197.77","194.3","196.95","448100",""
"TDG","2015-01-07T00:00:00-05:00","2015-01-07","198.76","200.34","197.41","199.56","271000",""
"TDG","2015-01-08T00:00:00-05:00","2015-01-08","201","203","200.43","202.9","232300",""
"TDG","2015-01-09T00:00:00-05:00","2015-01-09","203","203.46","200.47","201.32","406700",""
"TDG","2015-01-12T00:00:00-05:00","2015-01-12","201.67","202.48","200","201.25","256600",""
"TDG","2015-01-13T00:00:00-05:00","2015-01-13","203.26","205.38","201.79","204.03","287600",""
"TDG","2015-01-14T00:00:00-05:00","2015-01-14","201.42","205.77","201.42","204.12","348600",""
"TDG","2015-01-15T00:00:00-05:00","2015-01-15","205","205","202.68","203.74","211800",""
"TDG","2015-01-16T00:00:00-05:00","2015-01-16","202.95","204.99","201.97","204","256600",""
"TDG","2015-01-20T00:00:00-05:00","2015-01-20","204.37","204.89","202.37","203.75","401900",""
"TDG","2015-01-21T00:00:00-05:00","2015-01-21","203.5","205.48","203.05","205","254000",""
"TDG","2015-01-22T00:00:00-05:00","2015-01-22","205.42","206.65","203.69","206.04","384600",""
"TDG","2015-01-23T00:00:00-05:00","2015-01-23","206.26","209.04","206.25","208.4","670200",""
"TDG","2015-01-26T00:00:00-05:00","2015-01-26","208","208.75","205.81","208.57","636500",""
"TDG","2015-01-27T00:00:00-05:00","2015-01-27","202.26","206.5","200","203.65","1032600",""
"TDG","2015-01-28T00:00:00-05:00","2015-01-28","205.64","208.68","202.43","203","460900",""
"TDG","2015-01-29T00:00:00-05:00","2015-01-29","202.62","207.07","201.12","206.2","582000",""
"TDG","2015-01-30T00:00:00-05:00","2015-01-30","205.26","206.61","203.1","205.53","420400",""
"TDG","2015-02-02T00:00:00-05:00","2015-02-02","206.4","207.26","203.01","206.96","373600",""
"TDG","2015-02-03T00:00:00-05:00","2015-02-03","208.06","209.03","206.23","207.8","404100",""
"TDG","2015-02-04T00:00:00-05:00","2015-02-04","207.48","211.69","206.52","209.68","292400",""
"TDG","2015-02-05T00:00:00-05:00","2015-02-05","210.62","211.52","208.9","211.02","302500",""
"TDG","2015-02-06T00:00:00-05:00","2015-02-06","210.11","212.33","210.11","212.11","362600",""
"TDG","2015-02-09T00:00:00-05:00","2015-02-09","211.14","212.15","207.63","207.87","440800",""
"TDG","2015-02-10T00:00:00-05:00","2015-02-10","208.52","210.13","207.1","207.9","383600",""
"TDG","2015-02-11T00:00:00-05:00","2015-02-11","208.08","209.06","206.3","206.87","412100",""
"TDG","2015-02-12T00:00:00-05:00","2015-02-12","207.94","208.6","206.04","206.66","384400",""
"TDG","2015-02-13T00:00:00-05:00","2015-02-13","206.31","208.86","206.31","208.62","285700",""
"TDG","2015-02-17T00:00:00-05:00","2015-02-17","208.58","208.96","207.39","208.18","292400",""
"TDG","2015-02-18T00:00:00-05:00","2015-02-18","208.25","209.58","207.73","209.12","276200",""
"TDG","2015-02-19T00:00:00-05:00","2015-02-19","209.43","212.29","208.59","211.98","247900",""
"TDG","2015-02-20T00:00:00-05:00","2015-02-20","212.02","213.77","210.85","213.73","272400",""
"TDG","2015-02-23T00:00:00-05:00","2015-02-23","215.77","224.58","215.57","222.82","807400",""
"TDG","2015-02-24T00:00:00-05:00","2015-02-24","222.32","225.82","222.32","225.27","731200",""
"TDG","2015-02-25T00:00:00-05:00","2015-02-25","225.58","226.21","222.62","223.44","711200",""
"TDG","2015-02-26T00:00:00-05:00","2015-02-26","223.44","223.44","220.95","221.58","455000",""
"TDG","2015-02-27T00:00:00-05:00","2015-02-27","219.61","221.3","215.77","216.86","515400",""
"TDG","2015-03-02T00:00:00-05:00","2015-03-02","217.46","219.99","215.84","218.11","529600",""
"TDG","2015-03-03T00:00:00-05:00","2015-03-03","217.26","218.05","216.35","217.73","284200",""
"TDG","2015-03-04T00:00:00-05:00","2015-03-04","217.49","217.94","215.16","215.33","285800",""
"TDG","2015-03-05T00:00:00-05:00","2015-03-05","215.19","216.66","213.68","215.34","256200",""
"TDG","2015-03-06T00:00:00-05:00","2015-03-06","214.89","215.92","212.2","213.12","308000",""
"TDG","2015-03-09T00:00:00-04:00","2015-03-09","213.52","216.02","213.21","214.75","334000",""
"TDG","2015-03-10T00:00:00-04:00","2015-03-10","213.03","214.29","212.93","213","218900",""
"TDG","2015-03-11T00:00:00-04:00","2015-03-11","213.63","214.83","213.25","214.16","214600",""
"TDG","2015-03-12T00:00:00-04:00","2015-03-12","214.94","216.54","214.1","216.28","285900",""
"TDG","2015-03-13T00:00:00-04:00","2015-03-13","215.57","216.82","212.78","214.82","176100",""
"TDG","2015-03-16T00:00:00-04:00","2015-03-16","214.85","217.28","214.24","217.14","385300",""
"TDG","2015-03-17T00:00:00-04:00","2015-03-17","216.47","217.04","215.14","216.49","286400",""
"TDG","2015-03-18T00:00:00-04:00","2015-03-18","215.25","217.38","213.28","216.44","269600",""
"TDG","2015-03-19T00:00:00-04:00","2015-03-19","216.74","217.58","213.51","214.79","202800",""
"TDG","2015-03-20T00:00:00-04:00","2015-03-20","218.1","218.44","215.02","215.75","434300",""
"TDG","2015-03-23T00:00:00-04:00","2015-03-23","215.75","217.35","214.21","215.79","243500",""
"TDG","2015-03-24T00:00:00-04:00","2015-03-24","215.28","216.85","214.39","215.15","181600",""
"TDG","2015-03-25T00:00:00-04:00","2015-03-25","214.94","215.75","213.86","214","432100",""
"TDG","2015-03-26T00:00:00-04:00","2015-03-26","213.71","215.86","212.72","215.18","426600",""
"TDG","2015-03-27T00:00:00-04:00","2015-03-27","215.18","218.88","215.18","217.87","206900",""
"TDG","2015-03-30T00:00:00-04:00","2015-03-30","218.41","220.64","217.87","219.83","271100",""
"TDG","2015-03-31T00:00:00-04:00","2015-03-31","220.03","220.03","218.08","218.72","313700",""
"TDG","2015-04-01T00:00:00-04:00","2015-04-01","217.46","219.69","217.01","218.72","329700",""
"TDG","2015-04-02T00:00:00-04:00","2015-04-02","218.99","220.82","218.37","220.25","209900",""
"TDG","2015-04-06T00:00:00-04:00","2015-04-06","219.23","221.45","218.75","219.74","186700",""
"TDG","2015-04-07T00:00:00-04:00","2015-04-07","219.9","221.53","219.45","220.83","257600",""
"TDG","2015-04-08T00:00:00-04:00","2015-04-08","221.31","222.34","219.26","220.61","303200",""
"TDG","2015-04-09T00:00:00-04:00","2015-04-09","221.55","222.33","220.45","221.95","277600",""
"TDG","2015-04-10T00:00:00-04:00","2015-04-10","222.77","224","221.8","223.2","203900",""
"TDG","2015-04-13T00:00:00-04:00","2015-04-13","223.46","223.97","222.19","222.82","297200",""
"TDG","2015-04-14T00:00:00-04:00","2015-04-14","222.98","222.98","221.04","222.3","171700",""
"TDG","2015-04-15T00:00:00-04:00","2015-04-15","223.08","223.87","221.45","222.33","190900",""
"TDG","2015-04-16T00:00:00-04:00","2015-04-16","221.83","222.58","221.01","222.08","172700",""
"TDG","2015-04-17T00:00:00-04:00","2015-04-17","221.51","221.51","218.77","219.38","337100",""
"TDG","2015-04-20T00:00:00-04:00","2015-04-20","220.78","222.62","220.78","222.48","153300",""
"TDG","2015-04-21T00:00:00-04:00","2015-04-21","223.43","223.6","221.46","223.6","217200",""
"TDG","2015-04-22T00:00:00-04:00","2015-04-22","223.5","223.54","220.79","221.81","225200",""
"TDG","2015-04-23T00:00:00-04:00","2015-04-23","220.98","223.69","220.98","221.92","150700",""
"TDG","2015-04-24T00:00:00-04:00","2015-04-24","222.25","223.5","221.3","223.03","242900",""
"TDG","2015-04-27T00:00:00-04:00","2015-04-27","223.23","223.36","218.78","219.04","275200",""
"TDG","2015-04-28T00:00:00-04:00","2015-04-28","218.05","219.82","216.56","217.87","343100",""
"TDG","2015-04-29T00:00:00-04:00","2015-04-29","216.17","217.16","212.86","213.1","353500",""
"TDG","2015-04-30T00:00:00-04:00","2015-04-30","212.26","213.96","211.33","212.13","275300",""
"TDG","2015-05-01T00:00:00-04:00","2015-05-01","215.94","219.66","214.01","218.84","409800",""
"TDG","2015-05-04T00:00:00-04:00","2015-05-04","219.98","220.73","219.05","220.28","505800",""
"TDG","2015-05-05T00:00:00-04:00","2015-05-05","218.56","219.25","212.47","214.93","900200",""
"TDG","2015-05-06T00:00:00-04:00","2015-05-06","216.08","220.3","214.52","220.12","609800",""
"TDG","2015-05-07T00:00:00-04:00","2015-05-07","219.97","223.19","218.33","222.07","694400",""
"TDG","2015-05-08T00:00:00-04:00","2015-05-08","224","224.99","221.42","221.86","443700",""
"TDG","2015-05-11T00:00:00-04:00","2015-05-11","222.18","224","221.77","222.45","345200",""
"TDG","2015-05-12T00:00:00-04:00","2015-05-12","221.17","223.88","220.98","223.45","295500",""
"TDG","2015-05-13T00:00:00-04:00","2015-05-13","224","224.92","222.77","224.53","198200",""
"TDG","2015-05-14T00:00:00-04:00","2015-05-14","224.98","230.08","224.08","229.22","398600",""
"TDG","2015-05-15T00:00:00-04:00","2015-05-15","229.73","230","226.64","227.55","384000",""
"TDG","2015-05-18T00:00:00-04:00","2015-05-18","226.63","228","226.14","226.74","292000",""
"TDG","2015-05-19T00:00:00-04:00","2015-05-19","227.26","229.9","226.82","228.84","211100",""
"TDG","2015-05-20T00:00:00-04:00","2015-05-20","229.4","230.37","227.44","228.19","184900",""
"TDG","2015-05-21T00:00:00-04:00","2015-05-21","228.36","229","227.65","228.91","144700",""
"TDG","2015-05-22T00:00:00-04:00","2015-05-22","228.95","228.98","226.7","227.12","191800",""
