symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"TIF","2015-01-02T00:00:00-05:00","2015-01-02","100.4251","101.6024","98.59805","99.36091","681347",""
"TIF","2015-01-05T00:00:00-05:00","2015-01-05","97.73158","98.53212","96.98755","97.71274","1509010",""
"TIF","2015-01-06T00:00:00-05:00","2015-01-06","97.73158","97.75041","94.90614","96.22468","1147578",""
"TIF","2015-01-07T00:00:00-05:00","2015-01-07","97.70332","99.11604","97.0158","99.05952","997972",""
"TIF","2015-01-08T00:00:00-05:00","2015-01-08","99.53043","100.3215","98.25899","99.02185","1062847",""
"TIF","2015-01-09T00:00:00-05:00","2015-01-09","98.84291","98.85233","96.74268","97.43019","1153948",""
"TIF","2015-01-12T00:00:00-05:00","2015-01-12","87.11738","88.27581","82.40833","83.83047","10612868",""
"TIF","2015-01-13T00:00:00-05:00","2015-01-13","84.48973","85.12074","80.52471","81.27817","5603574",""
"TIF","2015-01-14T00:00:00-05:00","2015-01-14","80.50588","81.75848","80.19508","81.69256","2548816",""
"TIF","2015-01-15T00:00:00-05:00","2015-01-15","81.88092","82.38008","80.65657","80.71307","1933830",""
"TIF","2015-01-16T00:00:00-05:00","2015-01-16","80.80726","83.32189","80.71307","83.25597","2348245",""
"TIF","2015-01-20T00:00:00-05:00","2015-01-20","84.64984","85.27144","83.72687","84.70635","2504965",""
"TIF","2015-01-21T00:00:00-05:00","2015-01-21","84.64043","85.78001","84.2637","84.74403","1340504",""
"TIF","2015-01-22T00:00:00-05:00","2015-01-22","84.99831","85.8271","84.631","85.67641","1093002",""
"TIF","2015-01-23T00:00:00-05:00","2015-01-23","85.83652","86.08139","85.16784","85.78001","1212347",""
"TIF","2015-01-26T00:00:00-05:00","2015-01-26","85.45039","86.14732","85.23376","85.75176","1256835",""
"TIF","2015-01-27T00:00:00-05:00","2015-01-27","84.95122","85.56339","84.71577","85.03598","1257260",""
"TIF","2015-01-28T00:00:00-05:00","2015-01-28","85.40329","85.60107","83.44432","83.52909","1140995",""
"TIF","2015-01-29T00:00:00-05:00","2015-01-29","83.53851","84.17893","82.51193","83.92464","1007103",""
"TIF","2015-01-30T00:00:00-05:00","2015-01-30","83.07702","83.22771","81.10864","81.59838","1974709",""
"TIF","2015-02-02T00:00:00-05:00","2015-02-02","81.57954","82.20113","80.6189","82.05045","1637167",""
"TIF","2015-02-03T00:00:00-05:00","2015-02-03","83.14294","84.82878","82.95458","84.76286","1130483",""
"TIF","2015-02-04T00:00:00-05:00","2015-02-04","84.17893","84.27312","83.04877","83.2748","1263949",""
"TIF","2015-02-05T00:00:00-05:00","2015-02-05","83.51025","84.2637","82.72855","82.8604","1529502",""
"TIF","2015-02-06T00:00:00-05:00","2015-02-06","83.23712","83.47258","81.17457","81.57954","1586201",""
"TIF","2015-02-09T00:00:00-05:00","2015-02-09","81.57954","82.70029","81.57954","82.53077","984806",""
"TIF","2015-02-10T00:00:00-05:00","2015-02-10","82.90749","84.5274","82.69088","84.45206","1127404",""
"TIF","2015-02-11T00:00:00-05:00","2015-02-11","84.4709","84.68752","82.43658","82.58728","1270957",""
"TIF","2015-02-12T00:00:00-05:00","2015-02-12","82.86982","83.35014","82.23881","82.97342","1254393",""
"TIF","2015-02-13T00:00:00-05:00","2015-02-13","83.42549","84.93238","83.22771","83.86814","1154373",""
"TIF","2015-02-17T00:00:00-05:00","2015-02-17","84.06592","84.631","83.70803","84.15068","784235",""
"TIF","2015-02-18T00:00:00-05:00","2015-02-18","83.70803","84.75344","83.63269","84.10359","929062",""
"TIF","2015-02-19T00:00:00-05:00","2015-02-19","84.14126","84.38613","83.26538","83.49142","1192279",""
"TIF","2015-02-20T00:00:00-05:00","2015-02-20","83.44432","85.16784","83.35957","84.95122","1703741",""
"TIF","2015-02-23T00:00:00-05:00","2015-02-23","84.97005","85.37504","83.98116","84.75344","910906",""
"TIF","2015-02-24T00:00:00-05:00","2015-02-24","84.89471","85.13958","83.78338","84.31078","656502",""
"TIF","2015-02-25T00:00:00-05:00","2015-02-25","84.38613","84.75344","84.25428","84.53683","1102133",""
"TIF","2015-02-26T00:00:00-05:00","2015-02-26","84.631","84.89471","83.35957","83.53851","1343052",""
"TIF","2015-02-27T00:00:00-05:00","2015-02-27","83.68919","84.12243","82.87924","83.08644","1090241",""
"TIF","2015-03-02T00:00:00-05:00","2015-03-02","83.30305","85.54456","82.88866","85.32794","1109778",""
"TIF","2015-03-03T00:00:00-05:00","2015-03-03","84.33905","84.79111","83.11469","83.76454","1282849",""
"TIF","2015-03-04T00:00:00-05:00","2015-03-04","84.20719","84.20719","81.4006","81.73965","2867246",""
"TIF","2015-03-05T00:00:00-05:00","2015-03-05","81.93743","82.32358","81.46652","81.91859","2108282",""
"TIF","2015-03-06T00:00:00-05:00","2015-03-06","81.72081","82.39891","79.95963","80.21391","3506760",""
"TIF","2015-03-09T00:00:00-04:00","2015-03-09","80.32693","80.52471","78.8483","79.49815","3967150",""
"TIF","2015-03-10T00:00:00-04:00","2015-03-10","78.87655","79.49815","77.93474","78.58459","2145125",""
"TIF","2015-03-11T00:00:00-04:00","2015-03-11","80.02556","80.43053","78.45274","79.30036","2149054",""
"TIF","2015-03-12T00:00:00-04:00","2015-03-12","79.95963","81.93743","79.93138","81.27817","1925442",""
