symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"TJX","2015-01-02T00:00:00-05:00","2015-01-02","66.17627","66.63897","65.07735","65.51113","2744183",""
"TJX","2015-01-05T00:00:00-05:00","2015-01-05","65.00987","65.49186","64.61465","64.77852","3295863",""
"TJX","2015-01-06T00:00:00-05:00","2015-01-06","65.06771","65.85816","63.91095","64.46041","3187975",""
"TJX","2015-01-07T00:00:00-05:00","2015-01-07","64.68212","65.916","64.61465","65.78104","3191295",""
"TJX","2015-01-08T00:00:00-05:00","2015-01-08","66.03168","66.50402","65.8196","66.12807","4313845",""
"TJX","2015-01-09T00:00:00-05:00","2015-01-09","66.31123","66.31123","64.56645","65.3087","4151494",""
"TJX","2015-01-12T00:00:00-05:00","2015-01-12","65.4533","65.77141","64.96167","64.97131","3741003",""
"TJX","2015-01-13T00:00:00-05:00","2015-01-13","65.52077","65.98347","64.50861","64.73997","4583875",""
"TJX","2015-01-14T00:00:00-05:00","2015-01-14","63.57356","64.2387","63.22653","63.84348","3791731",""
"TJX","2015-01-15T00:00:00-05:00","2015-01-15","64.20014","64.62428","62.90843","62.9277","3840176",""
"TJX","2015-01-16T00:00:00-05:00","2015-01-16","62.96626","64.46041","62.75419","64.34473","3388501",""
"TJX","2015-01-20T00:00:00-05:00","2015-01-20","64.69176","64.76888","63.33257","63.83384","2942946",""
"TJX","2015-01-21T00:00:00-05:00","2015-01-21","63.69888","64.41222","63.44825","63.6314","3157995",""
"TJX","2015-01-22T00:00:00-05:00","2015-01-22","64.07483","65.29906","63.6314","65.06771","2652479",""
"TJX","2015-01-23T00:00:00-05:00","2015-01-23","65.17374","65.5015","64.78816","65.19302","2226115",""
"TJX","2015-01-26T00:00:00-05:00","2015-01-26","64.92311","65.79069","64.83636","65.68465","2813895",""
"TJX","2015-01-27T00:00:00-05:00","2015-01-27","65.20267","66.19555","64.98096","65.79069","3107163",""
"TJX","2015-01-28T00:00:00-05:00","2015-01-28","66.29195","66.86069","64.78816","64.84599","3210486",""
"TJX","2015-01-29T00:00:00-05:00","2015-01-29","64.80744","65.22195","64.08447","65.17374","2944605",""
"TJX","2015-01-30T00:00:00-05:00","2015-01-30","64.62428","64.92311","63.50608","63.56393","3180817",""
"TJX","2015-02-02T00:00:00-05:00","2015-02-02","63.53501","63.79528","61.97338","63.49645","3539440",""
"TJX","2015-02-03T00:00:00-05:00","2015-02-03","63.71815","64.97131","63.69888","64.87492","2593971",""
"TJX","2015-02-04T00:00:00-05:00","2015-02-04","64.85564","65.74249","64.58572","65.42438","3773473",""
"TJX","2015-02-05T00:00:00-05:00","2015-02-05","65.8196","66.17627","65.48222","65.97384","2868150",""
"TJX","2015-02-06T00:00:00-05:00","2015-02-06","66.06059","66.40762","65.52077","65.79069","2312114",""
"TJX","2015-02-09T00:00:00-05:00","2015-02-09","65.54005","65.66537","64.97131","65.06771","2016357",""
"TJX","2015-02-10T00:00:00-05:00","2015-02-10","65.82639","66.11633","65.6331","66.00036","3161189",""
"TJX","2015-02-11T00:00:00-05:00","2015-02-11","65.99069","66.31929","65.80706","66.06801","2596868",""
"TJX","2015-02-12T00:00:00-05:00","2015-02-12","66.35796","66.59957","65.7684","66.57057","3357780",""
"TJX","2015-02-13T00:00:00-05:00","2015-02-13","66.4546","66.92817","66.2613","66.9185","2812394",""
"TJX","2015-02-17T00:00:00-05:00","2015-02-17","67.02481","67.08281","66.11633","66.29029","3113386",""
"TJX","2015-02-18T00:00:00-05:00","2015-02-18","66.08733","66.21298","65.36248","65.40114","3598656",""
"TJX","2015-02-19T00:00:00-05:00","2015-02-19","65.45914","65.78773","65.39148","65.54611","2323399",""
"TJX","2015-02-20T00:00:00-05:00","2015-02-20","65.51712","66.50291","65.37215","66.42561","2747209",""
"TJX","2015-02-23T00:00:00-05:00","2015-02-23","66.60923","66.7542","65.88438","66.10667","3165431",""
"TJX","2015-02-24T00:00:00-05:00","2015-02-24","66.22264","66.68655","64.83092","64.90824","6465166",""
"TJX","2015-02-25T00:00:00-05:00","2015-02-25","63.67115","67.52738","63.31356","67.0538","9510263",""
"TJX","2015-02-26T00:00:00-05:00","2015-02-26","66.12599","66.66722","65.64276","65.78773","5613718",""
"TJX","2015-02-27T00:00:00-05:00","2015-02-27","65.99069","66.82185","65.90371","66.33862","4062922",""
"TJX","2015-03-02T00:00:00-05:00","2015-03-02","66.4546","67.32442","66.32895","67.14079","4557298",""
"TJX","2015-03-03T00:00:00-05:00","2015-03-03","66.81219","66.87984","65.70075","66.30962","3053891",""
"TJX","2015-03-04T00:00:00-05:00","2015-03-04","66.18399","66.4546","65.4688","66.00036","2525992",""
"TJX","2015-03-05T00:00:00-05:00","2015-03-05","66.02935","66.59957","66.02935","66.41594","2571622",""
"TJX","2015-03-06T00:00:00-05:00","2015-03-06","66.01003","66.65755","65.66209","65.74907","2272906",""
"TJX","2015-03-09T00:00:00-04:00","2015-03-09","65.84572","66.23231","65.58477","65.94237","1859237",""
"TJX","2015-03-10T00:00:00-04:00","2015-03-10","65.69109","65.94237","65.23684","65.34315","2445700",""
"TJX","2015-03-11T00:00:00-04:00","2015-03-11","65.27551","65.70075","64.7826","64.89857","2675608",""
"TJX","2015-03-12T00:00:00-04:00","2015-03-12","65.3045","66.44493","65.25616","66.38695","2703027",""
"TJX","2015-03-13T00:00:00-04:00","2015-03-13","66.33862","66.33862","65.20785","65.71041","2750934",""
