symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"TMO","2015-01-02T00:00:00-05:00","2015-01-02","124.8692","127.0344","124.7308","126.6686","2067117",""
"TMO","2015-01-05T00:00:00-05:00","2015-01-05","125.8678","127.677","124.7209","124.9285","2466036",""
"TMO","2015-01-06T00:00:00-05:00","2015-01-06","124.9285","126.7378","123.1292","123.7619","2555044",""
"TMO","2015-01-07T00:00:00-05:00","2015-01-07","125.1263","127.509","124.5133","127.4694","2122342",""
"TMO","2015-01-08T00:00:00-05:00","2015-01-08","127.9934","129.5753","127.9934","128.7943","2553224",""
"TMO","2015-01-09T00:00:00-05:00","2015-01-09","129.2787","129.6346","127.8649","128.2801","1934312",""
"TMO","2015-01-12T00:00:00-05:00","2015-01-12","128.636","129.1403","126.8466","127.0443","1831144",""
"TMO","2015-01-13T00:00:00-05:00","2015-01-13","128.0923","128.8338","125.67","126.8861","2116881",""
"TMO","2015-01-14T00:00:00-05:00","2015-01-14","125.5118","125.9271","123.6729","124.7703","2884173",""
"TMO","2015-01-15T00:00:00-05:00","2015-01-15","124.8692","125.1164","122.704","122.7238","2753897",""
"TMO","2015-01-16T00:00:00-05:00","2015-01-16","122.3086","124.0882","121.8933","123.8707","2057306",""
"TMO","2015-01-20T00:00:00-05:00","2015-01-20","124.8","125.0669","122.6842","123.8212","2296111",""
"TMO","2015-01-21T00:00:00-05:00","2015-01-21","123.6037","124.9285","123.4554","123.9399","1382258",""
"TMO","2015-01-22T00:00:00-05:00","2015-01-22","124.9186","126.1248","123.9596","125.5613","2987544",""
"TMO","2015-01-23T00:00:00-05:00","2015-01-23","125.3339","125.6305","123.3467","123.4554","2016645",""
"TMO","2015-01-26T00:00:00-05:00","2015-01-26","123.1489","124.3452","121.8735","124.2167","2056092",""
"TMO","2015-01-27T00:00:00-05:00","2015-01-27","122.7535","124.4243","122.7139","123.4653","1915904",""
"TMO","2015-01-28T00:00:00-05:00","2015-01-28","124.276","124.454","122.5953","122.9314","2429219",""
"TMO","2015-01-29T00:00:00-05:00","2015-01-29","122.0812","127.2717","120.1631","126.5104","4959078",""
"TMO","2015-01-30T00:00:00-05:00","2015-01-30","125.3339","126.1743","123.5938","123.7916","3553253",""
"TMO","2015-02-02T00:00:00-05:00","2015-02-02","124.0684","124.4836","121.8043","124.4639","1856632",""
"TMO","2015-02-03T00:00:00-05:00","2015-02-03","124.9977","126.026","123.9596","125.8876","1817489",""
"TMO","2015-02-04T00:00:00-05:00","2015-02-04","125.1658","126.5796","124.6023","124.9186","1548542",""
"TMO","2015-02-05T00:00:00-05:00","2015-02-05","125.324","126.0457","124.4441","125.6008","1489574",""
"TMO","2015-02-06T00:00:00-05:00","2015-02-06","125.5613","125.7986","122.9116","123.3862","1591428",""
"TMO","2015-02-09T00:00:00-05:00","2015-02-09","122.4569","123.3368","121.5374","122.0021","1372751",""
"TMO","2015-02-10T00:00:00-05:00","2015-02-10","122.6744","123.7421","122.2295","123.6136","1246318",""
"TMO","2015-02-11T00:00:00-05:00","2015-02-11","123.8509","124.7605","123.4455","123.9992","1328651",""
"TMO","2015-02-12T00:00:00-05:00","2015-02-12","125.324","125.6404","124.1771","125.3932","1386405",""
"TMO","2015-02-13T00:00:00-05:00","2015-02-13","125.3734","126.2632","124.2365","126.1644","1561185",""
"TMO","2015-02-17T00:00:00-05:00","2015-02-17","125.5811","126.718","124.7605","126.5796","1397734",""
"TMO","2015-02-18T00:00:00-05:00","2015-02-18","126.55","127.4002","125.413","126.55","1418165",""
"TMO","2015-02-19T00:00:00-05:00","2015-02-19","126.2632","126.6587","125.6503","126.3423","1280708",""
"TMO","2015-02-20T00:00:00-05:00","2015-02-20","125.9666","129.7335","125.7096","129.6841","2195572",""
"TMO","2015-02-23T00:00:00-05:00","2015-02-23","129.516","129.8521","128.9722","129.4962","2110104",""
"TMO","2015-02-24T00:00:00-05:00","2015-02-24","129.338","130.4651","128.7943","130.3564","1401476",""
"TMO","2015-02-25T00:00:00-05:00","2015-02-25","130.3564","130.5046","129.2985","129.5852","1300533",""
"TMO","2015-02-26T00:00:00-05:00","2015-02-26","129.2787","129.6643","128.3296","128.6657","1576256",""
"TMO","2015-02-27T00:00:00-05:00","2015-02-27","128.3394","129.0117","128.3098","128.5273","1082664",""
"TMO","2015-03-02T00:00:00-05:00","2015-03-02","128.468","130.0795","128.1714","129.862","1360816",""
"TMO","2015-03-03T00:00:00-05:00","2015-03-03","128.903","129.2787","127.4991","128.2604","1477133",""
"TMO","2015-03-04T00:00:00-05:00","2015-03-04","128.1912","128.1912","127.2915","127.4299","1411490",""
"TMO","2015-03-05T00:00:00-05:00","2015-03-05","128.8437","130.0795","128.1219","129.9708","1562298",""
"TMO","2015-03-06T00:00:00-05:00","2015-03-06","129.2688","129.3776","126.7872","127.0542","1995404",""
"TMO","2015-03-09T00:00:00-04:00","2015-03-09","127.1333","127.2025","126.2237","126.6488","1003771",""
"TMO","2015-03-10T00:00:00-04:00","2015-03-10","126.0062","127.0146","124.7506","125.5909","1754880",""
"TMO","2015-03-11T00:00:00-04:00","2015-03-11","126.0556","127.0838","125.8085","126.4906","1166514",""
"TMO","2015-03-12T00:00:00-04:00","2015-03-12","127.2033","127.9853","126.6886","127.2924","1264558",""
"TMO","2015-03-13T00:00:00-04:00","2015-03-13","127.0944","128.2228","125.3226","126.1244","1221924",""
"TMO","2015-03-16T00:00:00-04:00","2015-03-16","128.4505","131.6477","128.0744","131.618","2336962",""
"TMO","2015-03-17T00:00:00-04:00","2015-03-17","131.2022","131.4695","129.0939","131.0043","1559860",""
"TMO","2015-03-18T00:00:00-04:00","2015-03-18","130.8162","133.2512","129.7769","132.5286","1926488",""
"TMO","2015-03-19T00:00:00-04:00","2015-03-19","132.4197","133.6372","132.4098","133.3898","1655533",""
"TMO","2015-03-20T00:00:00-04:00","2015-03-20","134.4984","135.4882","133.4789","135.2408","2693689",""
"TMO","2015-03-23T00:00:00-04:00","2015-03-23","134.9735","137.0917","134.241","136.4681","1849101",""
"TMO","2015-03-24T00:00:00-04:00","2015-03-24","135.9732","137.6163","134.2014","134.2707","5176939",""
"TMO","2015-03-25T00:00:00-04:00","2015-03-25","134.2707","135.5278","132.2515","132.3504","1823945",""
"TMO","2015-03-26T00:00:00-04:00","2015-03-26","131.321","132.6078","130.8657","131.717","1213135",""
"TMO","2015-03-27T00:00:00-04:00","2015-03-27","131.8852","133.1522","131.8258","132.3306","1116047",""
"TMO","2015-03-30T00:00:00-04:00","2015-03-30","133.2215","134.4192","132.9146","134.1915","1319819",""
"TMO","2015-03-31T00:00:00-04:00","2015-03-31","133.1819","134.8547","132.8157","132.974","1446306",""
"TMO","2015-04-01T00:00:00-04:00","2015-04-01","133.3007","133.3502","129.955","130.6578","1819904",""
"TMO","2015-04-02T00:00:00-04:00","2015-04-02","130.9152","132.3207","130.5588","131.7565","849639",""
"TMO","2015-04-06T00:00:00-04:00","2015-04-06","131.1132","132.786","130.9251","132.1426","990269",""
"TMO","2015-04-07T00:00:00-04:00","2015-04-07","132.5979","133.6273","131.6675","131.6675","955212",""
"TMO","2015-04-08T00:00:00-04:00","2015-04-08","131.6477","132.7959","130.7667","131.4695","1281631",""
"TMO","2015-04-09T00:00:00-04:00","2015-04-09","131.5586","132.5187","131.0835","132.2119","758209",""
"TMO","2015-04-10T00:00:00-04:00","2015-04-10","132.2218","133.0829","131.5685","132.3702","828423",""
"TMO","2015-04-13T00:00:00-04:00","2015-04-13","131.9347","132.8751","131.3705","131.3705","818825",""
"TMO","2015-04-14T00:00:00-04:00","2015-04-14","131.3705","131.8159","130.737","131.3309","1084527",""
"TMO","2015-04-15T00:00:00-04:00","2015-04-15","131.806","132.6177","131.6279","132.2614","953697",""
"TMO","2015-04-16T00:00:00-04:00","2015-04-16","131.905","132.1723","130.9647","131.1429","1563295",""
"TMO","2015-04-17T00:00:00-04:00","2015-04-17","130.4698","130.9449","129.5393","130.7568","2061157",""
"TMO","2015-04-20T00:00:00-04:00","2015-04-20","131.8753","133.172","131.8159","132.6672","1393468",""
"TMO","2015-04-21T00:00:00-04:00","2015-04-21","132.9146","133.8055","132.202","133.073","1776159",""
"TMO","2015-04-22T00:00:00-04:00","2015-04-22","127.8665","131.2616","127.4805","129.3611","3516657",""
"TMO","2015-04-23T00:00:00-04:00","2015-04-23","128.886","128.9751","127.3716","128.2327","2277457",""
"TMO","2015-04-24T00:00:00-04:00","2015-04-24","128.7772","129.3414","128.0348","128.698","1549252",""
"TMO","2015-04-27T00:00:00-04:00","2015-04-27","129.371","129.371","125.7087","125.9759","2955046",""
"TMO","2015-04-28T00:00:00-04:00","2015-04-28","126.4906","126.6886","125.0554","126.3323","2471429",""
"TMO","2015-04-29T00:00:00-04:00","2015-04-29","126.065","126.748","125.2533","125.8373","1658766",""
"TMO","2015-04-30T00:00:00-04:00","2015-04-30","125.4117","126.0551","123.9765","124.4021","1986801",""
"TMO","2015-05-01T00:00:00-04:00","2015-05-01","125.2138","126.4411","124.897","126.362","2316958",""
"TMO","2015-05-04T00:00:00-04:00","2015-05-04","126.9361","127.6685","126.4313","126.4807","1193535",""
"TMO","2015-05-05T00:00:00-04:00","2015-05-05","124.8673","126.2234","124.8673","125.3622","1362049",""
"TMO","2015-05-06T00:00:00-04:00","2015-05-06","125.8967","126.4213","125.0851","126.362","1862841",""
"TMO","2015-05-07T00:00:00-04:00","2015-05-07","126.5104","127.1934","125.8868","126.451","2337467",""
"TMO","2015-05-08T00:00:00-04:00","2015-05-08","127.6883","128.8959","127.6488","128.6584","2143697",""
"TMO","2015-05-11T00:00:00-04:00","2015-05-11","128.3713","128.9256","128.1734","128.5495","972286",""
"TMO","2015-05-12T00:00:00-04:00","2015-05-12","128.6782","128.9157","126.8074","128.2921","1480150",""
"TMO","2015-05-13T00:00:00-04:00","2015-05-13","128.0447","128.8563","127.7378","128.5297","2106013",""
"TMO","2015-05-14T00:00:00-04:00","2015-05-14","129.2919","129.9946","128.4406","129.767","1317799",""
"TMO","2015-05-15T00:00:00-04:00","2015-05-15","129.7868","129.7967","128.3713","128.8365","1533492",""
"TMO","2015-05-18T00:00:00-04:00","2015-05-18","128.9256","129.1533","128.4208","128.6485","1262840",""
"TMO","2015-05-19T00:00:00-04:00","2015-05-19","128.5594","129.8957","128.2822","129.2226","1244857",""
"TMO","2015-05-20T00:00:00-04:00","2015-05-20","129.2622","131.6081","129.2226","130.6776","1877591",""
