symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"TROW","2015-01-02T00:00:00-05:00","2015-01-02","77.9865","78.54484","76.6447","77.23005","1110337",""
"TROW","2015-01-05T00:00:00-05:00","2015-01-05","76.59067","76.90586","75.18583","75.45599","1303777",""
"TROW","2015-01-06T00:00:00-05:00","2015-01-06","75.99632","76.26648","73.59188","74.12319","2235000",""
"TROW","2015-01-07T00:00:00-05:00","2015-01-07","74.26728","75.29389","74.00613","75.21284","1407049",""
"TROW","2015-01-08T00:00:00-05:00","2015-01-08","75.76217","76.22145","75.474","76.10438","1355746",""
"TROW","2015-01-09T00:00:00-05:00","2015-01-09","76.15841","76.36554","74.93368","75.51903","1061588",""
"TROW","2015-01-12T00:00:00-05:00","2015-01-12","75.76217","75.76217","74.1322","74.68153","1077468",""
"TROW","2015-01-13T00:00:00-05:00","2015-01-13","75.60909","76.40155","74.2943","74.7986","1789265",""
"TROW","2015-01-14T00:00:00-05:00","2015-01-14","74.15021","74.42037","72.83543","73.62791","1740073",""
"TROW","2015-01-15T00:00:00-05:00","2015-01-15","73.6369","74.01514","72.70935","72.9705","1390059",""
"TROW","2015-01-16T00:00:00-05:00","2015-01-16","72.23207","73.42078","71.32253","73.39376","2301182",""
"TROW","2015-01-20T00:00:00-05:00","2015-01-20","73.78099","74.06016","72.63731","73.26768","1608595",""
"TROW","2015-01-21T00:00:00-05:00","2015-01-21","72.84444","73.99712","72.06997","73.13261","2253100",""
"TROW","2015-01-22T00:00:00-05:00","2015-01-22","73.67293","75.28489","72.9435","74.88866","2441654",""
"TROW","2015-01-23T00:00:00-05:00","2015-01-23","74.96069","75.36594","73.92507","73.99712","1432367",""
"TROW","2015-01-26T00:00:00-05:00","2015-01-26","73.72696","76.74376","73.22266","74.67252","1268909",""
"TROW","2015-01-27T00:00:00-05:00","2015-01-27","73.87105","74.39336","73.06956","73.81702","1492220",""
"TROW","2015-01-28T00:00:00-05:00","2015-01-28","72.91648","72.93449","71.32253","71.34955","3144790",""
"TROW","2015-01-29T00:00:00-05:00","2015-01-29","71.13342","71.86285","70.20586","71.31352","2614440",""
"TROW","2015-01-30T00:00:00-05:00","2015-01-30","70.42199","71.88086","70.24188","70.89027","3171552",""
"TROW","2015-02-02T00:00:00-05:00","2015-02-02","71.03436","72.18704","70.79121","72.05196","2116182",""
"TROW","2015-02-03T00:00:00-05:00","2015-02-03","72.59229","73.19564","71.21446","73.16862","1743182",""
"TROW","2015-02-04T00:00:00-05:00","2015-02-04","73.01554","73.6189","72.48421","72.99752","1240149",""
"TROW","2015-02-05T00:00:00-05:00","2015-02-05","73.44779","74.01514","73.06956","73.6189","1286454",""
"TROW","2015-02-06T00:00:00-05:00","2015-02-06","73.97911","74.77158","73.74497","74.12319","1866664",""
"TROW","2015-02-09T00:00:00-05:00","2015-02-09","73.97911","73.97911","73.21365","73.34873","1921409",""
"TROW","2015-02-10T00:00:00-05:00","2015-02-10","74.02413","74.33932","73.24967","74.04215","1229155",""
"TROW","2015-02-11T00:00:00-05:00","2015-02-11","73.85303","74.18623","73.6189","73.93408","1659676",""
"TROW","2015-02-12T00:00:00-05:00","2015-02-12","74.04215","74.42037","73.68193","74.09618","1611483",""
"TROW","2015-02-13T00:00:00-05:00","2015-02-13","74.15021","74.57346","73.87105","74.24927","1031273",""
"TROW","2015-02-17T00:00:00-05:00","2015-02-17","73.82602","74.35734","73.60089","74.2943","1147204",""
"TROW","2015-02-18T00:00:00-05:00","2015-02-18","73.94309","74.16822","73.26768","73.58287","958428",""
"TROW","2015-02-19T00:00:00-05:00","2015-02-19","74.02413","75.33893","73.19564","74.71755","2402455",""
"TROW","2015-02-20T00:00:00-05:00","2015-02-20","74.2943","75.37494","73.799","75.22185","1672446",""
"TROW","2015-02-23T00:00:00-05:00","2015-02-23","75.08677","75.1498","74.24027","74.82561","1595492",""
"TROW","2015-02-24T00:00:00-05:00","2015-02-24","74.56446","75.79819","74.54645","75.66311","1420263",""
"TROW","2015-02-25T00:00:00-05:00","2015-02-25","75.05975","75.60007","74.97871","75.21284","1332316",""
"TROW","2015-02-26T00:00:00-05:00","2015-02-26","75.36594","75.49201","74.72656","75.03274","841053",""
"TROW","2015-02-27T00:00:00-05:00","2015-02-27","74.84363","74.97871","74.23126","74.38435","1598379",""
"TROW","2015-03-02T00:00:00-05:00","2015-03-02","74.2943","75.09578","74.16822","75.09578","1299002",""
"TROW","2015-03-03T00:00:00-05:00","2015-03-03","74.73556","74.83462","74.17723","74.60948","1012618",""
"TROW","2015-03-04T00:00:00-05:00","2015-03-04","74.02413","74.49242","73.74497","74.23126","1000736",""
"TROW","2015-03-05T00:00:00-05:00","2015-03-05","74.36634","74.81661","74.18623","74.74457","771428",""
"TROW","2015-03-06T00:00:00-05:00","2015-03-06","74.56446","75.55505","73.89806","73.9611","1488778",""
"TROW","2015-03-09T00:00:00-04:00","2015-03-09","74.02413","74.70854","73.98812","74.48341","992630",""
"TROW","2015-03-10T00:00:00-04:00","2015-03-10","73.69094","73.85303","73.08759","73.08759","1587941",""
"TROW","2015-03-11T00:00:00-04:00","2015-03-11","73.20465","73.83502","73.09658","73.55586","1397721",""
"TROW","2015-03-12T00:00:00-04:00","2015-03-12","73.90026","75.31409","73.65555","75.16003","1699645",""
"TROW","2015-03-13T00:00:00-04:00","2015-03-13","75.10564","75.16003","73.9637","74.48029","1384409",""
"TROW","2015-03-16T00:00:00-04:00","2015-03-16","75.11471","75.71287","75.10564","75.7038","1040817",""
"TROW","2015-03-17T00:00:00-04:00","2015-03-17","74.9697","75.93945","74.96063","75.731","1170464",""
"TROW","2015-03-18T00:00:00-04:00","2015-03-18","75.66756","76.32916","74.98782","76.02101","1424021",""
"TROW","2015-03-19T00:00:00-04:00","2015-03-19","75.67662","75.9757","74.77937","75.0694","1460322",""
"TROW","2015-03-20T00:00:00-04:00","2015-03-20","75.3866","76.3201","75.0694","76.1207","3154230",""
"TROW","2015-03-23T00:00:00-04:00","2015-03-23","76.12977","76.47417","75.4863","75.49536","1556757",""
"TROW","2015-03-24T00:00:00-04:00","2015-03-24","75.36848","75.76725","75.09658","75.39567","1265686",""
"TROW","2015-03-25T00:00:00-04:00","2015-03-25","75.56786","75.56786","73.90026","73.93651","1026473",""
"TROW","2015-03-26T00:00:00-04:00","2015-03-26","73.26584","74.27184","73.2024","73.55586","1581363",""
"TROW","2015-03-27T00:00:00-04:00","2015-03-27","73.45617","73.75524","73.22959","73.60117","1270320",""
"TROW","2015-03-30T00:00:00-04:00","2015-03-30","74.0362","74.57999","73.90932","74.08151","1289850",""
"TROW","2015-03-31T00:00:00-04:00","2015-03-31","73.77338","73.99995","73.36553","73.39273","1624505",""
"TROW","2015-04-01T00:00:00-04:00","2015-04-01","73.5468","74.09965","73.0302","73.95464","1667867",""
"TROW","2015-04-02T00:00:00-04:00","2015-04-02","74.12683","74.38966","73.68275","74.28091","1050527",""
"TROW","2015-04-06T00:00:00-04:00","2015-04-06","73.6918","74.63436","73.36553","74.42592","1118826",""
"TROW","2015-04-07T00:00:00-04:00","2015-04-07","74.6117","74.81606","73.39481","73.43196","1568147",""
"TROW","2015-04-08T00:00:00-04:00","2015-04-08","73.7385","75.02972","73.58059","74.88109","2455942",""
"TROW","2015-04-09T00:00:00-04:00","2015-04-09","75.01114","75.9122","74.53738","75.65211","2115766",""
"TROW","2015-04-10T00:00:00-04:00","2015-04-10","75.51276","75.71712","74.86251","75.2248","1509154",""
"TROW","2015-04-13T00:00:00-04:00","2015-04-13","75.15048","76.07012","74.88109","75.61494","1696574",""
"TROW","2015-04-14T00:00:00-04:00","2015-04-14","75.14119","76.50672","74.90896","76.23733","1730592",""
"TROW","2015-04-15T00:00:00-04:00","2015-04-15","76.57175","77.10123","76.42311","76.90616","1350477",""
"TROW","2015-04-16T00:00:00-04:00","2015-04-16","76.55317","77.31489","76.12585","77.15697","2025016",""
"TROW","2015-04-17T00:00:00-04:00","2015-04-17","76.73895","76.73895","76.15372","76.56245","2084978",""
"TROW","2015-04-20T00:00:00-04:00","2015-04-20","76.85971","77.58427","76.85971","77.10123","1691730",""
"TROW","2015-04-21T00:00:00-04:00","2015-04-21","77.49138","77.5657","76.7854","76.91545","1630261",""
"TROW","2015-04-22T00:00:00-04:00","2015-04-22","77.51925","77.51925","75.40129","76.72037","2232459",""
"TROW","2015-04-23T00:00:00-04:00","2015-04-23","76.70179","76.70179","75.90291","76.23733","1775375",""
"TROW","2015-04-24T00:00:00-04:00","2015-04-24","76.20946","76.79469","76.01439","76.70179","1180927",""
"TROW","2015-04-27T00:00:00-04:00","2015-04-27","76.79469","77.15697","76.35809","76.54388","1088348",""
"TROW","2015-04-28T00:00:00-04:00","2015-04-28","76.25591","76.90616","75.88434","76.89687","1238521",""
"TROW","2015-04-29T00:00:00-04:00","2015-04-29","76.2652","76.98048","75.70784","76.11657","1475460",""
"TROW","2015-04-30T00:00:00-04:00","2015-04-30","75.72641","76.32094","75.10403","75.41058","1849115",""
"TROW","2015-05-01T00:00:00-04:00","2015-05-01","75.66138","75.79144","75.20621","75.69855","973808",""
"TROW","2015-05-04T00:00:00-04:00","2015-05-04","75.9122","76.24662","75.76357","76.09798","1081889",""
"TROW","2015-05-05T00:00:00-04:00","2015-05-05","75.71712","76.29306","75.44774","75.60565","1047871",""
"TROW","2015-05-06T00:00:00-04:00","2015-05-06","75.78215","76.06083","74.47236","74.89038","1207733",""
"TROW","2015-05-07T00:00:00-04:00","2015-05-07","74.84393","75.20621","74.58383","75.01114","2412990",""
"TROW","2015-05-08T00:00:00-04:00","2015-05-08","75.54992","76.11657","75.46632","75.87505","1231846",""
"TROW","2015-05-11T00:00:00-04:00","2015-05-11","75.98652","76.2652","75.78215","75.84718","1095238",""
"TROW","2015-05-12T00:00:00-04:00","2015-05-12","75.53134","75.60565","74.62099","75.36413","1079844",""
"TROW","2015-05-13T00:00:00-04:00","2015-05-13","75.11332","75.5685","74.89038","75.41058","1474383",""
"TROW","2015-05-14T00:00:00-04:00","2015-05-14","75.87505","76.2652","75.44774","76.15372","860451",""
"TROW","2015-05-15T00:00:00-04:00","2015-05-15","76.22803","76.37667","75.53134","75.75429","1689362",""
"TROW","2015-05-18T00:00:00-04:00","2015-05-18","75.70784","76.47885","75.68926","76.29306","770778",""
"TROW","2015-05-19T00:00:00-04:00","2015-05-19","76.46027","76.63676","75.94936","76.12585","1137006",""
"TROW","2015-05-20T00:00:00-04:00","2015-05-20","76.06083","76.29306","75.69855","75.97723","912554",""
"TROW","2015-05-21T00:00:00-04:00","2015-05-21","75.72641","76.01439","75.53134","75.88434","893608",""
"TROW","2015-05-22T00:00:00-04:00","2015-05-22","75.81931","76.13515","75.54992","75.77287","956153",""
"TROW","2015-05-26T00:00:00-04:00","2015-05-26","75.65211","75.83789","74.56525","74.93682","1511092",""
"TROW","2015-05-27T00:00:00-04:00","2015-05-27","75.28053","75.80073","74.91825","75.49418","1308709",""
"TROW","2015-05-28T00:00:00-04:00","2015-05-28","75.34556","75.5592","75.14119","75.50347","1068540",""
"TROW","2015-05-29T00:00:00-04:00","2015-05-29","75.27124","75.50347","74.92754","74.95541","1272754",""
"TROW","2015-06-01T00:00:00-04:00","2015-06-01","75.19692","75.44774","74.44449","75.06687","1386756",""
"TROW","2015-06-02T00:00:00-04:00","2015-06-02","74.6953","74.88109","74.14723","74.57454","1722733",""
"TROW","2015-06-03T00:00:00-04:00","2015-06-03","74.82536","75.05759","73.89642","74.28658","3011312",""
"TROW","2015-06-04T00:00:00-04:00","2015-06-04","73.96145","74.24942","73.33907","73.5713","1752876",""
"TROW","2015-06-05T00:00:00-04:00","2015-06-05","73.98003","74.04505","73.26476","73.58987","1406779",""
"TROW","2015-06-08T00:00:00-04:00","2015-06-08","73.44125","73.94287","72.97678","73.02323","1477290",""
"TROW","2015-06-09T00:00:00-04:00","2015-06-09","72.84673","73.32049","72.52161","72.54947","1888731",""
"TROW","2015-06-10T00:00:00-04:00","2015-06-10","73.02323","73.39481","72.92104","73.26476","1631876",""
"TROW","2015-06-11T00:00:00-04:00","2015-06-11","73.85387","74.05958","73.47047","73.84451","1584757",""
"TROW","2015-06-12T00:00:00-04:00","2015-06-12","73.64814","73.7136","73.07774","73.24605","1111544",""
"TROW","2015-06-15T00:00:00-04:00","2015-06-15","72.59148","73.24605","72.38577","72.96552","1674587",""
"TROW","2015-06-16T00:00:00-04:00","2015-06-16","72.87201","73.74165","72.61018","73.66684","1171110",""
"TROW","2015-06-17T00:00:00-04:00","2015-06-17","73.84451","74.09698","73.51723","73.63879","1288638",""
"TROW","2015-06-18T00:00:00-04:00","2015-06-18","73.90061","74.77026","73.90061","74.47102","1468298",""
"TROW","2015-06-19T00:00:00-04:00","2015-06-19","74.32141","74.56453","73.7323","73.7323","1980759",""
"TROW","2015-06-22T00:00:00-04:00","2015-06-22","74.13439","74.62999","73.7697","73.93802","1441028",""
"TROW","2015-06-23T00:00:00-04:00","2015-06-23","74.09698","74.18114","73.66684","73.82581","2003110",""
"TROW","2015-06-24T00:00:00-04:00","2015-06-24","73.85387","74.18114","73.57333","73.62009","1791260",""
"TROW","2015-06-25T00:00:00-04:00","2015-06-25","73.56398","73.83516","72.91877","72.99357","1569144",""
"TROW","2015-06-26T00:00:00-04:00","2015-06-26","73.90997","74.60194","73.60139","74.2466","2205656",""
"TROW","2015-06-29T00:00:00-04:00","2015-06-29","73.54528","73.84451","72.36706","72.44186","2284899",""
"TROW","2015-06-30T00:00:00-04:00","2015-06-30","73.33021","73.74165","72.27355","72.685","1826871",""
"TROW","2015-07-01T00:00:00-04:00","2015-07-01","73.36761","73.68555","72.44186","72.63824","1691163",""
"TROW","2015-07-02T00:00:00-04:00","2015-07-02","72.85331","72.91877","71.92756","72.3203","1211212",""
"TROW","2015-07-06T00:00:00-04:00","2015-07-06","71.51612","72.17068","71.41326","71.93691","1505621",""
"TROW","2015-07-07T00:00:00-04:00","2015-07-07","72.11459","72.28291","70.95506","72.19874","1619299",""
"TROW","2015-07-08T00:00:00-04:00","2015-07-08","71.51612","71.77795","70.70259","70.8522","1993164",""
"TROW","2015-07-09T00:00:00-04:00","2015-07-09","71.75925","72.16134","71.51612","71.63769","2172291",""
"TROW","2015-07-10T00:00:00-04:00","2015-07-10","72.45122","72.54473","71.92756","72.40446","1276339",""
"TROW","2015-07-13T00:00:00-04:00","2015-07-13","72.93747","73.2928","72.685","73.22734","1293771",""
