symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"TSO","2015-01-02T00:00:00-05:00","2015-01-02","74.61","75.6","74","75.5","1769500",""
"TSO","2015-01-05T00:00:00-05:00","2015-01-05","74.97","75.06","71.88","72.06","2378800",""
"TSO","2015-01-06T00:00:00-05:00","2015-01-06","72.63","73.23","70.63","71.81","3177200",""
"TSO","2015-01-07T00:00:00-05:00","2015-01-07","72.67","73.88","70.5","70.61","3654600",""
"TSO","2015-01-08T00:00:00-05:00","2015-01-08","71.55","74.41","71.12","74.27","4010200",""
"TSO","2015-01-09T00:00:00-05:00","2015-01-09","74.11","74.34","72.23","72.86","2134300",""
"TSO","2015-01-12T00:00:00-05:00","2015-01-12","72.31","72.31","69.47","70","2854600",""
"TSO","2015-01-13T00:00:00-05:00","2015-01-13","70.74","70.88","65.9","66.67","4757400",""
"TSO","2015-01-14T00:00:00-05:00","2015-01-14","66.26","67.15","64.16","66.74","5979400",""
"TSO","2015-01-15T00:00:00-05:00","2015-01-15","67.17","68.54","65.14","67.97","5968600",""
"TSO","2015-01-16T00:00:00-05:00","2015-01-16","68.62","71.63","68.29","71.03","5471900",""
"TSO","2015-01-20T00:00:00-05:00","2015-01-20","71.12","73.19","66.78","72.15","4549100",""
"TSO","2015-01-21T00:00:00-05:00","2015-01-21","72.42","74.13","72","74.08","3262400",""
"TSO","2015-01-22T00:00:00-05:00","2015-01-22","74.42","76.63","73.86","76.56","3207800",""
"TSO","2015-01-23T00:00:00-05:00","2015-01-23","76.58","80.3","76.19","79.62","4859500",""
"TSO","2015-01-26T00:00:00-05:00","2015-01-26","79.82","81.06","79","81","3219700",""
"TSO","2015-01-27T00:00:00-05:00","2015-01-27","80.84","81.58","79.88","81.37","3012300",""
"TSO","2015-01-28T00:00:00-05:00","2015-01-28","80.33","83.12","80.1","81.85","3900400",""
"TSO","2015-01-29T00:00:00-05:00","2015-01-29","82.42","82.6","78.84","80.44","4606500",""
"TSO","2015-01-30T00:00:00-05:00","2015-01-30","80.06","83.07","79.66","81.73","3579500",""
"TSO","2015-02-02T00:00:00-05:00","2015-02-02","81.84","82.67","80.12","82.51","3914600",""
"TSO","2015-02-03T00:00:00-05:00","2015-02-03","84.14","85.19","82.81","85.08","4099200",""
"TSO","2015-02-04T00:00:00-05:00","2015-02-04","84.63","85.7","83.48","85.21","2462400",""
"TSO","2015-02-05T00:00:00-05:00","2015-02-05","86.47","86.88","84.7","85.37","2398400",""
"TSO","2015-02-06T00:00:00-05:00","2015-02-06","86.43","86.43","84.69","85.36","2119500",""
"TSO","2015-02-09T00:00:00-05:00","2015-02-09","85.44","86.37","84.58","86.24","1893400",""
"TSO","2015-02-10T00:00:00-05:00","2015-02-10","86.67","89.18","86.11","88.1","4358200",""
"TSO","2015-02-11T00:00:00-05:00","2015-02-11","87.44","88.34","86.9","87.29","2830100",""
"TSO","2015-02-12T00:00:00-05:00","2015-02-12","83.73","83.96","79.77","81.42","9003300",""
"TSO","2015-02-13T00:00:00-05:00","2015-02-13","81.32","82.05","79.9","81.92","5685400",""
"TSO","2015-02-17T00:00:00-05:00","2015-02-17","81.9","83.81","80.95","83.26","3124700",""
"TSO","2015-02-18T00:00:00-05:00","2015-02-18","83.3","87.35","82.89","87.09","6065300",""
"TSO","2015-02-19T00:00:00-05:00","2015-02-19","86.7","91.47","86.56","90.53","7912900",""
"TSO","2015-02-20T00:00:00-05:00","2015-02-20","90.24","90.91","89.11","90.58","3907100",""
"TSO","2015-02-23T00:00:00-05:00","2015-02-23","90.65","93.45","90.42","91.67","3503200",""
"TSO","2015-02-24T00:00:00-05:00","2015-02-24","91.81","92.14","89.4","90.21","3127400",""
"TSO","2015-02-25T00:00:00-05:00","2015-02-25","89.99","91.94","89.96","90.89","2473700",""
"TSO","2015-02-26T00:00:00-05:00","2015-02-26","90.37","93.57","90.37","93.52","2434500",""
"TSO","2015-02-27T00:00:00-05:00","2015-02-27","93.98","94.83","91.71","91.84","3034000",""
"TSO","2015-03-02T00:00:00-05:00","2015-03-02","91.62","92.28","89.68","90.76","3088700",""
"TSO","2015-03-03T00:00:00-05:00","2015-03-03","91.57","92.24","89.9","91.04","2544500",""
"TSO","2015-03-04T00:00:00-05:00","2015-03-04","90.87","91.46","89.03","89.7","2397200",""
"TSO","2015-03-05T00:00:00-05:00","2015-03-05","90.22","90.43","88.86","89.31","2343800",""
"TSO","2015-03-06T00:00:00-05:00","2015-03-06","88.99","90.41","86.33","86.88","2523900",""
"TSO","2015-03-09T00:00:00-04:00","2015-03-09","87.1","88.63","86.11","86.15","2301000",""
"TSO","2015-03-10T00:00:00-04:00","2015-03-10","85.05","85.93","84.46","85.11","2019600",""
"TSO","2015-03-11T00:00:00-04:00","2015-03-11","85.12","87.21","84.37","86.68","2049500",""
"TSO","2015-03-12T00:00:00-04:00","2015-03-12","87.25","87.99","84.22","84.27","2966100",""
"TSO","2015-03-13T00:00:00-04:00","2015-03-13","84.35","86.9","84.35","86.23","2430900",""
"TSO","2015-03-16T00:00:00-04:00","2015-03-16","86.16","87.86","85.13","87.81","2529300",""
"TSO","2015-03-17T00:00:00-04:00","2015-03-17","86.75","89.45","86.3","89.12","3127700",""
"TSO","2015-03-18T00:00:00-04:00","2015-03-18","89.14","93.87","88.9","93.54","3679200",""
"TSO","2015-03-19T00:00:00-04:00","2015-03-19","92.75","93.58","92.12","93.09","2004300",""
"TSO","2015-03-20T00:00:00-04:00","2015-03-20","92.32","94.07","92.32","93.51","3169500",""
"TSO","2015-03-23T00:00:00-04:00","2015-03-23","93.82","94.71","92.24","92.36","2253600",""
"TSO","2015-03-24T00:00:00-04:00","2015-03-24","91.8","92.24","89.73","90.32","2789500",""
"TSO","2015-03-25T00:00:00-04:00","2015-03-25","91.26","94.15","91.25","91.61","3706600",""
"TSO","2015-03-26T00:00:00-04:00","2015-03-26","92.15","92.23","90.52","91.17","1565100",""
"TSO","2015-03-27T00:00:00-04:00","2015-03-27","91.56","92.23","89.72","89.9","1759300",""
"TSO","2015-03-30T00:00:00-04:00","2015-03-30","90.21","91.72","89.17","91.15","3203000",""
"TSO","2015-03-31T00:00:00-04:00","2015-03-31","90.86","92.49","90.58","91.29","2060500",""
"TSO","2015-04-01T00:00:00-04:00","2015-04-01","91.55","91.82","90.34","91.31","1681900",""
"TSO","2015-04-02T00:00:00-04:00","2015-04-02","90.92","91.15","86.32","86.61","3188200",""
"TSO","2015-04-06T00:00:00-04:00","2015-04-06","87.15","88.61","85.52","86.65","2600600",""
"TSO","2015-04-07T00:00:00-04:00","2015-04-07","87.76","87.91","85.15","85.56","2515900",""
