symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"TSS","2015-01-02T00:00:00-05:00","2015-01-02","33.46831","33.7811","33.10665","33.39989","1030014",""
"TSS","2015-01-05T00:00:00-05:00","2015-01-05","33.23372","33.30214","32.80364","33.10665","931493",""
"TSS","2015-01-06T00:00:00-05:00","2015-01-06","33.18485","33.23372","32.31491","32.5886","786833",""
"TSS","2015-01-07T00:00:00-05:00","2015-01-07","32.80364","32.93071","32.49085","32.93071","675831",""
"TSS","2015-01-08T00:00:00-05:00","2015-01-08","33.13597","33.8984","33.13597","33.742","874918",""
"TSS","2015-01-09T00:00:00-05:00","2015-01-09","33.76155","33.76155","33.02845","33.0871","682583",""
"TSS","2015-01-12T00:00:00-05:00","2015-01-12","33.15552","33.18485","32.59837","32.90138","799212",""
"TSS","2015-01-13T00:00:00-05:00","2015-01-13","33.11642","33.69313","32.69612","33.10665","764121",""
"TSS","2015-01-14T00:00:00-05:00","2015-01-14","32.77431","32.9698","32.4322","32.87206","702533",""
"TSS","2015-01-15T00:00:00-05:00","2015-01-15","32.94048","32.9698","32.40288","32.52017","441653",""
"TSS","2015-01-16T00:00:00-05:00","2015-01-16","32.44197","33.38034","32.37355","33.36079","748673",""
"TSS","2015-01-20T00:00:00-05:00","2015-01-20","33.39989","33.48786","32.86228","33.41944","647595",""
"TSS","2015-01-21T00:00:00-05:00","2015-01-21","33.23372","33.45853","32.91116","33.33146","663657",""
"TSS","2015-01-22T00:00:00-05:00","2015-01-22","33.44876","33.93749","33.06755","33.84952","454851",""
"TSS","2015-01-23T00:00:00-05:00","2015-01-23","33.83974","34.19163","33.72245","34.07434","574139",""
"TSS","2015-01-26T00:00:00-05:00","2015-01-26","33.97659","34.13298","33.56606","34.07434","667238",""
"TSS","2015-01-27T00:00:00-05:00","2015-01-27","33.6638","33.82997","33.24349","33.44876","851695",""
"TSS","2015-01-28T00:00:00-05:00","2015-01-28","34.46532","36.05859","33.84952","35.59918","2863946",""
"TSS","2015-01-29T00:00:00-05:00","2015-01-29","35.7458","36.16611","35.29617","35.87287","1609678",""
"TSS","2015-01-30T00:00:00-05:00","2015-01-30","35.79467","35.79467","34.53374","34.57284","1435144",""
"TSS","2015-02-02T00:00:00-05:00","2015-02-02","34.73901","35.06157","34.14276","35.04202","1033492",""
"TSS","2015-02-03T00:00:00-05:00","2015-02-03","35.22775","35.77512","35.20819","35.7458","761768",""
"TSS","2015-02-04T00:00:00-05:00","2015-02-04","35.6285","35.86309","35.10067","35.32549","1188997",""
"TSS","2015-02-05T00:00:00-05:00","2015-02-05","35.42324","35.79467","35.26684","35.77512","549893",""
"TSS","2015-02-06T00:00:00-05:00","2015-02-06","35.7849","35.92174","35.53075","35.65783","547131",""
"TSS","2015-02-09T00:00:00-05:00","2015-02-09","35.51121","35.60896","35.06157","35.25706","972620",""
"TSS","2015-02-10T00:00:00-05:00","2015-02-10","35.42324","35.72625","35.14954","35.6676","509380",""
"TSS","2015-02-11T00:00:00-05:00","2015-02-11","35.64805","35.81422","35.36459","35.69693","622735",""
"TSS","2015-02-12T00:00:00-05:00","2015-02-12","35.83377","36.13678","35.77512","36.08791","503344",""
"TSS","2015-02-13T00:00:00-05:00","2015-02-13","36.03904","36.27363","35.93151","36.25408","551939",""
"TSS","2015-02-17T00:00:00-05:00","2015-02-17","36.16611","36.42025","35.88264","36.29318","492295",""
"TSS","2015-02-18T00:00:00-05:00","2015-02-18","36.18566","36.50822","36.07814","36.42025","472140",""
"TSS","2015-02-19T00:00:00-05:00","2015-02-19","36.30295","36.68416","36.08791","36.67439","594191",""
"TSS","2015-02-20T00:00:00-05:00","2015-02-20","36.65484","37.24131","36.3616","37.17289","611583",""
"TSS","2015-02-23T00:00:00-05:00","2015-02-23","37.19244","37.25109","36.80146","37.04583","731281",""
"TSS","2015-02-24T00:00:00-05:00","2015-02-24","36.96762","37.32928","36.60596","37.18267","762996",""
"TSS","2015-02-25T00:00:00-05:00","2015-02-25","37.22177","37.54433","37.0556","37.46613","668056",""
"TSS","2015-02-26T00:00:00-05:00","2015-02-26","37.50523","37.58343","37.14357","37.53456","783252",""
"TSS","2015-02-27T00:00:00-05:00","2015-02-27","37.47591","37.73982","37.21199","37.33906","1252119",""
"TSS","2015-03-02T00:00:00-05:00","2015-03-02","37.31951","37.89622","37.22177","37.85712","901108",""
"TSS","2015-03-03T00:00:00-05:00","2015-03-03","37.7105","37.76915","37.23154","37.30973","729542",""
"TSS","2015-03-04T00:00:00-05:00","2015-03-04","37.1338","37.38794","36.8601","37.26086","780388",""
"TSS","2015-03-05T00:00:00-05:00","2015-03-05","37.37816","37.37816","37.0165","37.22177","759620",""
"TSS","2015-03-06T00:00:00-05:00","2015-03-06","37.0556","37.21199","36.51799","36.64507","743148",""
"TSS","2015-03-09T00:00:00-04:00","2015-03-09","36.60596","37.08492","36.48867","36.9774","576390",""
"TSS","2015-03-10T00:00:00-04:00","2015-03-10","36.64507","36.82101","36.30295","36.31273","876146",""
"TSS","2015-03-11T00:00:00-04:00","2015-03-11","36.46912","36.77213","36.4007","36.56687","767906",""
