symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"UA","2016-04-08T00:00:00-04:00","2016-04-08","41.61","44.35","41.32","44.02","3725700",""
"UA","2016-04-11T00:00:00-04:00","2016-04-11","43.64","43.68","40.97","41.46","4160700",""
"UA","2016-04-12T00:00:00-04:00","2016-04-12","41.25","41.66","40.23","41.65","3697800",""
"UA","2016-04-13T00:00:00-04:00","2016-04-13","41.33","42.68","41.33","41.8","4476000",""
"UA","2016-04-14T00:00:00-04:00","2016-04-14","41.99","42.86","41.91","42.23","2550600",""
"UA","2016-04-15T00:00:00-04:00","2016-04-15","41.82","42.05","41.19","42","2410000",""
"UA","2016-04-18T00:00:00-04:00","2016-04-18","41.39","42.54","41.39","42.42","2623900",""
"UA","2016-04-19T00:00:00-04:00","2016-04-19","42.55","43.36","42.25","43","1704800",""
"UA","2016-04-20T00:00:00-04:00","2016-04-20","42.86","43.57","42.75","42.76","2335000",""
"UA","2016-04-21T00:00:00-04:00","2016-04-21","46.35","46.53","43.99","45.73","3324500",""
"UA","2016-04-22T00:00:00-04:00","2016-04-22","45.48","46.18","44.09","45.06","2461600",""
"UA","2016-04-25T00:00:00-04:00","2016-04-25","44.89","44.9","44.11","44.26","2107500",""
"UA","2016-04-26T00:00:00-04:00","2016-04-26","44.21","44.89","43.85","43.95","2181000",""
"UA","2016-04-27T00:00:00-04:00","2016-04-27","44.19","44.21","41.75","42.16","1280800",""
"UA","2016-04-28T00:00:00-04:00","2016-04-28","42.11","43.09","41.84","41.89","1445800",""
"UA","2016-04-29T00:00:00-04:00","2016-04-29","41.71","41.89","40.47","40.8","1964300",""
"UA","2016-05-02T00:00:00-04:00","2016-05-02","40.57","40.82","39.88","40.27","1453700",""
"UA","2016-05-03T00:00:00-04:00","2016-05-03","39.42","40.47","39.42","40.12","1539200",""
"UA","2016-05-04T00:00:00-04:00","2016-05-04","38.85","38.9","37.04","37.39","4516100",""
"UA","2016-05-05T00:00:00-04:00","2016-05-05","37.4","38.17","37.08","37.49","1121600",""
"UA","2016-05-06T00:00:00-04:00","2016-05-06","37","37.35","36.27","36.38","1346900",""
"UA","2016-05-09T00:00:00-04:00","2016-05-09","36.31","36.72","35.96","36.31","1705600",""
"UA","2016-05-10T00:00:00-04:00","2016-05-10","36.59","37.28","36.4","36.55","1282800",""
"UA","2016-05-11T00:00:00-04:00","2016-05-11","36","36.12","34.81","35.23","1941400",""
"UA","2016-05-12T00:00:00-04:00","2016-05-12","35.57","35.66","34.81","35.19","1634400",""
"UA","2016-05-13T00:00:00-04:00","2016-05-13","34.97","35.23","34.48","34.71","1908100",""
"UA","2016-05-16T00:00:00-04:00","2016-05-16","34.58","34.91","34.45","34.54","1695900",""
"UA","2016-05-17T00:00:00-04:00","2016-05-17","34.45","34.74","34.1","34.47","1895400",""
"UA","2016-05-18T00:00:00-04:00","2016-05-18","34.33","34.4","33.7","34.22","980900",""
"UA","2016-05-19T00:00:00-04:00","2016-05-19","33.78","35","33.78","34.85","1057400",""
"UA","2016-05-20T00:00:00-04:00","2016-05-20","34.89","35.65","34.73","35.58","1052800",""
"UA","2016-05-23T00:00:00-04:00","2016-05-23","35.53","36","34.75","34.83","683800",""
"UA","2016-05-24T00:00:00-04:00","2016-05-24","35.01","36.09","34.99","35.58","1143000",""
"UA","2016-05-25T00:00:00-04:00","2016-05-25","35.91","36","35.35","35.48","1322900",""
"UA","2016-05-26T00:00:00-04:00","2016-05-26","35.51","35.51","34.91","34.92","875000",""
"UA","2016-05-27T00:00:00-04:00","2016-05-27","34.97","35.21","34.84","35.06","1105500",""
"UA","2016-05-31T00:00:00-04:00","2016-05-31","35.24","35.4","34.65","34.97","6311400",""
"UA","2016-06-01T00:00:00-04:00","2016-06-01","33.39","33.76","32.63","33.72","3080900",""
"UA","2016-06-02T00:00:00-04:00","2016-06-02","33.67","34.32","33.66","34.22","2785400",""
"UA","2016-06-03T00:00:00-04:00","2016-06-03","33.78","34.32","33.78","34.16","967800",""
"UA","2016-06-06T00:00:00-04:00","2016-06-06","34.17","34.57","34.12","34.4","1956400",""
"UA","2016-06-07T00:00:00-04:00","2016-06-07","34.8","35.28","34.21","35.2","1441100",""
"UA","2016-06-08T00:00:00-04:00","2016-06-08","35.67","36.55","35.28","36.44","1287300",""
"UA","2016-06-09T00:00:00-04:00","2016-06-09","36.23","36.32","35.84","36.14","1224900",""
"UA","2016-06-10T00:00:00-04:00","2016-06-10","35.75","36.41","35.7","35.79","616800",""
"UA","2016-06-13T00:00:00-04:00","2016-06-13","35.62","35.74","34.62","34.68","1254200",""
"UA","2016-06-14T00:00:00-04:00","2016-06-14","34.66","34.75","34","34.4","1086000",""
"UA","2016-06-15T00:00:00-04:00","2016-06-15","34.45","35.47","34.45","34.77","1062800",""
"UA","2016-06-16T00:00:00-04:00","2016-06-16","34.22","34.27","33.16","33.48","1215800",""
"UA","2016-06-17T00:00:00-04:00","2016-06-17","33.72","34.25","33.6","34.14","1302200",""
"UA","2016-06-20T00:00:00-04:00","2016-06-20","34.71","35.17","34.65","34.77","845800",""
"UA","2016-06-21T00:00:00-04:00","2016-06-21","34.91","35.48","34.75","34.92","585500",""
"UA","2016-06-22T00:00:00-04:00","2016-06-22","34.95","35.01","34.26","34.32","635300",""
"UA","2016-06-23T00:00:00-04:00","2016-06-23","34.55","34.78","34.4","34.67","1260700",""
"UA","2016-06-24T00:00:00-04:00","2016-06-24","32.85","33.91","32.85","33.5","1992600",""
"UA","2016-06-27T00:00:00-04:00","2016-06-27","32.96","33.08","31.31","31.9","1417600",""
