symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"UDR","2015-01-02T00:00:00-05:00","2015-01-02","28.11655","28.51563","27.9533","28.45214","1182047",""
"UDR","2015-01-05T00:00:00-05:00","2015-01-05","28.35237","28.84214","28.27074","28.75145","1967616",""
"UDR","2015-01-06T00:00:00-05:00","2015-01-06","28.86028","29.14145","28.66075","28.9147","2771598",""
"UDR","2015-01-07T00:00:00-05:00","2015-01-07","29.0054","29.15959","28.70609","29.11424","3915607",""
"UDR","2015-01-08T00:00:00-05:00","2015-01-08","29.15996","29.21482","28.90393","29.1691","3203440",""
"UDR","2015-01-09T00:00:00-05:00","2015-01-09","29.20568","29.48914","29.08681","29.26968","2308419",""
"UDR","2015-01-12T00:00:00-05:00","2015-01-12","29.36113","29.64458","29.31541","29.60801","1512918",""
"UDR","2015-01-13T00:00:00-05:00","2015-01-13","29.64458","29.64458","29.24225","29.34284","2304373",""
"UDR","2015-01-14T00:00:00-05:00","2015-01-14","29.1691","29.71774","29.15081","29.6263","2144813",""
"UDR","2015-01-15T00:00:00-05:00","2015-01-15","29.80918","29.98291","29.66287","29.94634","2212946",""
"UDR","2015-01-16T00:00:00-05:00","2015-01-16","29.93719","30.33038","29.80003","30.28466","1431333",""
"UDR","2015-01-20T00:00:00-05:00","2015-01-20","30.47668","30.56812","29.87318","30.0012","1761389",""
"UDR","2015-01-21T00:00:00-05:00","2015-01-21","29.98291","30.01949","29.80003","29.94634","1718847",""
"UDR","2015-01-22T00:00:00-05:00","2015-01-22","30.01034","30.751","29.96462","30.751","1641746",""
"UDR","2015-01-23T00:00:00-05:00","2015-01-23","30.77843","30.90645","30.66871","30.77843","1782386",""
"UDR","2015-01-26T00:00:00-05:00","2015-01-26","30.76929","31.18991","30.66871","31.13504","3510857",""
"UDR","2015-01-27T00:00:00-05:00","2015-01-27","31.02532","31.44594","31.02532","31.4368","2188558",""
"UDR","2015-01-28T00:00:00-05:00","2015-01-28","31.54652","31.89399","31.29963","31.31792","3122402",""
"UDR","2015-01-29T00:00:00-05:00","2015-01-29","31.31792","31.41851","30.86073","31.0619","1703645",""
"UDR","2015-01-30T00:00:00-05:00","2015-01-30","30.97045","31.11676","30.41267","30.41267","2397221",""
"UDR","2015-02-02T00:00:00-05:00","2015-02-02","30.40353","30.51326","29.7086","30.43096","2270470",""
"UDR","2015-02-03T00:00:00-05:00","2015-02-03","30.44011","30.53155","29.59887","30.5224","2587730",""
"UDR","2015-02-04T00:00:00-05:00","2015-02-04","30.47668","30.58641","30.0012","30.33038","2019484",""
"UDR","2015-02-05T00:00:00-05:00","2015-02-05","30.47668","30.61384","30.28466","30.61384","1746625",""
"UDR","2015-02-06T00:00:00-05:00","2015-02-06","30.54984","30.56812","29.45256","29.6263","2134314",""
"UDR","2015-02-09T00:00:00-05:00","2015-02-09","29.6263","29.82746","29.38856","29.3977","1910449",""
"UDR","2015-02-10T00:00:00-05:00","2015-02-10","29.40685","29.58058","29.15081","29.544","1772434",""
"UDR","2015-02-11T00:00:00-05:00","2015-02-11","29.51657","29.7726","29.24225","29.42513","1612984",""
"UDR","2015-02-12T00:00:00-05:00","2015-02-12","29.49828","29.92805","29.38856","29.87318","1846910",""
"UDR","2015-02-13T00:00:00-05:00","2015-02-13","29.88233","29.88233","29.3977","29.67202","1415585",""
"UDR","2015-02-17T00:00:00-05:00","2015-02-17","29.67202","29.91891","29.544","29.64458","2015547",""
"UDR","2015-02-18T00:00:00-05:00","2015-02-18","29.67202","29.92805","29.43427","29.87318","2442278",""
"UDR","2015-02-19T00:00:00-05:00","2015-02-19","29.78175","29.79089","29.01366","29.10509","1714363",""
"UDR","2015-02-20T00:00:00-05:00","2015-02-20","29.05023","29.47085","28.97708","29.43427","1511933",""
"UDR","2015-02-23T00:00:00-05:00","2015-02-23","29.48914","29.78175","29.48914","29.7726","1629170",""
"UDR","2015-02-24T00:00:00-05:00","2015-02-24","29.71774","29.71774","28.75763","28.91307","1954522",""
"UDR","2015-02-25T00:00:00-05:00","2015-02-25","28.94965","29.50743","28.92222","29.07766","1874688",""
"UDR","2015-02-26T00:00:00-05:00","2015-02-26","29.08681","29.11424","28.72105","28.7942","1581269",""
"UDR","2015-02-27T00:00:00-05:00","2015-02-27","28.82163","29.2514","28.72105","29.20568","2269486",""
"UDR","2015-03-02T00:00:00-05:00","2015-03-02","29.18739","29.74517","29.08681","29.57144","1812242",""
"UDR","2015-03-03T00:00:00-05:00","2015-03-03","29.45256","29.57144","29.23311","29.46171","1767294",""
"UDR","2015-03-04T00:00:00-05:00","2015-03-04","29.47085","29.57144","29.32455","29.44342","1887702",""
"UDR","2015-03-05T00:00:00-05:00","2015-03-05","29.32455","29.76346","29.32455","29.48914","2244442",""
"UDR","2015-03-06T00:00:00-05:00","2015-03-06","28.89478","28.93136","28.71191","28.89478","3097905",""
"UDR","2015-03-09T00:00:00-04:00","2015-03-09","29.00451","29.21482","28.86735","29.15996","2503521",""
"UDR","2015-03-10T00:00:00-04:00","2015-03-10","29.08681","29.23311","28.94965","29.04109","4276284",""
"UDR","2015-03-11T00:00:00-04:00","2015-03-11","29.05023","29.27883","28.94965","29.21482","1899295",""
"UDR","2015-03-12T00:00:00-04:00","2015-03-12","29.36113","30.0012","29.31541","29.94634","3244779",""
"UDR","2015-03-13T00:00:00-04:00","2015-03-13","30.01949","30.2298","29.80918","30.17493","2761944",""
"UDR","2015-03-16T00:00:00-04:00","2015-03-16","30.38524","30.92473","30.33038","30.80586","2268720",""
"UDR","2015-03-17T00:00:00-04:00","2015-03-17","30.73271","30.86987","30.55898","30.76929","2024842",""
"UDR","2015-03-18T00:00:00-04:00","2015-03-18","30.76014","31.5008","30.64127","31.40022","2299451",""
"UDR","2015-03-19T00:00:00-04:00","2015-03-19","31.27221","31.65625","31.23563","31.31792","2184293",""
"UDR","2015-03-20T00:00:00-04:00","2015-03-20","31.51909","32.19574","31.41851","32.15002","4331293",""
"UDR","2015-03-23T00:00:00-04:00","2015-03-23","32.15002","32.46091","32.02201","32.20488","1465017",""
