symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"UHS","2015-01-02T00:00:00-05:00","2015-01-02","111.0384","111.524","108.7493","109.9682","636647",""
"UHS","2015-01-05T00:00:00-05:00","2015-01-05","109.4231","110.1466","106.7872","107.7187","811122",""
"UHS","2015-01-06T00:00:00-05:00","2015-01-06","107.5502","109.0466","107.0844","107.7583","1039787",""
"UHS","2015-01-07T00:00:00-05:00","2015-01-07","109.3042","111.0186","108.7889","110.979","922730",""
"UHS","2015-01-08T00:00:00-05:00","2015-01-08","111.633","112.4456","111.088","112.1186","1022329",""
"UHS","2015-01-09T00:00:00-05:00","2015-01-09","112.3069","112.5843","111.2564","111.8312","754108",""
"UHS","2015-01-12T00:00:00-05:00","2015-01-12","112.4555","112.5843","105.162","105.2809","1172485",""
"UHS","2015-01-13T00:00:00-05:00","2015-01-13","106.3412","106.9061","103.616","105.2908","1271983",""
"UHS","2015-01-14T00:00:00-05:00","2015-01-14","104.2503","104.2503","101.6341","103.3683","1182979",""
"UHS","2015-01-15T00:00:00-05:00","2015-01-15","103.4278","105.1521","102.4368","104.7061","854009",""
"UHS","2015-01-16T00:00:00-05:00","2015-01-16","104.3593","107.3916","104.3395","107.243","984286",""
"UHS","2015-01-20T00:00:00-05:00","2015-01-20","107.1935","108.0061","105.1917","106.1628","951086",""
"UHS","2015-01-21T00:00:00-05:00","2015-01-21","105.5683","107.9763","105.053","107.3124","672168",""
"UHS","2015-01-22T00:00:00-05:00","2015-01-22","107.679","109.8493","106.7178","109.3736","634427",""
"UHS","2015-01-23T00:00:00-05:00","2015-01-23","109.1853","109.9285","105.4394","105.5484","1168045",""
"UHS","2015-01-26T00:00:00-05:00","2015-01-26","106.5493","106.9556","104.3395","106.8664","1118094",""
"UHS","2015-01-27T00:00:00-05:00","2015-01-27","106.0142","107.0448","105.6376","105.8755","612529",""
"UHS","2015-01-28T00:00:00-05:00","2015-01-28","106.3313","106.4205","104.5872","104.7259","837258",""
"UHS","2015-01-29T00:00:00-05:00","2015-01-29","105.2115","105.3106","102.4566","104.4881","891851",""
"UHS","2015-01-30T00:00:00-05:00","2015-01-30","103.6458","104.062","101.426","101.6044","596384",""
