symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"UNH","2015-01-02T00:00:00-05:00","2015-01-02","97.0274","98.09805","95.60306","96.33913","3211515",""
"UNH","2015-01-05T00:00:00-05:00","2015-01-05","95.88029","96.02367","94.39858","94.75228","4899914",""
"UNH","2015-01-06T00:00:00-05:00","2015-01-06","95.43099","95.72733","94.12136","94.56109","3628071",""
"UNH","2015-01-07T00:00:00-05:00","2015-01-07","94.60889","95.88029","94.56109","95.52659","3374392",""
"UNH","2015-01-08T00:00:00-05:00","2015-01-08","97.09431","100.3541","96.28178","100.0864","5592535",""
"UNH","2015-01-09T00:00:00-05:00","2015-01-09","99.81873","100.0195","98.36572","99.14958","3554112",""
"UNH","2015-01-12T00:00:00-05:00","2015-01-12","99.25473","99.41724","97.41934","98.03114","3192162",""
"UNH","2015-01-13T00:00:00-05:00","2015-01-13","99.35989","100.9467","97.35242","98.52822","4034165",""
"UNH","2015-01-14T00:00:00-05:00","2015-01-14","97.13255","98.92016","96.7215","98.77676","4943432",""
"UNH","2015-01-15T00:00:00-05:00","2015-01-15","98.99663","99.98124","98.58557","99.85697","6160251",""
"UNH","2015-01-16T00:00:00-05:00","2015-01-16","99.89521","101.3291","99.08266","101.1092","6324070",""
"UNH","2015-01-20T00:00:00-05:00","2015-01-20","101.396","101.6924","99.89521","100.9659","6827556",""
"UNH","2015-01-21T00:00:00-05:00","2015-01-21","101.8262","104.6271","100.9659","104.5028","8675904",""
"UNH","2015-01-22T00:00:00-05:00","2015-01-22","104.9139","109.0913","104.5124","108.8332","8426410",""
"UNH","2015-01-23T00:00:00-05:00","2015-01-23","108.7185","109.2825","107.0647","107.0647","5498177",""
"UNH","2015-01-26T00:00:00-05:00","2015-01-26","107.0647","107.0647","105.8794","106.6919","4397161",""
"UNH","2015-01-27T00:00:00-05:00","2015-01-27","106.061","106.3478","105.0764","105.1624","4935691",""
"UNH","2015-01-28T00:00:00-05:00","2015-01-28","105.6977","105.9941","103.6712","103.6807","6939279",""
"UNH","2015-01-29T00:00:00-05:00","2015-01-29","103.3844","104.7514","102.0365","104.5697","5138634",""
"UNH","2015-01-30T00:00:00-05:00","2015-01-30","103.8337","104.5697","101.4629","101.5681","5646200",""
"UNH","2015-02-02T00:00:00-05:00","2015-02-02","102.0269","102.6101","100.4401","102.5623","4871670",""
"UNH","2015-02-03T00:00:00-05:00","2015-02-03","102.6196","103.241","101.8262","103.0593","4385863",""
"UNH","2015-02-04T00:00:00-05:00","2015-02-04","102.1703","103.9484","102.0461","103.1645","4988623",""
"UNH","2015-02-05T00:00:00-05:00","2015-02-05","103.5469","104.9712","103.5469","104.0248","3449711",""
"UNH","2015-02-06T00:00:00-05:00","2015-02-06","103.805","104.5793","102.4667","102.8586","3830176",""
"UNH","2015-02-09T00:00:00-05:00","2015-02-09","102.2181","102.5145","101.5968","101.7975","4089922",""
"UNH","2015-02-10T00:00:00-05:00","2015-02-10","102.5336","104.6366","102.4093","104.1682","5687939",""
"UNH","2015-02-11T00:00:00-05:00","2015-02-11","104.1109","105.2102","103.6042","105.0095","3973492",""
"UNH","2015-02-12T00:00:00-05:00","2015-02-12","105.822","105.8985","104.0344","104.9999","3533713",""
"UNH","2015-02-13T00:00:00-05:00","2015-02-13","104.8565","104.9999","103.891","104.6175","3899428",""
"UNH","2015-02-17T00:00:00-05:00","2015-02-17","104.5219","104.9234","103.7381","104.9234","3588633",""
"UNH","2015-02-18T00:00:00-05:00","2015-02-18","104.1969","105.3632","104.1491","104.933","3095085",""
"UNH","2015-02-19T00:00:00-05:00","2015-02-19","104.7131","105.497","104.6175","105.1815","2798098",""
"UNH","2015-02-20T00:00:00-05:00","2015-02-20","105.1146","107.8486","104.6175","107.6574","4861209",""
"UNH","2015-02-23T00:00:00-05:00","2015-02-23","108.0111","111.3569","107.8773","111.2708","7385335",""
