symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"UNM","2015-01-02T00:00:00-05:00","2015-01-02","33.14706","33.22255","32.53375","32.77908","1281325",""
"UNM","2015-01-05T00:00:00-05:00","2015-01-05","32.44883","32.59037","31.59964","31.74117","1455984",""
"UNM","2015-01-06T00:00:00-05:00","2015-01-06","31.68456","31.76004","30.97689","31.06181","2563498",""
"UNM","2015-01-07T00:00:00-05:00","2015-01-07","31.30713","31.81665","30.99576","31.35431","1769373",""
"UNM","2015-01-08T00:00:00-05:00","2015-01-08","31.67512","32.03367","31.51472","31.86383","2230078",""
"UNM","2015-01-09T00:00:00-05:00","2015-01-09","31.84496","31.84496","31.13729","31.14673","1860624",""
"UNM","2015-01-12T00:00:00-05:00","2015-01-12","31.14673","31.326","30.63721","30.80705","2030089",""
"UNM","2015-01-13T00:00:00-05:00","2015-01-13","31.02407","31.25996","30.19374","30.4485","1651097",""
"UNM","2015-01-14T00:00:00-05:00","2015-01-14","29.97672","30.25035","29.7314","30.08995","1594396",""
"UNM","2015-01-15T00:00:00-05:00","2015-01-15","30.12769","30.34471","29.56156","29.58043","1747753",""
"UNM","2015-01-16T00:00:00-05:00","2015-01-16","29.53325","29.98616","29.53325","29.95785","1176508",""
"UNM","2015-01-20T00:00:00-05:00","2015-01-20","30.10882","30.36358","29.51438","29.71253","1631278",""
"UNM","2015-01-21T00:00:00-05:00","2015-01-21","29.62761","29.94841","29.36341","29.87293","1293831",""
"UNM","2015-01-22T00:00:00-05:00","2015-01-22","29.99559","30.741","29.68422","30.70326","1780713",""
"UNM","2015-01-23T00:00:00-05:00","2015-01-23","30.6089","30.72213","30.26922","30.30696","1419526",""
"UNM","2015-01-26T00:00:00-05:00","2015-01-26","30.20317","30.57116","30.00503","30.45793","1269137",""
"UNM","2015-01-27T00:00:00-05:00","2015-01-27","30.0239","30.13713","29.78801","30.04277","1783363",""
"UNM","2015-01-28T00:00:00-05:00","2015-01-28","30.25618","30.36051","29.43101","29.44998","2423061",""
"UNM","2015-01-29T00:00:00-05:00","2015-01-29","29.47843","29.94318","29.36461","29.8104","1871119",""
"UNM","2015-01-30T00:00:00-05:00","2015-01-30","29.41204","29.96215","29.13698","29.45946","3069366",""
"UNM","2015-02-02T00:00:00-05:00","2015-02-02","29.52585","30.35102","29.42152","30.31308","2075343",""
"UNM","2015-02-03T00:00:00-05:00","2015-02-03","30.69247","31.24258","30.59762","31.20465","2182463",""
"UNM","2015-02-04T00:00:00-05:00","2015-02-04","31.12877","31.57455","30.60711","30.73041","4090063",""
"UNM","2015-02-05T00:00:00-05:00","2015-02-05","30.68299","31.28052","30.59762","31.19516","2774048",""
"UNM","2015-02-06T00:00:00-05:00","2015-02-06","31.4797","32.32384","31.45125","31.83064","2324903",""
"UNM","2015-02-09T00:00:00-05:00","2015-02-09","31.55558","31.83064","31.41331","31.70733","1518024",""
"UNM","2015-02-10T00:00:00-05:00","2015-02-10","31.9729","32.02982","31.59352","31.83064","1497359",""
"UNM","2015-02-11T00:00:00-05:00","2015-02-11","31.82115","32.38074","31.74527","32.26693","2185099",""
"UNM","2015-02-12T00:00:00-05:00","2015-02-12","32.32384","32.5325","32.17208","32.48508","1921411",""
"UNM","2015-02-13T00:00:00-05:00","2015-02-13","32.52302","33.03519","32.38074","32.9688","1869116",""
"UNM","2015-02-17T00:00:00-05:00","2015-02-17","32.76962","33.0921","32.56096","32.74117","2307612",""
"UNM","2015-02-18T00:00:00-05:00","2015-02-18","32.64632","32.71272","32.09621","32.14363","1499679",""
"UNM","2015-02-19T00:00:00-05:00","2015-02-19","32.02033","32.37127","31.84961","32.26693","1160290",""
