symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"UNP","2015-01-02T00:00:00-05:00","2015-01-02","112.3567","113.1718","110.23","111.1201","3292194",""
"UNP","2015-01-05T00:00:00-05:00","2015-01-05","110.839","110.839","107.2415","107.3633","4919025",""
"UNP","2015-01-06T00:00:00-05:00","2015-01-06","106.8761","107.0729","104.6089","105.1429","6750156",""
"UNP","2015-01-07T00:00:00-05:00","2015-01-07","106.0142","106.6138","104.7869","105.7238","4278475",""
"UNP","2015-01-08T00:00:00-05:00","2015-01-08","106.8012","109.696","106.3421","109.6867","5177977",""
"UNP","2015-01-09T00:00:00-05:00","2015-01-09","109.6867","110.052","107.5975","107.7193","3205201",""
"UNP","2015-01-12T00:00:00-05:00","2015-01-12","107.1103","107.2227","105.6676","106.7731","3493506",""
"UNP","2015-01-13T00:00:00-05:00","2015-01-13","107.738","108.8154","103.7377","104.7682","5840621",""
"UNP","2015-01-14T00:00:00-05:00","2015-01-14","103.5316","104.9087","102.6228","104.3279","6646298",""
"UNP","2015-01-15T00:00:00-05:00","2015-01-15","105.068","105.7425","103.4004","103.8032","6037344",""
"UNP","2015-01-16T00:00:00-05:00","2015-01-16","103.9063","104.9649","102.932","104.8338","9125771",""
"UNP","2015-01-20T00:00:00-05:00","2015-01-20","106.0236","107.1946","105.068","106.7543","5815964",""
"UNP","2015-01-21T00:00:00-05:00","2015-01-21","107.3164","108.7404","106.5951","107.1759","5106034",""
"UNP","2015-01-22T00:00:00-05:00","2015-01-22","109.8459","113.2654","109.6305","112.263","6864155",""
"UNP","2015-01-23T00:00:00-05:00","2015-01-23","113.3591","114.474","111.804","112.5066","5469378",""
"UNP","2015-01-26T00:00:00-05:00","2015-01-26","112.9001","114.1742","112.0944","113.6683","3790031",""
"UNP","2015-01-27T00:00:00-05:00","2015-01-27","111.6353","113.94","111.2606","113.228","4100646",""
"UNP","2015-01-28T00:00:00-05:00","2015-01-28","113.9962","114.3803","111.5697","111.626","4886149",""
"UNP","2015-01-29T00:00:00-05:00","2015-01-29","111.8508","112.7408","110.1551","112.5066","3713925",""
"UNP","2015-01-30T00:00:00-05:00","2015-01-30","111.6728","112.3473","109.7335","109.8085","4716858",""
"UNP","2015-02-02T00:00:00-05:00","2015-02-02","110.6704","111.5416","109.3307","111.4948","3479203",""
"UNP","2015-02-03T00:00:00-05:00","2015-02-03","112.5909","114.296","112.2349","114.0992","3845003",""
"UNP","2015-02-04T00:00:00-05:00","2015-02-04","113.2654","113.6964","112.3473","112.8345","3296250",""
"UNP","2015-02-05T00:00:00-05:00","2015-02-05","113.7245","115.3359","113.3872","115.0923","3591814",""
"UNP","2015-02-06T00:00:00-05:00","2015-02-06","115.2328","115.5326","113.6683","114.118","3174032",""
"UNP","2015-02-09T00:00:00-05:00","2015-02-09","113.8557","114.3054","111.4386","111.907","4516293",""
