symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"UTX","2015-01-02T00:00:00-05:00","2015-01-02","107.6251","108.0925","106.3726","107.5316","3362779",""
"UTX","2015-01-05T00:00:00-05:00","2015-01-05","107.0736","107.9242","105.4752","105.737","5098035",""
"UTX","2015-01-06T00:00:00-05:00","2015-01-06","104.9424","105.6622","103.0356","104.2414","6175348",""
"UTX","2015-01-07T00:00:00-05:00","2015-01-07","105.0172","105.9426","104.7087","105.3724","3318702",""
"UTX","2015-01-08T00:00:00-05:00","2015-01-08","106.4847","107.4943","105.9052","107.1671","4172102",""
"UTX","2015-01-09T00:00:00-05:00","2015-01-09","107.4288","107.6158","105.98","106.5782","4092079",""
"UTX","2015-01-12T00:00:00-05:00","2015-01-12","106.9895","107.2606","105.6435","106.9801","5366347",""
"UTX","2015-01-13T00:00:00-05:00","2015-01-13","107.9897","109.2142","106.0922","106.8773","4489305",""
"UTX","2015-01-14T00:00:00-05:00","2015-01-14","105.7837","106.7184","105.2696","106.1108","3753693",""
"UTX","2015-01-15T00:00:00-05:00","2015-01-15","106.7184","107.2045","105.6809","106.1108","3391878",""
"UTX","2015-01-16T00:00:00-05:00","2015-01-16","105.8024","108.7468","105.7744","108.5692","6176204",""
"UTX","2015-01-20T00:00:00-05:00","2015-01-20","109.0272","110.0461","108.3355","109.8591","5847661",""
"UTX","2015-01-21T00:00:00-05:00","2015-01-21","109.7002","111.5136","109.5507","111.2612","7678773",""
"UTX","2015-01-22T00:00:00-05:00","2015-01-22","111.9436","112.8035","111.0089","112.5885","7021045",""
"UTX","2015-01-23T00:00:00-05:00","2015-01-23","112.6446","113.0559","112.1025","112.1492","4598534",""
"UTX","2015-01-26T00:00:00-05:00","2015-01-26","112.009","112.0931","110.5602","110.9995","6091367",""
"UTX","2015-01-27T00:00:00-05:00","2015-01-27","108.8964","112.5044","107.5036","111.3828","7839781",""
"UTX","2015-01-28T00:00:00-05:00","2015-01-28","111.5884","111.5884","109.1674","109.2889","4644215",""
"UTX","2015-01-29T00:00:00-05:00","2015-01-29","109.0366","109.3918","106.9988","108.8496","6770492",""
"UTX","2015-01-30T00:00:00-05:00","2015-01-30","107.5129","108.644","107.1484","107.2886","4945799",""
"UTX","2015-02-02T00:00:00-05:00","2015-02-02","107.6532","109.0833","106.6063","108.9711","3762466",""
"UTX","2015-02-03T00:00:00-05:00","2015-02-03","109.8965","111.7192","108.8216","111.1304","4805010",""
"UTX","2015-02-04T00:00:00-05:00","2015-02-04","110.9995","111.2332","109.7843","110.1022","3432318",""
"UTX","2015-02-05T00:00:00-05:00","2015-02-05","110.5415","112.5044","110.2237","112.2707","5014589",""
"UTX","2015-02-06T00:00:00-05:00","2015-02-06","112.1679","113.1213","111.5884","111.9903","3027068",""
"UTX","2015-02-09T00:00:00-05:00","2015-02-09","111.6445","112.1118","111.1491","111.5323","2739499",""
"UTX","2015-02-10T00:00:00-05:00","2015-02-10","112.0651","112.3736","111.1584","111.6071","2738644",""
"UTX","2015-02-11T00:00:00-05:00","2015-02-11","111.3721","111.889","110.8647","111.5413","2881130",""
"UTX","2015-02-12T00:00:00-05:00","2015-02-12","111.9924","112.7348","111.6635","112.3871","3082562",""
"UTX","2015-02-13T00:00:00-05:00","2015-02-13","112.1521","114.0693","112.1521","113.9471","4045777",""
"UTX","2015-02-17T00:00:00-05:00","2015-02-17","113.7122","114.558","113.3081","114.0129","3448929",""
"UTX","2015-02-18T00:00:00-05:00","2015-02-18","114.0129","115.2722","113.7216","114.6425","3697819",""
"UTX","2015-02-19T00:00:00-05:00","2015-02-19","114.2572","115.5917","114.2572","115.5071","3625355",""
"UTX","2015-02-20T00:00:00-05:00","2015-02-20","115.5823","116.9544","114.6519","116.6348","4322547",""
"UTX","2015-02-23T00:00:00-05:00","2015-02-23","116.1838","116.6818","115.6575","116.2683","2912627",""
"UTX","2015-02-24T00:00:00-05:00","2015-02-24","115.9864","116.663","115.5823","116.3341","2612767",""
"UTX","2015-02-25T00:00:00-05:00","2015-02-25","116.3905","116.8416","115.5447","115.9394","3057024",""
"UTX","2015-02-26T00:00:00-05:00","2015-02-26","115.8924","116.1086","114.7929","115.2816","2658203",""
"UTX","2015-02-27T00:00:00-05:00","2015-02-27","115.1688","115.4507","114.4546","114.5674","3282931",""
"UTX","2015-03-02T00:00:00-05:00","2015-03-02","114.4922","116.0616","114.229","115.7703","2474861",""
"UTX","2015-03-03T00:00:00-05:00","2015-03-03","114.6331","115.4883","113.8155","114.37","3391681",""
"UTX","2015-03-04T00:00:00-05:00","2015-03-04","113.9471","114.0787","113.2611","113.7498","2259276",""
"UTX","2015-03-05T00:00:00-05:00","2015-03-05","113.9847","114.1727","113.1013","113.5148","2051885",""
"UTX","2015-03-06T00:00:00-05:00","2015-03-06","112.2085","113.1107","111.7199","112.2367","3897762",""
"UTX","2015-03-09T00:00:00-04:00","2015-03-09","112.1052","114.8305","112.1052","114.417","4392458",""
"UTX","2015-03-10T00:00:00-04:00","2015-03-10","113.2893","113.6934","110.2726","110.329","5941560",""
"UTX","2015-03-11T00:00:00-04:00","2015-03-11","110.6861","111.7481","110.3008","111.2124","3987997",""
"UTX","2015-03-12T00:00:00-04:00","2015-03-12","113.1013","114.1539","113.0355","113.9377","5222341",""
"UTX","2015-03-13T00:00:00-04:00","2015-03-13","113.4772","114.276","110.6109","111.5883","7833193",""
"UTX","2015-03-16T00:00:00-04:00","2015-03-16","112.0676","112.9228","111.8608","112.8382","4974196",""
"UTX","2015-03-17T00:00:00-04:00","2015-03-17","112.3213","112.8946","111.5977","112.6408","4067804",""
"UTX","2015-03-18T00:00:00-04:00","2015-03-18","112.4999","113.3363","110.188","113.0637","5618609",""
"UTX","2015-03-19T00:00:00-04:00","2015-03-19","112.81","113.0637","111.8702","112.1897","3065431",""
"UTX","2015-03-20T00:00:00-04:00","2015-03-20","112.5938","113.1483","112.2649","112.2649","8732882",""
"UTX","2015-03-23T00:00:00-04:00","2015-03-23","112.2649","112.4811","111.0714","111.5319","4833842",""
"UTX","2015-03-24T00:00:00-04:00","2015-03-24","111.8702","112.9416","111.1278","111.7574","4292327",""
"UTX","2015-03-25T00:00:00-04:00","2015-03-25","112.0206","112.1521","109.3798","109.4456","4742011",""
"UTX","2015-03-26T00:00:00-04:00","2015-03-26","108.9757","109.596","108.0923","109.0509","4671036",""
"UTX","2015-03-27T00:00:00-04:00","2015-03-27","109.1449","110.141","109.0603","109.8591","2983602",""
"UTX","2015-03-30T00:00:00-04:00","2015-03-30","110.5921","112.0488","110.329","111.6729","3193121",""
"UTX","2015-03-31T00:00:00-04:00","2015-03-31","110.5827","111.0338","110.0941","110.141","3751343",""
"UTX","2015-04-01T00:00:00-04:00","2015-04-01","110.3008","110.4042","108.4119","108.9381","3645785",""
"UTX","2015-04-02T00:00:00-04:00","2015-04-02","109.2389","110.5921","109.0039","110.0753","4498122",""
"UTX","2015-04-06T00:00:00-04:00","2015-04-06","108.9475","111.5601","108.9475","110.7613","3040424",""
"UTX","2015-04-07T00:00:00-04:00","2015-04-07","110.6673","111.4097","110.376","110.4136","2414420",""
"UTX","2015-04-08T00:00:00-04:00","2015-04-08","110.6203","111.5037","110.0095","110.7425","2643200",""
"UTX","2015-04-09T00:00:00-04:00","2015-04-09","110.6109","111.5883","110.1222","110.7801","2222139",""
"UTX","2015-04-10T00:00:00-04:00","2015-04-10","111.0244","111.7762","110.3572","111.3251","2399097",""
"UTX","2015-04-13T00:00:00-04:00","2015-04-13","110.8647","111.4755","110.1786","110.3384","3224512",""
"UTX","2015-04-14T00:00:00-04:00","2015-04-14","110.0001","110.9962","109.5584","110.6015","2773338",""
"UTX","2015-04-15T00:00:00-04:00","2015-04-15","110.968","111.6259","110.4418","110.7707","2952424",""
"UTX","2015-04-16T00:00:00-04:00","2015-04-16","110.282","111.1842","109.8779","110.4042","3091182",""
"UTX","2015-04-17T00:00:00-04:00","2015-04-17","109.3046","109.502","107.942","108.1769","4595273",""
"UTX","2015-04-20T00:00:00-04:00","2015-04-20","108.9757","110.1128","108.9099","109.4926","4264341",""
"UTX","2015-04-21T00:00:00-04:00","2015-04-21","111.5413","111.8326","109.1167","109.9061","4878747",""
"UTX","2015-04-22T00:00:00-04:00","2015-04-22","109.9437","110.3572","108.7596","109.9155","2971897",""
"UTX","2015-04-23T00:00:00-04:00","2015-04-23","109.408","110.8083","109.0415","110.1974","2801430",""
"UTX","2015-04-24T00:00:00-04:00","2015-04-24","110.3666","110.6109","109.0697","109.1637","3748896",""
"UTX","2015-04-27T00:00:00-04:00","2015-04-27","109.6336","109.8309","108.7314","108.769","4171552",""
"UTX","2015-04-28T00:00:00-04:00","2015-04-28","108.2615","109.2389","108.0266","109.0885","2922630",""
"UTX","2015-04-29T00:00:00-04:00","2015-04-29","108.6186","109.2295","108.2333","108.4307","3079264",""
"UTX","2015-04-30T00:00:00-04:00","2015-04-30","108.0078","108.6656","106.4665","106.8988","4149100",""
"UTX","2015-05-01T00:00:00-04:00","2015-05-01","107.6882","108.7502","107.6131","108.4871","2959873",""
"UTX","2015-05-04T00:00:00-04:00","2015-05-04","108.8066","110.0847","108.7314","109.4362","4176766",""
"UTX","2015-05-05T00:00:00-04:00","2015-05-05","109.0603","109.8403","107.801","108.1393","3222171",""
"UTX","2015-05-06T00:00:00-04:00","2015-05-06","109.5396","109.5396","107.3875","108.1487","3926705",""
"UTX","2015-05-07T00:00:00-04:00","2015-05-07","108.1957","109.5396","107.6882","109.0509","3357949",""
"UTX","2015-05-08T00:00:00-04:00","2015-05-08","110.6203","111.6917","110.2444","111.297","3945433",""
"UTX","2015-05-11T00:00:00-04:00","2015-05-11","110.3666","111.3533","110.3666","110.6109","3217595",""
"UTX","2015-05-12T00:00:00-04:00","2015-05-12","110.0001","110.7331","109.0321","110.2914","2983815",""
"UTX","2015-05-13T00:00:00-04:00","2015-05-13","110.5276","111.5009","110.4237","110.9056","3216452",""
"UTX","2015-05-14T00:00:00-04:00","2015-05-14","111.3308","112.7954","111.3308","112.5781","2887748",""
"UTX","2015-05-15T00:00:00-04:00","2015-05-15","112.5214","112.8143","111.4253","111.9639","3137398",""
"UTX","2015-05-18T00:00:00-04:00","2015-05-18","112.0017","112.5592","111.8789","111.9828","2576929",""
"UTX","2015-05-19T00:00:00-04:00","2015-05-19","112.0679","112.871","111.9828","112.512","2971988",""
"UTX","2015-05-20T00:00:00-04:00","2015-05-20","113.0695","113.0695","112.0679","112.323","2574284",""
"UTX","2015-05-21T00:00:00-04:00","2015-05-21","112.2663","113.0695","112.1623","112.5592","2244839",""
"UTX","2015-05-22T00:00:00-04:00","2015-05-22","112.4458","113.0695","112.0206","112.0868","2528777",""
"UTX","2015-05-26T00:00:00-04:00","2015-05-26","111.5765","112.0868","109.9985","110.4331","3634793",""
"UTX","2015-05-27T00:00:00-04:00","2015-05-27","110.6788","111.3875","110.2536","111.1607","3561137",""
"UTX","2015-05-28T00:00:00-04:00","2015-05-28","111.3025","111.5009","110.8111","111.208","3073689",""
