symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"VIAB","2015-01-02T00:00:00-05:00","2015-01-02","70.18723","70.613","69.20611","69.78923","2135618",""
"VIAB","2015-01-05T00:00:00-05:00","2015-01-05","69.23388","69.49304","67.66963","67.8455","3395576",""
"VIAB","2015-01-06T00:00:00-05:00","2015-01-06","67.99359","67.99359","66.34605","66.5034","3855825",""
"VIAB","2015-01-07T00:00:00-05:00","2015-01-07","66.96619","67.00321","65.59632","65.99432","3931669",""
"VIAB","2015-01-08T00:00:00-05:00","2015-01-08","66.38307","67.20684","66.24423","66.91065","4009241",""
"VIAB","2015-01-09T00:00:00-05:00","2015-01-09","67.07726","67.27163","65.91102","66.33679","3140279",""
"VIAB","2015-01-12T00:00:00-05:00","2015-01-12","66.48489","67.34568","65.89251","67.01247","3221416",""
"VIAB","2015-01-13T00:00:00-05:00","2015-01-13","67.68814","68.65076","66.78107","67.22535","3423882",""
"VIAB","2015-01-14T00:00:00-05:00","2015-01-14","65.97581","65.97581","62.23644","62.75477","9775639",""
"VIAB","2015-01-15T00:00:00-05:00","2015-01-15","63.17128","63.17128","60.83881","61.533","8894144",""
"VIAB","2015-01-16T00:00:00-05:00","2015-01-16","61.83844","63.39342","61.78291","63.00468","5579273",""
"VIAB","2015-01-20T00:00:00-05:00","2015-01-20","62.82882","62.82882","59.96875","61.42192","5865794",""
"VIAB","2015-01-21T00:00:00-05:00","2015-01-21","61.42192","62.52338","61.25532","62.45858","3636828",""
"VIAB","2015-01-22T00:00:00-05:00","2015-01-22","62.82882","63.61557","62.4956","63.5045","3037101",""
"VIAB","2015-01-23T00:00:00-05:00","2015-01-23","63.21757","63.62482","62.65296","62.75477","2347808",""
"VIAB","2015-01-26T00:00:00-05:00","2015-01-26","62.45858","62.75477","61.99579","62.45858","2497659",""
"VIAB","2015-01-27T00:00:00-05:00","2015-01-27","61.6163","62.4956","61.18127","62.14388","2936624",""
"VIAB","2015-01-28T00:00:00-05:00","2015-01-28","62.27346","62.74551","61.22755","61.55151","4687622",""
"VIAB","2015-01-29T00:00:00-05:00","2015-01-29","61.8662","62.727","60.10759","62.46784","5912575",""
"VIAB","2015-01-30T00:00:00-05:00","2015-01-30","61.49598","61.59779","59.42266","59.62629","6438187",""
"VIAB","2015-02-02T00:00:00-05:00","2015-02-02","59.67257","60.29271","58.41377","60.28345","6211736",""
"VIAB","2015-02-03T00:00:00-05:00","2015-02-03","60.52411","61.94951","60.38527","61.80141","5978803",""
"VIAB","2015-02-04T00:00:00-05:00","2015-02-04","61.90323","62.18091","60.6722","61.16276","4651320",""
"VIAB","2015-02-05T00:00:00-05:00","2015-02-05","61.32011","61.44969","60.53336","61.32011","4444857",""
"VIAB","2015-02-06T00:00:00-05:00","2015-02-06","61.25532","62.63444","61.06095","62.07909","5775040",""
"VIAB","2015-02-09T00:00:00-05:00","2015-02-09","61.79216","63.45821","61.79216","63.16203","3962244",""
"VIAB","2015-02-10T00:00:00-05:00","2015-02-10","63.83771","63.83771","62.28272","63.06947","2725947",""
"VIAB","2015-02-11T00:00:00-05:00","2015-02-11","62.65296","62.79179","61.71811","62.15314","3917083",""
"VIAB","2015-02-12T00:00:00-05:00","2015-02-12","62.47709","62.97691","61.40341","62.67147","2775753",""
"VIAB","2015-02-13T00:00:00-05:00","2015-02-13","62.79179","64.02282","62.71775","63.84697","3335182",""
"VIAB","2015-02-17T00:00:00-05:00","2015-02-17","63.74515","64.39306","63.24533","64.18017","2393077",""
"VIAB","2015-02-18T00:00:00-05:00","2015-02-18","64.18017","64.3653","62.94915","63.02319","2919878",""
"VIAB","2015-02-19T00:00:00-05:00","2015-02-19","63.10649","64.32827","62.727","64.1524","3073834",""
"VIAB","2015-02-20T00:00:00-05:00","2015-02-20","64.14315","64.57817","63.30087","64.52264","2499604",""
"VIAB","2015-02-23T00:00:00-05:00","2015-02-23","64.27274","65.12428","63.9858","65.08725","4600002",""
"VIAB","2015-02-24T00:00:00-05:00","2015-02-24","65.13353","65.71664","64.79106","65.65186","4901000",""
"VIAB","2015-02-25T00:00:00-05:00","2015-02-25","65.56855","65.96655","64.63371","65.11501","4112527",""
"VIAB","2015-02-26T00:00:00-05:00","2015-02-26","64.92064","65.29088","63.77292","64.43008","4091675",""
"VIAB","2015-02-27T00:00:00-05:00","2015-02-27","64.98544","65.53153","64.41157","64.73553","4800091",""
"VIAB","2015-03-02T00:00:00-05:00","2015-03-02","64.79106","65.5593","64.67074","65.48525","3317788",""
"VIAB","2015-03-03T00:00:00-05:00","2015-03-03","65.37418","66.54042","65.25385","66.16093","3628293",""
"VIAB","2015-03-04T00:00:00-05:00","2015-03-04","66.16093","66.17018","64.90213","65.58707","3729635",""
"VIAB","2015-03-05T00:00:00-05:00","2015-03-05","65.91102","65.91102","64.76329","65.10576","2696128",""
"VIAB","2015-03-06T00:00:00-05:00","2015-03-06","64.76329","65.70739","64.73553","65.08725","2920202",""
