symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"VNO","2015-01-02T00:00:00-05:00","2015-01-02","109.9854","111.0354","109.3721","110.9239","630727",""
"VNO","2015-01-05T00:00:00-05:00","2015-01-05","110.3478","111.6023","110.227","111.2027","785046",""
"VNO","2015-01-06T00:00:00-05:00","2015-01-06","111.37","112.578","111.2306","112.1041","1270817",""
"VNO","2015-01-07T00:00:00-05:00","2015-01-07","112.8754","114.613","111.8346","114.4737","999198",""
"VNO","2015-01-08T00:00:00-05:00","2015-01-08","114.7245","115.3843","113.8789","114.8639","691098",""
"VNO","2015-01-09T00:00:00-05:00","2015-01-09","114.8639","115.6817","114.1856","114.8546","705626",""
"VNO","2015-01-12T00:00:00-05:00","2015-01-12","115.0312","115.8675","114.9662","115.6073","663549",""
"VNO","2015-01-13T00:00:00-05:00","2015-01-13","116.0812","116.6667","114.7153","115.3657","757819",""
"VNO","2015-01-14T00:00:00-05:00","2015-01-14","114.9197","116.0905","114.3157","115.8582","991342",""
"VNO","2015-01-15T00:00:00-05:00","2015-01-15","116.2857","117.661","115.756","117.0848","1579885",""
"VNO","2015-01-16T00:00:00-05:00","2015-01-16","107.2813","107.5415","104.8188","106.1848","1539745",""
"VNO","2015-01-20T00:00:00-05:00","2015-01-20","106.222","107.3278","104.8095","105.3206","1187093",""
"VNO","2015-01-21T00:00:00-05:00","2015-01-21","104.4564","105.2091","103.3878","104.4564","943669",""
"VNO","2015-01-22T00:00:00-05:00","2015-01-22","104.5493","106.6773","104.5493","106.5658","886311",""
"VNO","2015-01-23T00:00:00-05:00","2015-01-23","106.5658","106.7888","105.8967","106.2127","624378",""
"VNO","2015-01-26T00:00:00-05:00","2015-01-26","106.0826","106.6401","105.5808","106.6308","701322",""
"VNO","2015-01-27T00:00:00-05:00","2015-01-27","106.064","106.7702","105.7388","106.1848","678508",""
"VNO","2015-01-28T00:00:00-05:00","2015-01-28","106.3892","106.8538","105.0697","105.079","962179",""
"VNO","2015-01-29T00:00:00-05:00","2015-01-29","104.8921","105.4434","104.3595","105.1631","771255",""
"VNO","2015-01-30T00:00:00-05:00","2015-01-30","104.6491","105.35","103.1353","103.2008","1369360",""
"VNO","2015-02-02T00:00:00-05:00","2015-02-02","103.2568","103.9576","101.7337","103.7708","1065010",""
