symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"VRSK","2015-01-02T00:00:00-05:00","2015-01-02","64.08","65","63.05","63.97","529800",""
"VRSK","2015-01-05T00:00:00-05:00","2015-01-05","63.82","63.98","62.71","63.14","885700",""
"VRSK","2015-01-06T00:00:00-05:00","2015-01-06","63.05","63.74","62.82","62.92","755300",""
"VRSK","2015-01-07T00:00:00-05:00","2015-01-07","63.25","63.35","62.74","62.96","632000",""
"VRSK","2015-01-08T00:00:00-05:00","2015-01-08","63.19","63.93","63.19","63.59","894800",""
"VRSK","2015-01-09T00:00:00-05:00","2015-01-09","63.32","63.61","62.8","63.09","561700",""
"VRSK","2015-01-12T00:00:00-05:00","2015-01-12","63.33","63.67","62.6","62.97","472600",""
"VRSK","2015-01-13T00:00:00-05:00","2015-01-13","63.4","64.09","63.02","63.43","576000",""
"VRSK","2015-01-14T00:00:00-05:00","2015-01-14","64.06","64.06","62.56","62.97","484400",""
"VRSK","2015-01-15T00:00:00-05:00","2015-01-15","62.92","63.11","62.43","62.7","479600",""
"VRSK","2015-01-16T00:00:00-05:00","2015-01-16","62.5","63.24","62.28","62.9","584600",""
"VRSK","2015-01-20T00:00:00-05:00","2015-01-20","63","63.49","62.43","63.19","828800",""
"VRSK","2015-01-21T00:00:00-05:00","2015-01-21","62.87","63.63","62.74","63.43","540200",""
"VRSK","2015-01-22T00:00:00-05:00","2015-01-22","63.54","64.44","63.39","64.26","1548500",""
"VRSK","2015-01-23T00:00:00-05:00","2015-01-23","64.14","65.34","63.97","65.11","669100",""
"VRSK","2015-01-26T00:00:00-05:00","2015-01-26","65","65.29","64.53","64.91","628800",""
"VRSK","2015-01-27T00:00:00-05:00","2015-01-27","64.24","64.91","64.01","64.29","483400",""
"VRSK","2015-01-28T00:00:00-05:00","2015-01-28","64.38","64.78","63.74","64.01","462600",""
"VRSK","2015-01-29T00:00:00-05:00","2015-01-29","64.08","64.53","63.66","64.25","1008900",""
"VRSK","2015-01-30T00:00:00-05:00","2015-01-30","64.06","64.72","63.62","64.35","800900",""
"VRSK","2015-02-02T00:00:00-05:00","2015-02-02","64.41","64.88","63.79","64.87","831100",""
"VRSK","2015-02-03T00:00:00-05:00","2015-02-03","65","65.74","64.93","65.74","775400",""
"VRSK","2015-02-04T00:00:00-05:00","2015-02-04","65.64","66.19","65.38","65.75","563700",""
"VRSK","2015-02-05T00:00:00-05:00","2015-02-05","66","66.87","65.75","66.77","653100",""
"VRSK","2015-02-06T00:00:00-05:00","2015-02-06","67","67","65.67","65.96","671700",""
"VRSK","2015-02-09T00:00:00-05:00","2015-02-09","65.78","66.3","65.36","65.97","417400",""
"VRSK","2015-02-10T00:00:00-05:00","2015-02-10","66.02","66.92","65.56","66.07","427000",""
"VRSK","2015-02-11T00:00:00-05:00","2015-02-11","66.07","66.57","65.55","66.46","343500",""
"VRSK","2015-02-12T00:00:00-05:00","2015-02-12","66.69","67.68","66.41","67.44","844400",""
"VRSK","2015-02-13T00:00:00-05:00","2015-02-13","67.75","68.06","67.45","67.9","485800",""
"VRSK","2015-02-17T00:00:00-05:00","2015-02-17","67.69","67.99","67.36","67.56","560900",""
"VRSK","2015-02-18T00:00:00-05:00","2015-02-18","67.55","67.82","67.17","67.69","373900",""
"VRSK","2015-02-19T00:00:00-05:00","2015-02-19","67.4","67.91","67.23","67.51","665600",""
"VRSK","2015-02-20T00:00:00-05:00","2015-02-20","67.78","67.97","67.08","67.8","644900",""
"VRSK","2015-02-23T00:00:00-05:00","2015-02-23","67.96","68.02","67.36","67.8","1117500",""
"VRSK","2015-02-24T00:00:00-05:00","2015-02-24","67.74","68.05","67.43","67.91","858700",""
"VRSK","2015-02-25T00:00:00-05:00","2015-02-25","70","74.75","70","72.18","3931100",""
"VRSK","2015-02-26T00:00:00-05:00","2015-02-26","71.25","72.75","71.08","72.26","1566500",""
"VRSK","2015-02-27T00:00:00-05:00","2015-02-27","72.64","72.88","71.75","71.81","813400",""
"VRSK","2015-03-02T00:00:00-05:00","2015-03-02","71.89","72.28","71.55","71.87","1095900",""
"VRSK","2015-03-03T00:00:00-05:00","2015-03-03","72.11","72.11","71.34","71.6","655300",""
"VRSK","2015-03-04T00:00:00-05:00","2015-03-04","71.16","71.46","70.5","70.69","711400",""
"VRSK","2015-03-05T00:00:00-05:00","2015-03-05","71.09","71.2","70.53","71.09","749100",""
"VRSK","2015-03-06T00:00:00-05:00","2015-03-06","71","71.26","70.12","70.65","712900",""
"VRSK","2015-03-09T00:00:00-04:00","2015-03-09","70.86","71.64","70.55","71.36","1704700",""
"VRSK","2015-03-10T00:00:00-04:00","2015-03-10","70.95","71.8","68.5","68.54","2014800",""
"VRSK","2015-03-11T00:00:00-04:00","2015-03-11","69.23","71.48","69.04","69.78","1276700",""
"VRSK","2015-03-12T00:00:00-04:00","2015-03-12","71.16","71.17","70.31","71","2014900",""
"VRSK","2015-03-13T00:00:00-04:00","2015-03-13","70.98","71.3","70.43","71.23","779100",""
"VRSK","2015-03-16T00:00:00-04:00","2015-03-16","71.56","71.97","71.31","71.64","631800",""
"VRSK","2015-03-17T00:00:00-04:00","2015-03-17","71.49","71.73","71.21","71.71","770000",""
"VRSK","2015-03-18T00:00:00-04:00","2015-03-18","71.63","71.91","71.03","71.75","663000",""
"VRSK","2015-03-19T00:00:00-04:00","2015-03-19","71.7","71.97","71.32","71.55","493000",""
"VRSK","2015-03-20T00:00:00-04:00","2015-03-20","71.78","71.89","71.25","71.5","1376800",""
"VRSK","2015-03-23T00:00:00-04:00","2015-03-23","71.64","71.65","71","71.11","966500",""
"VRSK","2015-03-24T00:00:00-04:00","2015-03-24","71.3","71.33","70.46","70.64","1208300",""
"VRSK","2015-03-25T00:00:00-04:00","2015-03-25","71.03","71.08","69.75","69.76","1035000",""
"VRSK","2015-03-26T00:00:00-04:00","2015-03-26","69.82","70.4","69.5","69.84","979400",""
"VRSK","2015-03-27T00:00:00-04:00","2015-03-27","69.85","70.7","69.65","70.48","762000",""
"VRSK","2015-03-30T00:00:00-04:00","2015-03-30","70.42","71.39","70.36","71.16","715000",""
"VRSK","2015-03-31T00:00:00-04:00","2015-03-31","71.04","71.73","70.75","71.4","847500",""
"VRSK","2015-04-01T00:00:00-04:00","2015-04-01","71.48","71.85","71.02","71.53","1109100",""
"VRSK","2015-04-02T00:00:00-04:00","2015-04-02","71.33","72.5","70.99","72.27","1059900",""
"VRSK","2015-04-06T00:00:00-04:00","2015-04-06","71.46","72.82","71.42","72.06","1216600",""
"VRSK","2015-04-07T00:00:00-04:00","2015-04-07","72","72.49","71.6","71.72","648800",""
