symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"VRTX","2015-01-02T00:00:00-05:00","2015-01-02","119.97","123.68","118.3","123.07","1442600",""
"VRTX","2015-01-05T00:00:00-05:00","2015-01-05","122.27","122.78","119.34","121.03","1684400",""
"VRTX","2015-01-06T00:00:00-05:00","2015-01-06","121.31","122.58","116.8","117.36","2289700",""
"VRTX","2015-01-07T00:00:00-05:00","2015-01-07","117.63","120.77","117.63","120.66","1219800",""
"VRTX","2015-01-08T00:00:00-05:00","2015-01-08","122","124","121.14","123.97","1358200",""
"VRTX","2015-01-09T00:00:00-05:00","2015-01-09","123.64","125.29","122","122.21","1069400",""
"VRTX","2015-01-12T00:00:00-05:00","2015-01-12","123.01","124.4","117.73","118.31","2783100",""
"VRTX","2015-01-13T00:00:00-05:00","2015-01-13","120.4","123.85","119.7","120.6","1631800",""
"VRTX","2015-01-14T00:00:00-05:00","2015-01-14","118.42","121.22","118.42","120.38","1224900",""
"VRTX","2015-01-15T00:00:00-05:00","2015-01-15","120.78","121.39","117.68","117.78","1052300",""
"VRTX","2015-01-16T00:00:00-05:00","2015-01-16","117.4","123.08","117.14","122.86","1424700",""
"VRTX","2015-01-20T00:00:00-05:00","2015-01-20","123.14","125.26","121.03","124.74","1102800",""
"VRTX","2015-01-21T00:00:00-05:00","2015-01-21","123.71","126.21","123.71","125.08","1196800",""
"VRTX","2015-01-22T00:00:00-05:00","2015-01-22","125.41","127.69","122.01","127.3","1579200",""
"VRTX","2015-01-23T00:00:00-05:00","2015-01-23","126.72","127.01","125.02","125.57","977000",""
"VRTX","2015-01-26T00:00:00-05:00","2015-01-26","125.86","126.82","124.44","125.12","1203800",""
"VRTX","2015-01-27T00:00:00-05:00","2015-01-27","123.91","126.54","123.51","123.67","1103800",""
"VRTX","2015-01-28T00:00:00-05:00","2015-01-28","124.76","124.99","120.88","121.26","1830500",""
"VRTX","2015-01-29T00:00:00-05:00","2015-01-29","112.4","115.94","111.28","114.14","4027000",""
"VRTX","2015-01-30T00:00:00-05:00","2015-01-30","113.17","116.19","110","110.14","3027700",""
"VRTX","2015-02-02T00:00:00-05:00","2015-02-02","110.31","111.36","107.08","111.18","1797500",""
"VRTX","2015-02-03T00:00:00-05:00","2015-02-03","111.18","111.66","106.62","108.72","2205000",""
"VRTX","2015-02-04T00:00:00-05:00","2015-02-04","107.26","110.64","103.75","109.27","2302600",""
"VRTX","2015-02-05T00:00:00-05:00","2015-02-05","109.42","111.86","108.27","111.59","1099100",""
"VRTX","2015-02-06T00:00:00-05:00","2015-02-06","107.12","112.87","106.8","108.66","1718700",""
"VRTX","2015-02-09T00:00:00-05:00","2015-02-09","108.29","109.6","107.16","107.88","1183800",""
"VRTX","2015-02-10T00:00:00-05:00","2015-02-10","108.34","109.78","107.43","108.43","1282300",""
"VRTX","2015-02-11T00:00:00-05:00","2015-02-11","108.68","110.22","107.23","108.62","990800",""
"VRTX","2015-02-12T00:00:00-05:00","2015-02-12","109.43","109.97","108.07","109.63","1328700",""
"VRTX","2015-02-13T00:00:00-05:00","2015-02-13","109.99","113.85","108","113.66","1689500",""
"VRTX","2015-02-17T00:00:00-05:00","2015-02-17","113.61","115.68","112.54","113.4","999100",""
"VRTX","2015-02-18T00:00:00-05:00","2015-02-18","112.34","113.78","111.84","113.57","960900",""
"VRTX","2015-02-19T00:00:00-05:00","2015-02-19","113.47","113.99","111.68","111.97","1244000",""
"VRTX","2015-02-20T00:00:00-05:00","2015-02-20","112.14","118.79","111.78","118.61","2467500",""
"VRTX","2015-02-23T00:00:00-05:00","2015-02-23","118.28","119.91","116.07","117.12","1262600",""
"VRTX","2015-02-24T00:00:00-05:00","2015-02-24","117.16","117.31","114.71","116.92","1011000",""
"VRTX","2015-02-25T00:00:00-05:00","2015-02-25","117.16","121.5","115.43","118.84","1651100",""
"VRTX","2015-02-26T00:00:00-05:00","2015-02-26","119.05","120.23","116.5","119.97","1303200",""
"VRTX","2015-02-27T00:00:00-05:00","2015-02-27","119.92","120.52","118.21","119.43","1050100",""
"VRTX","2015-03-02T00:00:00-05:00","2015-03-02","120.62","120.72","118.44","120.17","1511200",""
"VRTX","2015-03-03T00:00:00-05:00","2015-03-03","120.02","123.82","119.11","123.52","1533100",""
"VRTX","2015-03-04T00:00:00-05:00","2015-03-04","123.13","123.4","119.75","120.05","1363200",""
"VRTX","2015-03-05T00:00:00-05:00","2015-03-05","120.79","127.36","120.28","126.96","2413700",""
"VRTX","2015-03-06T00:00:00-05:00","2015-03-06","126.84","126.96","124.78","126.34","1581000",""
"VRTX","2015-03-09T00:00:00-04:00","2015-03-09","126.5","127.42","125","126.98","1402900",""
"VRTX","2015-03-10T00:00:00-04:00","2015-03-10","125.89","126.38","123.9","124.14","1672400",""
"VRTX","2015-03-11T00:00:00-04:00","2015-03-11","124.47","124.64","121.78","122.64","1570900",""
"VRTX","2015-03-12T00:00:00-04:00","2015-03-12","123.21","123.66","121.18","123.31","1371500",""
"VRTX","2015-03-13T00:00:00-04:00","2015-03-13","123.31","125.69","121.07","124","1354400",""
"VRTX","2015-03-16T00:00:00-04:00","2015-03-16","124.85","129.42","124.77","127.73","1974500",""
"VRTX","2015-03-17T00:00:00-04:00","2015-03-17","127.16","129.46","126.46","129.15","1195600",""
"VRTX","2015-03-18T00:00:00-04:00","2015-03-18","129.31","130.95","127.51","129.79","1926800",""
"VRTX","2015-03-19T00:00:00-04:00","2015-03-19","131.16","134.41","130.07","134.25","2143300",""
"VRTX","2015-03-20T00:00:00-04:00","2015-03-20","135","136.33","130.63","131","5731400",""
"VRTX","2015-03-23T00:00:00-04:00","2015-03-23","123.57","128.54","122","125.79","5118500",""
"VRTX","2015-03-24T00:00:00-04:00","2015-03-24","126.24","128.8","124.13","124.33","1780200",""
"VRTX","2015-03-25T00:00:00-04:00","2015-03-25","124.5","126.29","118.16","118.64","2429900",""
"VRTX","2015-03-26T00:00:00-04:00","2015-03-26","118.96","120.02","116.61","117.6","1902800",""
"VRTX","2015-03-27T00:00:00-04:00","2015-03-27","117.73","120.78","117.45","120.34","1618000",""
"VRTX","2015-03-30T00:00:00-04:00","2015-03-30","121.23","122.14","119.52","121.25","1263700",""
"VRTX","2015-03-31T00:00:00-04:00","2015-03-31","119.8","121.02","117.81","117.97","1525000",""
"VRTX","2015-04-01T00:00:00-04:00","2015-04-01","117.59","117.59","113.68","116.43","1910600",""
"VRTX","2015-04-02T00:00:00-04:00","2015-04-02","115.85","117.74","114.32","117.23","1513900",""
"VRTX","2015-04-06T00:00:00-04:00","2015-04-06","116.1","120","115.11","118.25","1252100",""
"VRTX","2015-04-07T00:00:00-04:00","2015-04-07","118.25","122.06","118.12","120.47","1113100",""
"VRTX","2015-04-08T00:00:00-04:00","2015-04-08","120.99","124.56","120.33","123.79","1356800",""
"VRTX","2015-04-09T00:00:00-04:00","2015-04-09","123.67","125.75","123.09","125.64","1091700",""
