symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"VZ","2015-01-02T00:00:00-05:00","2015-01-02","40.8974","41.09754","40.81909","40.86259","13125440",""
"VZ","2015-01-05T00:00:00-05:00","2015-01-05","40.96701","41.03662","40.51453","40.52324","21794216",""
"VZ","2015-01-06T00:00:00-05:00","2015-01-06","40.71467","41.22806","40.43622","40.93221","26374536",""
"VZ","2015-01-07T00:00:00-05:00","2015-01-07","41.3108","41.41645","40.54481","40.66807","23616964",""
"VZ","2015-01-08T00:00:00-05:00","2015-01-08","40.87057","41.59255","40.61525","41.53972","20009498",""
"VZ","2015-01-09T00:00:00-05:00","2015-01-09","41.58374","41.65418","41.04667","41.16993","14807738",""
"VZ","2015-01-12T00:00:00-05:00","2015-01-12","41.40765","41.61896","41.09069","41.45168","14458826",""
"VZ","2015-01-13T00:00:00-05:00","2015-01-13","41.82146","42.0856","41.31961","41.53972","14847717",""
"VZ","2015-01-14T00:00:00-05:00","2015-01-14","41.28439","41.68059","41.00264","41.35482","16804894",""
"VZ","2015-01-15T00:00:00-05:00","2015-01-15","41.61015","41.85668","41.20515","41.46928","14169770",""
"VZ","2015-01-16T00:00:00-05:00","2015-01-16","41.4957","42.2881","41.48689","42.25289","20501064",""
"VZ","2015-01-20T00:00:00-05:00","2015-01-20","42.34973","42.4818","42.00636","42.42017","18695286",""
"VZ","2015-01-21T00:00:00-05:00","2015-01-21","42.16484","42.61387","41.91831","42.4818","28258330",""
"VZ","2015-01-22T00:00:00-05:00","2015-01-22","42.36734","42.68431","41.302","42.0856","43672008",""
"VZ","2015-01-23T00:00:00-05:00","2015-01-23","42.16484","42.20006","41.36363","41.51331","27619568",""
"VZ","2015-01-26T00:00:00-05:00","2015-01-26","41.37243","41.46928","40.93221","41.34602","17109850",""
"VZ","2015-01-27T00:00:00-05:00","2015-01-27","41.04667","41.24917","40.79134","40.80894","19318376",""
"VZ","2015-01-28T00:00:00-05:00","2015-01-28","41.23156","41.40765","40.5272","40.54481","22233810",""
"VZ","2015-01-29T00:00:00-05:00","2015-01-29","40.35111","40.74731","39.9461","40.59764","21763370",""
"VZ","2015-01-30T00:00:00-05:00","2015-01-30","40.35111","40.94981","40.11339","40.24545","25859450",""
"VZ","2015-02-02T00:00:00-05:00","2015-02-02","40.67688","41.51331","40.28947","41.36363","26318646",""
"VZ","2015-02-03T00:00:00-05:00","2015-02-03","41.64537","42.23528","41.56613","42.11201","24398494",""
"VZ","2015-02-04T00:00:00-05:00","2015-02-04","41.97114","42.53463","41.96233","42.0856","22644396",""
"VZ","2015-02-05T00:00:00-05:00","2015-02-05","42.30571","42.37615","41.85668","42.13843","21309854",""
"VZ","2015-02-06T00:00:00-05:00","2015-02-06","42.4818","43.81128","42.26169","43.43269","53864840",""
"VZ","2015-02-09T00:00:00-05:00","2015-02-09","43.18616","43.55595","43.12453","43.22138","23911472",""
"VZ","2015-02-10T00:00:00-05:00","2015-02-10","43.36226","43.6352","43.15094","43.59117","17151080",""
"VZ","2015-02-11T00:00:00-05:00","2015-02-11","43.48552","43.91694","43.28301","43.85531","22037320",""
"VZ","2015-02-12T00:00:00-05:00","2015-02-12","43.92574","44.01379","43.36226","43.59998","23223644",""
"VZ","2015-02-13T00:00:00-05:00","2015-02-13","43.50313","43.67041","43.16855","43.41508","16604542",""
"VZ","2015-02-17T00:00:00-05:00","2015-02-17","43.15975","43.42389","43.04529","43.30062","17449790",""
"VZ","2015-02-18T00:00:00-05:00","2015-02-18","43.33584","43.41508","42.8604","43.08931","15348142",""
"VZ","2015-02-19T00:00:00-05:00","2015-02-19","42.92203","43.2654","42.91322","43.0629","13186184",""
"VZ","2015-02-20T00:00:00-05:00","2015-02-20","43.00127","43.12453","42.62267","43.11573","15312024",""
"VZ","2015-02-23T00:00:00-05:00","2015-02-23","43.08931","43.14214","42.73713","42.93964","13919671",""
"VZ","2015-02-24T00:00:00-05:00","2015-02-24","42.85159","43.50313","42.53463","43.33584","18521058",""
"VZ","2015-02-25T00:00:00-05:00","2015-02-25","43.4591","43.49432","43.16855","43.31823","12946648",""
"VZ","2015-02-26T00:00:00-05:00","2015-02-26","43.19497","43.54715","43.0717","43.46791","15425488",""
"VZ","2015-02-27T00:00:00-05:00","2015-02-27","43.33584","43.72324","43.18616","43.53835","19956912",""
"VZ","2015-03-02T00:00:00-05:00","2015-03-02","43.2478","43.59117","43.15975","43.55595","12396362",""
"VZ","2015-03-03T00:00:00-05:00","2015-03-03","43.53835","43.74965","43.38867","43.62639","12926772",""
"VZ","2015-03-04T00:00:00-05:00","2015-03-04","43.6352","43.6352","43.0717","43.20377","15753843",""
