symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"WBA","2015-01-02T00:00:00-05:00","2015-01-02","72.48811","73.51672","71.51665","72.38335","4135183",""
"WBA","2015-01-05T00:00:00-05:00","2015-01-05","71.50713","72.2881","70.73566","70.95473","5010119",""
"WBA","2015-01-06T00:00:00-05:00","2015-01-06","72.35477","72.38335","70.42138","71.13569","5126665",""
"WBA","2015-01-07T00:00:00-05:00","2015-01-07","71.47855","73.04051","71.39284","72.95479","5955403",""
"WBA","2015-01-08T00:00:00-05:00","2015-01-08","73.62148","74.23103","73.20242","73.85959","4291313",""
"WBA","2015-01-09T00:00:00-05:00","2015-01-09","73.631","73.85006","72.0119","72.06905","3889281",""
"WBA","2015-01-12T00:00:00-05:00","2015-01-12","72.19286","72.56431","71.27854","72.09762","3056029",""
"WBA","2015-01-13T00:00:00-05:00","2015-01-13","71.62141","72.65955","70.58328","71.67856","5431575",""
"WBA","2015-01-14T00:00:00-05:00","2015-01-14","71.37379","71.83094","70.72615","71.42141","3426246",""
"WBA","2015-01-15T00:00:00-05:00","2015-01-15","72.30715","72.47858","71.05949","71.2214","3753521",""
"WBA","2015-01-16T00:00:00-05:00","2015-01-16","70.92616","72.49763","70.85949","72.41192","5125825",""
"WBA","2015-01-20T00:00:00-05:00","2015-01-20","72.45954","72.85002","71.72618","72.43097","2881524",""
"WBA","2015-01-21T00:00:00-05:00","2015-01-21","71.92619","72.81193","71.48808","71.99285","2677096",""
"WBA","2015-01-22T00:00:00-05:00","2015-01-22","72.35477","72.58335","71.55474","72.40239","3738086",""
"WBA","2015-01-23T00:00:00-05:00","2015-01-23","72.33572","72.33572","71.62141","71.99285","3433386",""
"WBA","2015-01-26T00:00:00-05:00","2015-01-26","72.15477","72.47858","71.79285","72.23096","2782723",""
"WBA","2015-01-27T00:00:00-05:00","2015-01-27","71.5357","72.21191","71.23093","71.36427","2935388",""
"WBA","2015-01-28T00:00:00-05:00","2015-01-28","71.95477","71.95477","70.08803","70.25946","4228945",""
"WBA","2015-01-29T00:00:00-05:00","2015-01-29","70.85949","71.02139","69.6785","71.02139","4127308",""
"WBA","2015-01-30T00:00:00-05:00","2015-01-30","70.02135","70.9452","69.93565","70.24042","7051987",""
"WBA","2015-02-02T00:00:00-05:00","2015-02-02","69.58325","71.41189","69.52611","71.32616","4459517",""
"WBA","2015-02-03T00:00:00-05:00","2015-02-03","71.54523","71.65951","70.77377","71.23093","3040909",""
"WBA","2015-02-04T00:00:00-05:00","2015-02-04","71.66904","71.94524","70.67853","71.11663","3550562",""
