symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"WFC","2015-01-02T00:00:00-05:00","2015-01-02","50.90798","50.98188","50.05813","50.52924","12666601",""
"WFC","2015-01-05T00:00:00-05:00","2015-01-05","50.01194","50.21517","49.05124","49.14362","16238664",""
"WFC","2015-01-06T00:00:00-05:00","2015-01-06","49.28217","49.39303","47.89655","48.11825","21879354",""
"WFC","2015-01-07T00:00:00-05:00","2015-01-07","48.61708","48.62631","48.13672","48.40461","17011706",""
"WFC","2015-01-08T00:00:00-05:00","2015-01-08","48.9681","49.50388","48.92191","49.47617","18101718",""
"WFC","2015-01-09T00:00:00-05:00","2015-01-09","49.45769","49.50388","48.65402","48.66326","15751845",""
"WFC","2015-01-12T00:00:00-05:00","2015-01-12","48.57089","48.6725","47.76722","48.0813","18367914",""
"WFC","2015-01-13T00:00:00-05:00","2015-01-13","48.31224","48.5247","47.3423","47.89655","27151006",""
"WFC","2015-01-14T00:00:00-05:00","2015-01-14","47.11136","47.7857","46.57558","47.3423","40692736",""
"WFC","2015-01-15T00:00:00-05:00","2015-01-15","47.30535","47.61018","46.61253","46.85271","34797864",""
"WFC","2015-01-16T00:00:00-05:00","2015-01-16","46.67719","47.75798","46.65872","47.70256","25087682",""
"WFC","2015-01-20T00:00:00-05:00","2015-01-20","47.99816","48.31224","47.75798","48.03511","19151242",""
"WFC","2015-01-21T00:00:00-05:00","2015-01-21","48.02588","48.68174","47.76722","48.12748","19408020",""
"WFC","2015-01-22T00:00:00-05:00","2015-01-22","48.48775","49.71634","48.47851","49.67015","23262410",""
"WFC","2015-01-23T00:00:00-05:00","2015-01-23","49.61473","49.86414","49.18056","49.19904","19247154",""
"WFC","2015-01-26T00:00:00-05:00","2015-01-26","48.88496","49.51311","48.85725","49.49464","14537883",""
"WFC","2015-01-27T00:00:00-05:00","2015-01-27","48.8942","49.27294","48.56165","48.93115","15536202",""
"WFC","2015-01-28T00:00:00-05:00","2015-01-28","49.24523","49.29141","48.17368","48.18291","20324716",""
"WFC","2015-01-29T00:00:00-05:00","2015-01-29","48.19215","48.86649","47.9335","48.73716","18078442",""
"WFC","2015-01-30T00:00:00-05:00","2015-01-30","48.21062","48.7464","47.94274","47.96121","23550366",""
"WFC","2015-02-02T00:00:00-05:00","2015-02-02","48.21062","48.87572","48.02588","48.78335","19176682",""
"WFC","2015-02-03T00:00:00-05:00","2015-02-03","48.95886","49.44845","48.93115","49.37455","21931100",""
"WFC","2015-02-04T00:00:00-05:00","2015-02-04","49.30946","49.74649","49.18858","49.30946","15524700",""
"WFC","2015-02-05T00:00:00-05:00","2015-02-05","49.50473","50.06263","49.48613","49.90456","14283950",""
"WFC","2015-02-06T00:00:00-05:00","2015-02-06","50.32299","51.21564","50.05334","50.62984","20774416",""
"WFC","2015-02-09T00:00:00-05:00","2015-02-09","50.46246","50.62984","50.2765","50.40667","10474050",""
"WFC","2015-02-10T00:00:00-05:00","2015-02-10","50.78791","50.87159","50.41597","50.74142","13273777",""
"WFC","2015-02-11T00:00:00-05:00","2015-02-11","50.2765","50.45316","49.89526","50.11842","19677346",""
"WFC","2015-02-12T00:00:00-05:00","2015-02-12","50.38808","51.04826","50.18351","51.01107","21680484",""
"WFC","2015-02-13T00:00:00-05:00","2015-02-13","51.13195","51.66196","50.96458","51.4481","20228192",""
"WFC","2015-02-17T00:00:00-05:00","2015-02-17","51.4295","51.56897","51.09476","51.48529","12807138",""
