symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"WHR","2015-01-02T00:00:00-05:00","2015-01-02","182.6954","184.549","179.9573","181.6039","537249",""
"WHR","2015-01-05T00:00:00-05:00","2015-01-05","180.0232","180.9359","177.3605","177.8591","779569",""
"WHR","2015-01-06T00:00:00-05:00","2015-01-06","178.7812","179.2423","175.1399","176.3913","878622",""
"WHR","2015-01-07T00:00:00-05:00","2015-01-07","178.1979","181.4157","177.1723","180.5407","643317",""
"WHR","2015-01-08T00:00:00-05:00","2015-01-08","182.0367","185.7063","180.9077","185.1982","938246",""
"WHR","2015-01-09T00:00:00-05:00","2015-01-09","185.6875","188.1056","184.6807","185.5745","936652",""
"WHR","2015-01-12T00:00:00-05:00","2015-01-12","186.252","188.5948","183.721","187.2023","927512",""
"WHR","2015-01-13T00:00:00-05:00","2015-01-13","189.197","193.0359","183.2976","185.7063","1261021",""
"WHR","2015-01-14T00:00:00-05:00","2015-01-14","183.6551","188.8677","183.2881","187.0047","1180460",""
"WHR","2015-01-15T00:00:00-05:00","2015-01-15","187.0706","188.8583","183.5986","183.928","957695",""
"WHR","2015-01-16T00:00:00-05:00","2015-01-16","183.2599","188.6043","182.8647","188.3408","650863",""
"WHR","2015-01-20T00:00:00-05:00","2015-01-20","188.4161","189.7145","184.6901","186.1861","772554",""
"WHR","2015-01-21T00:00:00-05:00","2015-01-21","186.0168","187.3434","185.0476","185.9791","930062",""
"WHR","2015-01-22T00:00:00-05:00","2015-01-22","187.908","188.9712","186.5249","187.908","1004990",""
"WHR","2015-01-23T00:00:00-05:00","2015-01-23","188.3878","190.0344","187.5316","189.0465","404504",""
"WHR","2015-01-26T00:00:00-05:00","2015-01-26","188.736","191.7186","188.0021","191.0694","479538",""
"WHR","2015-01-27T00:00:00-05:00","2015-01-27","188.6419","191.2294","187.9927","189.9403","500688",""
"WHR","2015-01-28T00:00:00-05:00","2015-01-28","192.1891","194.9083","189.197","189.5075","1226479",""
"WHR","2015-01-29T00:00:00-05:00","2015-01-29","189.8086","192.0762","187.7104","191.8974","1074285",""
"WHR","2015-01-30T00:00:00-05:00","2015-01-30","191.7281","191.7281","187.0518","187.3152","854816",""
"WHR","2015-02-02T00:00:00-05:00","2015-02-02","187.6728","190.2791","185.3581","189.2347","1362944",""
"WHR","2015-02-03T00:00:00-05:00","2015-02-03","190.232","190.9189","186.4872","189.1782","1259958",""
"WHR","2015-02-04T00:00:00-05:00","2015-02-04","194.946","204.2797","193.8827","202.1815","2289606",""
"WHR","2015-02-05T00:00:00-05:00","2015-02-05","202.5296","202.7649","198.098","198.8507","1231368",""
