symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"WM","2015-01-02T00:00:00-05:00","2015-01-02","47.63636","48.12898","47.58988","48.1011","3385405",""
"WM","2015-01-05T00:00:00-05:00","2015-01-05","47.80367","47.98027","47.52482","47.61776","4151847",""
"WM","2015-01-06T00:00:00-05:00","2015-01-06","47.65495","47.99886","47.27385","47.65495","3241670",""
"WM","2015-01-07T00:00:00-05:00","2015-01-07","47.79436","47.98027","47.45045","47.69213","2413366",""
"WM","2015-01-08T00:00:00-05:00","2015-01-08","47.99886","48.2777","47.90591","48.24052","3164962",""
"WM","2015-01-09T00:00:00-05:00","2015-01-09","48.16616","48.23123","47.74789","47.89661","1790229",""
"WM","2015-01-12T00:00:00-05:00","2015-01-12","47.96167","48.04533","47.62706","47.84084","1415615",""
"WM","2015-01-13T00:00:00-05:00","2015-01-13","48.03604","48.43572","47.46905","47.87802","1915459",""
"WM","2015-01-14T00:00:00-05:00","2015-01-14","47.63636","48.22194","47.49693","48.15687","1747302",""
"WM","2015-01-15T00:00:00-05:00","2015-01-15","48.14758","48.4636","48.11039","48.16616","1455099",""
"WM","2015-01-16T00:00:00-05:00","2015-01-16","48.12898","48.59373","47.9245","48.55655","1410666",""
"WM","2015-01-20T00:00:00-05:00","2015-01-20","48.84469","49.21649","48.63091","49.17931","2606698",""
"WM","2015-01-21T00:00:00-05:00","2015-01-21","49.0027","49.31873","48.85399","49.012","2592605",""
"WM","2015-01-22T00:00:00-05:00","2015-01-22","49.24437","49.43956","48.76104","49.05847","3074697",""
"WM","2015-01-23T00:00:00-05:00","2015-01-23","49.03059","49.31873","48.90976","49.26296","2582384",""
"WM","2015-01-26T00:00:00-05:00","2015-01-26","49.21649","49.58828","48.94693","49.45815","1721159",""
"WM","2015-01-27T00:00:00-05:00","2015-01-27","49.22578","49.58828","49.16072","49.39309","2467052",""
"WM","2015-01-28T00:00:00-05:00","2015-01-28","49.43027","49.71841","48.88187","48.92834","1885227",""
"WM","2015-01-29T00:00:00-05:00","2015-01-29","48.80751","48.92834","48.34277","48.84469","1556983",""
"WM","2015-01-30T00:00:00-05:00","2015-01-30","48.54725","48.61232","47.76648","47.80367","3356142",""
"WM","2015-02-02T00:00:00-05:00","2015-02-02","47.83155","47.94309","47.23668","47.9245","4731412",""
"WM","2015-02-03T00:00:00-05:00","2015-02-03","47.80367","48.55655","47.75719","48.55655","2388837",""
"WM","2015-02-04T00:00:00-05:00","2015-02-04","48.51937","48.88187","48.34277","48.53796","1908251",""
"WM","2015-02-05T00:00:00-05:00","2015-02-05","48.53796","48.90976","48.52866","48.89116","1169351",""
"WM","2015-02-06T00:00:00-05:00","2015-02-06","48.85399","49.08636","48.51937","48.74245","1492861",""
"WM","2015-02-09T00:00:00-05:00","2015-02-09","48.51937","49.03988","48.51937","48.8261","1753542",""
"WM","2015-02-10T00:00:00-05:00","2015-02-10","49.0213","49.22578","48.81681","48.98412","1672315",""
"WM","2015-02-11T00:00:00-05:00","2015-02-11","49.04918","49.24437","48.72386","48.85399","1727184",""
"WM","2015-02-12T00:00:00-05:00","2015-02-12","48.88187","49.23508","48.75174","48.98412","1820783",""
"WM","2015-02-13T00:00:00-05:00","2015-02-13","47.96167","48.00815","47.09725","47.67353","5342931",""
"WM","2015-02-17T00:00:00-05:00","2015-02-17","48.51937","50.6479","48.51937","50.13668","5672143",""
"WM","2015-02-18T00:00:00-05:00","2015-02-18","50.26681","50.90816","49.95079","50.77803","2753015",""
"WM","2015-02-19T00:00:00-05:00","2015-02-19","50.6572","50.76873","50.05303","50.55495","2110835",""
"WM","2015-02-20T00:00:00-05:00","2015-02-20","50.63861","50.86169","50.35976","50.66649","2433915",""
"WM","2015-02-23T00:00:00-05:00","2015-02-23","50.66649","50.93604","50.52707","50.72226","1552356",""
"WM","2015-02-24T00:00:00-05:00","2015-02-24","50.56425","50.87098","50.51777","50.62931","1727399",""
"WM","2015-02-25T00:00:00-05:00","2015-02-25","50.76873","50.97322","50.60143","50.68508","1811101",""
"WM","2015-02-26T00:00:00-05:00","2015-02-26","50.76873","50.80592","50.22034","50.45271","1892651",""
"WM","2015-02-27T00:00:00-05:00","2015-02-27","50.48059","50.8245","50.30399","50.63861","1831649",""
"WM","2015-03-02T00:00:00-05:00","2015-03-02","50.80592","51.029","50.6479","50.98252","2156129",""
"WM","2015-03-03T00:00:00-05:00","2015-03-03","50.84309","51.37291","50.80592","51.28925","3482985",""
"WM","2015-03-04T00:00:00-05:00","2015-03-04","51.12194","51.27066","51.00111","51.187","3606279",""
"WM","2015-03-05T00:00:00-05:00","2015-03-05","51.21976","51.33209","50.76111","51.01384","2194792",""
"WM","2015-03-06T00:00:00-05:00","2015-03-06","50.69559","50.81727","50.20885","50.21821","2693385",""
"WM","2015-03-09T00:00:00-04:00","2015-03-09","50.18077","50.39606","50.15269","50.23693","3195718",""
"WM","2015-03-10T00:00:00-04:00","2015-03-10","49.90932","50.10588","49.52554","49.52554","3049035",""
"WM","2015-03-11T00:00:00-04:00","2015-03-11","49.54427","49.67531","49.3009","49.31961","2988674",""
"WM","2015-03-12T00:00:00-04:00","2015-03-12","49.3477","49.78763","49.33834","49.69403","2109539",""
"WM","2015-03-13T00:00:00-04:00","2015-03-13","49.77827","49.9842","49.46002","49.90932","2039029",""
"WM","2015-03-16T00:00:00-04:00","2015-03-16","50.0778","51.01384","50.06845","50.92023","2435809",""
"WM","2015-03-17T00:00:00-04:00","2015-03-17","50.9296","51.1636","50.84535","50.98576","1611159",""
"WM","2015-03-18T00:00:00-04:00","2015-03-18","50.79855","51.66906","50.59262","51.54738","2189023",""
"WM","2015-03-19T00:00:00-04:00","2015-03-19","51.59418","51.77203","51.22913","51.22913","1821301",""
"WM","2015-03-20T00:00:00-04:00","2015-03-20","51.28529","51.34145","50.90152","51.06064","5470209",""
"WM","2015-03-23T00:00:00-04:00","2015-03-23","51.21976","51.60354","50.98576","51.40697","2636229",""
"WM","2015-03-24T00:00:00-04:00","2015-03-24","51.40697","51.44441","51.07936","51.1168","2007513",""
"WM","2015-03-25T00:00:00-04:00","2015-03-25","51.15424","51.20105","50.39606","50.41478","1611694",""
"WM","2015-03-26T00:00:00-04:00","2015-03-26","50.20885","50.27437","49.96548","49.9842","1470139",""
"WM","2015-03-27T00:00:00-04:00","2015-03-27","49.96548","50.26501","49.96548","49.9842","1699511",""
"WM","2015-03-30T00:00:00-04:00","2015-03-30","50.13397","50.76111","50.10588","50.55518","1694276",""
"WM","2015-03-31T00:00:00-04:00","2015-03-31","50.4335","50.92023","50.37733","50.76111","2496918",""
"WM","2015-04-01T00:00:00-04:00","2015-04-01","50.77983","50.90152","50.14333","50.21821","2202271",""
"WM","2015-04-02T00:00:00-04:00","2015-04-02","50.35861","50.54582","50.22757","50.45222","1497168",""
"WM","2015-04-06T00:00:00-04:00","2015-04-06","50.44286","51.22913","50.31181","51.06064","3572520",""
"WM","2015-04-07T00:00:00-04:00","2015-04-07","50.98576","51.37889","50.87343","51.23849","2161353",""
"WM","2015-04-08T00:00:00-04:00","2015-04-08","51.25721","51.5661","51.08872","51.1168","4123569",""
"WM","2015-04-09T00:00:00-04:00","2015-04-09","51.17296","51.60354","50.93895","51.45377","4386273",""
"WM","2015-04-10T00:00:00-04:00","2015-04-10","51.64098","52.35237","51.4725","51.6129","4776430",""
"WM","2015-04-13T00:00:00-04:00","2015-04-13","51.48185","51.63162","51.23849","51.33209","2780989",""
"WM","2015-04-14T00:00:00-04:00","2015-04-14","51.22913","51.25721","50.67686","50.77047","2101954",""
"WM","2015-04-15T00:00:00-04:00","2015-04-15","50.89215","51.14488","50.75175","50.77983","1318008",""
"WM","2015-04-16T00:00:00-04:00","2015-04-16","50.60199","50.68623","50.19949","50.53646","2196715",""
"WM","2015-04-17T00:00:00-04:00","2015-04-17","50.18077","50.3867","49.37578","49.49746","3055125",""
"WM","2015-04-20T00:00:00-04:00","2015-04-20","49.78763","50.02164","49.60979","49.62851","2956838",""
"WM","2015-04-21T00:00:00-04:00","2015-04-21","49.71275","49.94676","49.36642","49.46002","4448130",""
"WM","2015-04-22T00:00:00-04:00","2015-04-22","49.43194","49.76891","48.86096","49.24474","3786615",""
"WM","2015-04-23T00:00:00-04:00","2015-04-23","49.13241","49.43194","49.09497","49.31026","4341937",""
"WM","2015-04-24T00:00:00-04:00","2015-04-24","49.27282","49.38514","48.91712","49.29153","4268222",""
"WM","2015-04-27T00:00:00-04:00","2015-04-27","49.55362","49.55362","48.83288","48.94521","1995975",""
"WM","2015-04-28T00:00:00-04:00","2015-04-28","48.992","49.31961","48.74864","49.11369","1889141",""
"WM","2015-04-29T00:00:00-04:00","2015-04-29","48.20574","48.69247","46.45536","46.68936","6025317",""
"WM","2015-04-30T00:00:00-04:00","2015-04-30","46.5864","46.89529","46.26815","46.36175","4416614",""
"WM","2015-05-01T00:00:00-04:00","2015-05-01","46.39919","47.01698","46.39919","46.88593","2265516",""
"WM","2015-05-04T00:00:00-04:00","2015-05-04","46.90465","47.2229","46.61448","46.66128","3019656",""
"WM","2015-05-05T00:00:00-04:00","2015-05-05","46.68","46.83913","45.63165","45.73461","3149672",""
"WM","2015-05-06T00:00:00-04:00","2015-05-06","45.88437","46.05286","45.01386","45.36956","3403830",""
"WM","2015-05-07T00:00:00-04:00","2015-05-07","45.39764","45.86565","45.37891","45.73461","2376196",""
"WM","2015-05-08T00:00:00-04:00","2015-05-08","46.01542","46.41791","45.98734","46.17455","1796196",""
"WM","2015-05-11T00:00:00-04:00","2015-05-11","46.01542","46.70808","45.91245","46.26815","4208395",""
"WM","2015-05-12T00:00:00-04:00","2015-05-12","46.08094","46.52088","45.94054","46.34303","2055802",""
"WM","2015-05-13T00:00:00-04:00","2015-05-13","46.37111","46.61448","46.16518","46.21198","2174601",""
"WM","2015-05-14T00:00:00-04:00","2015-05-14","46.32431","46.67064","46.32431","46.5396","1532316",""
"WM","2015-05-15T00:00:00-04:00","2015-05-15","46.62384","46.77361","46.54896","46.64256","1679533",""
"WM","2015-05-18T00:00:00-04:00","2015-05-18","46.74552","46.75489","46.51151","46.66128","1646094",""
"WM","2015-05-19T00:00:00-04:00","2015-05-19","46.60512","46.75489","46.43663","46.67064","1679533",""
"WM","2015-05-20T00:00:00-04:00","2015-05-20","46.62384","46.75489","46.49279","46.5396","1429115",""
"WM","2015-05-21T00:00:00-04:00","2015-05-21","46.53024","47.03569","46.47408","46.91401","2182934",""
"WM","2015-05-22T00:00:00-04:00","2015-05-22","46.78297","47.05442","46.78297","46.85785","1483173",""
"WM","2015-05-26T00:00:00-04:00","2015-05-26","46.7268","46.93273","46.27751","46.39919","2770840",""
"WM","2015-05-27T00:00:00-04:00","2015-05-27","46.60512","46.77361","46.31495","46.65192","1262347",""
"WM","2015-05-28T00:00:00-04:00","2015-05-28","46.66128","46.80169","46.53024","46.60512","1736903",""
"WM","2015-05-29T00:00:00-04:00","2015-05-29","46.46471","46.67064","46.24943","46.47408","2523947",""
"WM","2015-06-01T00:00:00-04:00","2015-06-01","46.6332","46.71744","46.37111","46.55832","1450802",""
"WM","2015-06-02T00:00:00-04:00","2015-06-02","46.48344","46.65192","46.33367","46.38983","1815639",""
"WM","2015-06-03T00:00:00-04:00","2015-06-03","46.44172","46.54548","46.28135","46.46058","1798037",""
"WM","2015-06-04T00:00:00-04:00","2015-06-04","46.22474","46.47945","45.72476","45.92287","3349403",""
"WM","2015-06-05T00:00:00-04:00","2015-06-05","45.84739","45.91343","45.59269","45.66816","2141277",""
"WM","2015-06-08T00:00:00-04:00","2015-06-08","45.63042","45.85683","45.56439","45.71532","1445468",""
"WM","2015-06-09T00:00:00-04:00","2015-06-09","45.71532","45.80966","45.49835","45.58326","1517763",""
"WM","2015-06-10T00:00:00-04:00","2015-06-10","45.64929","45.9889","45.64929","45.69646","1919305",""
"WM","2015-06-11T00:00:00-04:00","2015-06-11","45.83796","46.00777","45.57382","45.74363","2020857",""
"WM","2015-06-12T00:00:00-04:00","2015-06-12","45.70589","45.75306","45.46062","45.69646","1988950",""
"WM","2015-06-15T00:00:00-04:00","2015-06-15","45.38515","45.38515","44.93233","45.0078","1788072",""
"WM","2015-06-16T00:00:00-04:00","2015-06-16","45.08327","45.18704","44.98893","45.0927","1578821",""
"WM","2015-06-17T00:00:00-04:00","2015-06-17","45.21534","45.30025","44.87573","45.16817","2122302",""
"WM","2015-06-18T00:00:00-04:00","2015-06-18","45.28138","45.64929","45.28138","45.56439","1594509",""
"WM","2015-06-19T00:00:00-04:00","2015-06-19","45.51722","45.51722","45.03611","45.05497","2248765",""
"WM","2015-06-22T00:00:00-04:00","2015-06-22","45.34741","45.38515","44.87573","44.99837","1742385",""
"WM","2015-06-23T00:00:00-04:00","2015-06-23","44.9795","45.13044","44.62103","44.65876","1727120",""
"WM","2015-06-24T00:00:00-04:00","2015-06-24","44.57386","44.71536","44.45122","44.49839","1994674",""
"WM","2015-06-25T00:00:00-04:00","2015-06-25","44.60216","44.61159","44.22482","44.28141","1230704",""
"WM","2015-06-26T00:00:00-04:00","2015-06-26","44.31915","44.51725","44.16821","44.36632","1344658",""
"WM","2015-06-29T00:00:00-04:00","2015-06-29","44.10218","44.24368","43.70597","43.72483","1703269",""
"WM","2015-06-30T00:00:00-04:00","2015-06-30","44.05501","44.14935","43.6871","43.72483","1426705",""
"WM","2015-07-01T00:00:00-04:00","2015-07-01","43.99841","44.03614","43.62106","43.87577","1315613",""
"WM","2015-07-02T00:00:00-04:00","2015-07-02","43.93237","44.02671","43.6022","43.7437","937603",""
"WM","2015-07-06T00:00:00-04:00","2015-07-06","43.43239","43.90407","43.26258","43.89463","1302257",""
"WM","2015-07-07T00:00:00-04:00","2015-07-07","43.89463","44.44179","43.78143","44.35688","2105554",""
"WM","2015-07-08T00:00:00-04:00","2015-07-08","44.01727","44.58329","43.96067","44.15878","2174774",""
"WM","2015-07-09T00:00:00-04:00","2015-07-09","44.49839","44.65876","44.40405","44.47952","2389538",""
"WM","2015-07-10T00:00:00-04:00","2015-07-10","44.8663","45.17761","44.63046","45.04554","2035485",""
"WM","2015-07-13T00:00:00-04:00","2015-07-13","45.41345","45.44175","45.07384","45.21534","2207318",""
"WM","2015-07-14T00:00:00-04:00","2015-07-14","45.14931","45.91343","45.12101","45.84739","2422187",""
"WM","2015-07-15T00:00:00-04:00","2015-07-15","45.8757","45.97947","45.58326","45.65873","1668288",""
"WM","2015-07-16T00:00:00-04:00","2015-07-16","45.91343","46.44172","45.73419","46.16814","2437876",""
"WM","2015-07-17T00:00:00-04:00","2015-07-17","46.06437","46.12097","45.76249","45.92287","1698181",""
"WM","2015-07-20T00:00:00-04:00","2015-07-20","45.88513","45.97003","45.69646","45.78136","1084313",""
"WM","2015-07-21T00:00:00-04:00","2015-07-21","45.76249","45.85683","45.30025","45.49835","1345612",""
