symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"WMT","2015-01-02T00:00:00-05:00","2015-01-02","79.89405","80.34805","79.26402","79.58829","4858813",""
"WMT","2015-01-05T00:00:00-05:00","2015-01-05","79.42152","79.97743","79.22695","79.35667","7532358",""
"WMT","2015-01-06T00:00:00-05:00","2015-01-06","79.66241","80.37584","79.48637","79.96816","8855801",""
"WMT","2015-01-07T00:00:00-05:00","2015-01-07","80.40363","82.16402","80.30171","82.0899","9172361",""
"WMT","2015-01-08T00:00:00-05:00","2015-01-08","82.65508","84.0078","82.52537","83.8225","13721737",""
"WMT","2015-01-09T00:00:00-05:00","2015-01-09","83.68353","83.74837","82.69215","82.7848","9198372",""
"WMT","2015-01-12T00:00:00-05:00","2015-01-12","82.79406","83.67426","82.66435","83.40556","7957172",""
"WMT","2015-01-13T00:00:00-05:00","2015-01-13","84.12826","84.28577","82.39565","82.74773","8866918",""
"WMT","2015-01-14T00:00:00-05:00","2015-01-14","81.20971","82.01578","80.1442","80.24612","12902329",""
"WMT","2015-01-15T00:00:00-05:00","2015-01-15","80.60747","81.33015","80.32951","80.95954","10159169",""
"WMT","2015-01-16T00:00:00-05:00","2015-01-16","80.79277","81.03367","79.89405","80.39436","9075763",""
"WMT","2015-01-20T00:00:00-05:00","2015-01-20","80.71865","81.25603","79.26402","80.32024","8475778",""
"WMT","2015-01-21T00:00:00-05:00","2015-01-21","79.7736","80.52409","79.41225","80.27392","8822451",""
"WMT","2015-01-22T00:00:00-05:00","2015-01-22","80.82057","81.9046","80.47775","81.81195","7688749",""
"WMT","2015-01-23T00:00:00-05:00","2015-01-23","81.76562","82.70141","81.43208","82.00652","8165694",""
"WMT","2015-01-26T00:00:00-05:00","2015-01-26","81.82121","82.60876","81.64517","82.1177","5036682",""
"WMT","2015-01-27T00:00:00-05:00","2015-01-27","81.79342","81.96019","80.84837","81.09853","6497844",""
"WMT","2015-01-28T00:00:00-05:00","2015-01-28","81.55252","81.74709","80.39436","80.4407","6407507",""
"WMT","2015-01-29T00:00:00-05:00","2015-01-29","80.29245","81.27457","79.9311","81.27457","7039979",""
"WMT","2015-01-30T00:00:00-05:00","2015-01-30","80.40363","80.94102","78.66177","78.73589","11095466",""
"WMT","2015-02-02T00:00:00-05:00","2015-02-02","78.55985","79.5605","77.76305","79.41225","7476450",""
"WMT","2015-02-03T00:00:00-05:00","2015-02-03","79.52344","80.172","79.36593","79.85699","8940311",""
"WMT","2015-02-04T00:00:00-05:00","2015-02-04","79.85699","80.64453","79.68095","80.28319","9640563",""
"WMT","2015-02-05T00:00:00-05:00","2015-02-05","80.70939","80.94102","80.1998","80.86689","5494415",""
"WMT","2015-02-06T00:00:00-05:00","2015-02-06","80.84837","81.53399","80.40363","80.91322","6063101",""
"WMT","2015-02-09T00:00:00-05:00","2015-02-09","80.57967","80.78351","79.3474","79.59756","5888901",""
"WMT","2015-02-10T00:00:00-05:00","2015-02-10","80.25539","80.98734","80.07008","80.87616","6186573",""
"WMT","2015-02-11T00:00:00-05:00","2015-02-11","80.26465","80.71865","79.60682","79.99596","6317169",""
"WMT","2015-02-12T00:00:00-05:00","2015-02-12","80.1998","80.31098","78.96752","79.57903","7491992",""
"WMT","2015-02-13T00:00:00-05:00","2015-02-13","79.54196","79.82919","79.05091","79.50491","6040867",""
"WMT","2015-02-17T00:00:00-05:00","2015-02-17","79.15282","79.65315","78.72663","79.64388","5490530",""
"WMT","2015-02-18T00:00:00-05:00","2015-02-18","79.66241","79.95891","79.23621","79.94964","6511012",""
"WMT","2015-02-19T00:00:00-05:00","2015-02-19","78.29116","78.56912","77.26272","77.38316","20125466",""
"WMT","2015-02-20T00:00:00-05:00","2015-02-20","76.65122","78.17998","76.48444","78.10586","14937898",""
"WMT","2015-02-23T00:00:00-05:00","2015-02-23","78.26337","78.62471","78.041","78.38381","7264151",""
"WMT","2015-02-24T00:00:00-05:00","2015-02-24","78.30043","78.58765","77.75378","78.35602","5609901",""
"WMT","2015-02-25T00:00:00-05:00","2015-02-25","78.41161","78.495","77.38316","77.4295","7348336",""
"WMT","2015-02-26T00:00:00-05:00","2015-02-26","77.68892","77.69819","77.15154","77.6426","6355052",""
"WMT","2015-02-27T00:00:00-05:00","2015-02-27","77.57774","77.97614","77.27199","77.76305","6343504",""
"WMT","2015-03-02T00:00:00-05:00","2015-03-02","77.72598","77.8279","77.08668","77.79084","6542096",""
"WMT","2015-03-03T00:00:00-05:00","2015-03-03","77.51289","77.66113","77.05888","77.24419","6973062",""
"WMT","2015-03-04T00:00:00-05:00","2015-03-04","77.09595","77.09595","76.16016","76.51224","6707229",""
"WMT","2015-03-05T00:00:00-05:00","2015-03-05","77.09595","77.70745","76.86432","77.4295","6473128",""
"WMT","2015-03-06T00:00:00-05:00","2015-03-06","76.72533","76.99403","76.32693","76.5215","6185494",""
"WMT","2015-03-09T00:00:00-04:00","2015-03-09","76.5215","77.21639","76.47517","76.79019","5041971",""
"WMT","2015-03-10T00:00:00-04:00","2015-03-10","76.22501","76.43812","76.03971","76.03971","6811490",""
"WMT","2015-03-11T00:00:00-04:00","2015-03-11","76.25409","76.40323","75.07034","75.21016","6609679",""
"WMT","2015-03-12T00:00:00-04:00","2015-03-12","75.322","76.54304","75.29404","76.33798","5606554",""
"WMT","2015-03-13T00:00:00-04:00","2015-03-13","76.38458","76.66421","75.76941","76.33798","5109176",""
"WMT","2015-03-16T00:00:00-04:00","2015-03-16","76.85062","77.70815","76.84131","77.63358","6993977",""
"WMT","2015-03-17T00:00:00-04:00","2015-03-17","77.26074","77.3726","76.65488","77.00909","5151768",""
"WMT","2015-03-18T00:00:00-04:00","2015-03-18","76.41255","77.32599","75.64824","76.92519","10999287",""
"WMT","2015-03-19T00:00:00-04:00","2015-03-19","76.73878","76.84131","75.84398","75.98378","7738435",""
"WMT","2015-03-20T00:00:00-04:00","2015-03-20","76.27274","77.82","76.16088","77.58698","13266242",""
"WMT","2015-03-23T00:00:00-04:00","2015-03-23","77.53105","78.20216","77.47513","77.65222","6979708",""
"WMT","2015-03-24T00:00:00-04:00","2015-03-24","77.54037","78.02505","77.32599","77.40988","5749566",""
"WMT","2015-03-25T00:00:00-04:00","2015-03-25","77.44716","77.5963","75.78805","75.79737","7130016",""
"WMT","2015-03-26T00:00:00-04:00","2015-03-26","75.43385","76.72013","75.17287","76.32866","8869445",""
"WMT","2015-03-27T00:00:00-04:00","2015-03-27","76.29137","76.59896","75.7228","75.82533","6133865",""
"WMT","2015-03-30T00:00:00-04:00","2015-03-30","76.25409","77.17686","75.89989","76.92519","6117021",""
