symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"WRK","2015-07-02T00:00:00-04:00","2015-07-02","58.54063","60.39906","57.9831","60.38977","1877818",""
"WRK","2015-07-06T00:00:00-04:00","2015-07-06","60.51057","61.69997","58.53134","59.23755","2251574",""
"WRK","2015-07-07T00:00:00-04:00","2015-07-07","59.38622","59.46056","57.18398","58.04815","3285671",""
"WRK","2015-07-08T00:00:00-04:00","2015-07-08","58.07602","59.37693","55.28838","55.48351","4072463",""
"WRK","2015-07-09T00:00:00-04:00","2015-07-09","55.28838","56.61715","54.36845","55.29766","2458200",""
"WRK","2015-07-10T00:00:00-04:00","2015-07-10","55.72511","57.23973","55.19545","57.05389","2408158",""
"WRK","2015-07-13T00:00:00-04:00","2015-07-13","57.64859","57.84372","57.24902","57.72292","1344035",""
"WRK","2015-07-14T00:00:00-04:00","2015-07-14","57.70433","58.58709","57.09105","57.78796","1070579",""
"WRK","2015-07-15T00:00:00-04:00","2015-07-15","57.84372","58.47559","56.803","57.25831","1301957",""
"WRK","2015-07-16T00:00:00-04:00","2015-07-16","57.33265","59.1725","57.18398","57.90876","1469840",""
"WRK","2015-07-17T00:00:00-04:00","2015-07-17","58.18753","58.77294","57.2769","57.37911","1305508",""
"WRK","2015-07-20T00:00:00-04:00","2015-07-20","57.61142","58.47559","57.14681","57.19327","2128352",""
"WRK","2015-07-21T00:00:00-04:00","2015-07-21","57.46274","58.41054","55.39988","55.6136","1945940",""
"WRK","2015-07-22T00:00:00-04:00","2015-07-22","56.07821","56.81229","55.35342","55.88307","968665",""
"WRK","2015-07-23T00:00:00-04:00","2015-07-23","55.53926","56.47777","55.14899","55.6136","1210267",""
"WRK","2015-07-24T00:00:00-04:00","2015-07-24","55.33484","55.70652","53.57862","54.74014","1242552",""
"WRK","2015-07-27T00:00:00-04:00","2015-07-27","54.3127","55.21404","53.77375","54.0711","1350708",""
"WRK","2015-07-28T00:00:00-04:00","2015-07-28","54.37774","55.52068","53.42065","55.1397","1761269",""
"WRK","2015-07-29T00:00:00-04:00","2015-07-29","54.71226","55.50209","53.96889","55.18616","1926569",""
"WRK","2015-07-30T00:00:00-04:00","2015-07-30","57.01672","58.71718","56.71937","58.38267","3799007",""
"WRK","2015-07-31T00:00:00-04:00","2015-07-31","57.14681","59.23755","56.83088","58.59639","1748677",""
"WRK","2015-08-03T00:00:00-04:00","2015-08-03","58.88444","60.15747","57.97381","58.6986","2290101",""
"WRK","2015-08-04T00:00:00-04:00","2015-08-04","57.84372","58.95878","57.83443","58.14107","756443",""
"WRK","2015-08-05T00:00:00-04:00","2015-08-05","58.8101","59.43268","57.81585","58.30833","1613617",""
"WRK","2015-08-06T00:00:00-04:00","2015-08-06","57.61142","58.07602","56.19901","57.36982","2730042",""
"WRK","2015-08-07T00:00:00-04:00","2015-08-07","57.31407","58.17824","56.66362","58.13178","2217890",""
"WRK","2015-08-10T00:00:00-04:00","2015-08-10","58.88431","59.36106","57.86536","58.87496","1523288",""
"WRK","2015-08-11T00:00:00-04:00","2015-08-11","59.82848","59.82848","57.68774","59.26759","1847628",""
