symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"WU","2015-01-02T00:00:00-05:00","2015-01-02","16.46818","16.57772","16.19431","16.36776","6010056",""
"WU","2015-01-05T00:00:00-05:00","2015-01-05","16.2856","16.39514","16.12128","16.21257","11354300",""
"WU","2015-01-06T00:00:00-05:00","2015-01-06","16.18518","16.37689","16.02087","16.18518","11341484",""
"WU","2015-01-07T00:00:00-05:00","2015-01-07","16.30386","16.30386","15.95697","16.03","7645776",""
"WU","2015-01-08T00:00:00-05:00","2015-01-08","16.16693","16.55033","16.1578","16.3495","8570881",""
"WU","2015-01-09T00:00:00-05:00","2015-01-09","16.3495","16.4773","16.18518","16.36776","5098097",""
"WU","2015-01-12T00:00:00-05:00","2015-01-12","16.37689","16.44992","16.18518","16.26734","3890367",""
"WU","2015-01-13T00:00:00-05:00","2015-01-13","16.38602","16.52295","16.13041","16.24908","4164339",""
"WU","2015-01-14T00:00:00-05:00","2015-01-14","15.9661","16.03913","15.66485","15.76527","7443557",""
"WU","2015-01-15T00:00:00-05:00","2015-01-15","15.71962","15.85655","15.43663","15.51879","6662723",""
"WU","2015-01-16T00:00:00-05:00","2015-01-16","15.47315","15.71962","15.44576","15.71962","6163418",""
"WU","2015-01-20T00:00:00-05:00","2015-01-20","15.78352","15.87481","15.51879","15.52792","4951307",""
"WU","2015-01-21T00:00:00-05:00","2015-01-21","15.44576","15.70136","15.41837","15.66485","4578527",""
"WU","2015-01-22T00:00:00-05:00","2015-01-22","15.76527","16.11216","15.62833","16.06651","3646850",""
"WU","2015-01-23T00:00:00-05:00","2015-01-23","16.0939","16.1578","15.94784","16.07564","5164262",""
"WU","2015-01-26T00:00:00-05:00","2015-01-26","16.08477","16.19431","15.91132","16.17606","4012181",""
"WU","2015-01-27T00:00:00-05:00","2015-01-27","16.00261","16.00261","15.78352","15.85655","4153822",""
"WU","2015-01-28T00:00:00-05:00","2015-01-28","15.94784","15.95697","15.45489","15.48227","4825221",""
"WU","2015-01-29T00:00:00-05:00","2015-01-29","15.47315","15.64659","15.40012","15.63746","3442111",""
"WU","2015-01-30T00:00:00-05:00","2015-01-30","15.50053","15.71049","15.34534","15.51879","8327911",""
"WU","2015-02-02T00:00:00-05:00","2015-02-02","15.27231","15.91132","15.27231","15.89307","8710003",""
"WU","2015-02-03T00:00:00-05:00","2015-02-03","15.94784","16.14867","15.82917","16.14867","4736819",""
"WU","2015-02-04T00:00:00-05:00","2015-02-04","16.06651","16.29473","16.04825","16.14867","5422678",""
"WU","2015-02-05T00:00:00-05:00","2015-02-05","16.21257","16.38602","16.14867","16.32211","4374555",""
"WU","2015-02-06T00:00:00-05:00","2015-02-06","16.3495","16.43166","16.0939","16.18518","6731955",""
"WU","2015-02-09T00:00:00-05:00","2015-02-09","16.11216","16.23083","15.98435","16.08477","6754740",""
"WU","2015-02-10T00:00:00-05:00","2015-02-10","16.0939","16.91548","15.79265","16.79681","18369866",""
"WU","2015-02-11T00:00:00-05:00","2015-02-11","16.4773","17.05241","15.74701","16.70552","22129658",""
"WU","2015-02-12T00:00:00-05:00","2015-02-12","16.80594","16.952","16.68726","16.71465","10714779",""
"WU","2015-02-13T00:00:00-05:00","2015-02-13","16.74203","17.36279","16.72378","17.36279","10738002",""
"WU","2015-02-17T00:00:00-05:00","2015-02-17","17.3354","17.61839","17.3354","17.61839","12315226",""
"WU","2015-02-18T00:00:00-05:00","2015-02-18","17.58188","17.71881","17.53623","17.61839","7013266",""
"WU","2015-02-19T00:00:00-05:00","2015-02-19","17.58188","17.64578","17.50885","17.59101","5247954",""
"WU","2015-02-20T00:00:00-05:00","2015-02-20","17.51797","17.82835","17.47233","17.75532","5616243",""
"WU","2015-02-23T00:00:00-05:00","2015-02-23","17.73706","17.75532","17.49059","17.59101","7300273",""
"WU","2015-02-24T00:00:00-05:00","2015-02-24","17.56362","17.70055","17.41756","17.64578","4380032",""
"WU","2015-02-25T00:00:00-05:00","2015-02-25","17.66403","17.95615","17.60926","17.89225","5419391",""
"WU","2015-02-26T00:00:00-05:00","2015-02-26","17.90138","18.02005","17.77358","17.88312","5839605",""
"WU","2015-02-27T00:00:00-05:00","2015-02-27","17.79184","18.01093","17.79184","17.81922","4963576",""
"WU","2015-03-02T00:00:00-05:00","2015-03-02","17.81009","18.34869","17.80096","18.29391","7947462",""
"WU","2015-03-03T00:00:00-05:00","2015-03-03","18.23001","18.28479","17.86487","18.00179","6941952",""
"WU","2015-03-04T00:00:00-05:00","2015-03-04","17.91964","18.02005","17.86487","17.93789","3764829",""
"WU","2015-03-05T00:00:00-05:00","2015-03-05","17.93789","17.93789","17.69142","17.79184","6099335",""
"WU","2015-03-06T00:00:00-05:00","2015-03-06","17.73706","17.94702","17.71881","17.75532","6078740",""
"WU","2015-03-09T00:00:00-04:00","2015-03-09","17.74619","17.91964","17.72794","17.86487","4507432",""
"WU","2015-03-10T00:00:00-04:00","2015-03-10","17.70055","17.76445","17.59101","17.69142","6390066",""
"WU","2015-03-11T00:00:00-04:00","2015-03-11","17.69142","17.79184","17.55449","17.60013","8729063",""
"WU","2015-03-12T00:00:00-04:00","2015-03-12","17.71881","17.91964","17.71881","17.87399","5403836",""
"WU","2015-03-13T00:00:00-04:00","2015-03-13","17.8786","18.00742","17.75897","17.95221","5486363",""
"WU","2015-03-16T00:00:00-04:00","2015-03-16","17.99821","18.06263","17.9338","18.04422","4836689",""
"WU","2015-03-17T00:00:00-04:00","2015-03-17","18.03502","18.07183","17.74977","17.75897","9961809",""
"WU","2015-03-18T00:00:00-04:00","2015-03-18","17.73137","17.9246","17.22528","17.80498","12089170",""
"WU","2015-03-19T00:00:00-04:00","2015-03-19","17.78658","17.86019","17.55654","17.71297","5010356",""
"WU","2015-03-20T00:00:00-04:00","2015-03-20","17.80498","17.83259","17.56574","17.66696","16495388",""
"WU","2015-03-23T00:00:00-04:00","2015-03-23","17.70377","18.45829","17.70377","18.17304","9302354",""
"WU","2015-03-24T00:00:00-04:00","2015-03-24","18.13624","18.28346","18.10863","18.14544","6083437",""
"WU","2015-03-25T00:00:00-04:00","2015-03-25","18.16384","18.25586","17.83259","17.84179","8153851",""
"WU","2015-03-26T00:00:00-04:00","2015-03-26","17.80498","17.94301","17.77738","17.84179","5610690",""
"WU","2015-03-27T00:00:00-04:00","2015-03-27","17.78658","18.17304","17.77738","18.12704","7231288",""
"WU","2015-03-30T00:00:00-04:00","2015-03-30","18.32027","18.80795","18.32027","18.77114","10275017",""
"WU","2015-03-31T00:00:00-04:00","2015-03-31","18.66993","19.20362","18.63312","19.14841","13244085",""
"WU","2015-04-01T00:00:00-04:00","2015-04-01","19.084","19.0932","18.77114","18.91837","8229599",""
"WU","2015-04-02T00:00:00-04:00","2015-04-02","18.95518","19.36004","18.84476","19.24042","9647623",""
"WU","2015-04-06T00:00:00-04:00","2015-04-06","18.59632","19.01959","18.5135","18.62392","10188293",""
"WU","2015-04-07T00:00:00-04:00","2015-04-07","18.55951","18.70673","18.42149","18.4767","7241286",""
"WU","2015-04-08T00:00:00-04:00","2015-04-08","18.54111","18.96438","18.5319","18.92757","7457446",""
"WU","2015-04-09T00:00:00-04:00","2015-04-09","18.89997","19.03799","18.78035","18.97358","4840602",""
"WU","2015-04-10T00:00:00-04:00","2015-04-10","18.92757","19.03799","18.89997","18.97358","3214244",""
"WU","2015-04-13T00:00:00-04:00","2015-04-13","18.95518","19.05639","18.86316","18.86316","4819084",""
"WU","2015-04-14T00:00:00-04:00","2015-04-14","18.83555","19.04719","18.74354","19.00118","5147072",""
"WU","2015-04-15T00:00:00-04:00","2015-04-15","19.05639","19.17601","18.95518","19.13","5511468",""
"WU","2015-04-16T00:00:00-04:00","2015-04-16","19.06559","19.15761","18.95518","19.084","5199346",""
"WU","2015-04-17T00:00:00-04:00","2015-04-17","18.94597","19.02879","18.73434","18.98278","5722302",""
"WU","2015-04-20T00:00:00-04:00","2015-04-20","19.03799","19.17601","19.00118","19.07479","3766542",""
"WU","2015-04-21T00:00:00-04:00","2015-04-21","19.1116","19.22202","19.01039","19.04719","3678622",""
"WU","2015-04-22T00:00:00-04:00","2015-04-22","19.084","19.17601","18.97358","19.13921","4659545",""
"WU","2015-04-23T00:00:00-04:00","2015-04-23","19.13921","19.36924","19.084","19.29563","4047800",""
"WU","2015-04-24T00:00:00-04:00","2015-04-24","19.21282","19.24042","18.84476","18.94597","6850156",""
"WU","2015-04-27T00:00:00-04:00","2015-04-27","19.00118","19.00118","18.68833","18.74354","6006928",""
"WU","2015-04-28T00:00:00-04:00","2015-04-28","18.75274","18.83555","18.63312","18.83555","5456585",""
"WU","2015-04-29T00:00:00-04:00","2015-04-29","18.73434","18.89997","18.55031","18.76194","6710397",""
"WU","2015-04-30T00:00:00-04:00","2015-04-30","18.68833","19.04719","18.58711","18.66073","10917845",""
"WU","2015-05-01T00:00:00-04:00","2015-05-01","19.33244","20.21579","19.33244","19.55328","15956131",""
"WU","2015-05-04T00:00:00-04:00","2015-05-04","19.63609","19.76491","19.47046","19.48886","5216952",""
"WU","2015-05-05T00:00:00-04:00","2015-05-05","19.40605","19.41525","19.20362","19.27723","5502013",""
"WU","2015-05-06T00:00:00-04:00","2015-05-06","20.42742","21.01632","19.7005","20.10537","26993520",""
"WU","2015-05-07T00:00:00-04:00","2015-05-07","19.79252","20.05016","19.50727","19.96735","7987466",""
"WU","2015-05-08T00:00:00-04:00","2015-05-08","20.18818","20.2894","19.96735","20.17898","4872662",""
"WU","2015-05-11T00:00:00-04:00","2015-05-11","20.15137","20.2802","19.98575","20.02255","6893627",""
"WU","2015-05-12T00:00:00-04:00","2015-05-12","19.91214","20.04096","19.73731","20.01335","7560907",""
"WU","2015-05-13T00:00:00-04:00","2015-05-13","20.09617","20.2986","20.04096","20.12377","5874233",""
"WU","2015-05-14T00:00:00-04:00","2015-05-14","20.22499","20.22499","20.06856","20.20658","3695250",""
"WU","2015-05-15T00:00:00-04:00","2015-05-15","20.23419","20.271","19.87533","19.97655","6151143",""
"WU","2015-05-18T00:00:00-04:00","2015-05-18","19.96735","20.34461","19.93974","20.23419","6114953",""
"WU","2015-05-19T00:00:00-04:00","2015-05-19","20.2618","20.77708","20.19738","20.62986","10514325",""
"WU","2015-05-20T00:00:00-04:00","2015-05-20","20.37221","20.76788","20.35381","20.68506","7285083",""
"WU","2015-05-21T00:00:00-04:00","2015-05-21","20.63906","20.77708","20.61145","20.70347","5483863",""
"WU","2015-05-22T00:00:00-04:00","2015-05-22","20.65746","20.8783","20.56544","20.75868","4660088",""
"WU","2015-05-26T00:00:00-04:00","2015-05-26","20.62986","20.72187","20.39982","20.46423","4066057",""
"WU","2015-05-27T00:00:00-04:00","2015-05-27","20.43662","20.58385","20.36301","20.41822","6478371",""
"WU","2015-05-28T00:00:00-04:00","2015-05-28","20.36301","20.44583","20.01335","20.18818","7264978",""
"WU","2015-05-29T00:00:00-04:00","2015-05-29","20.41822","20.43662","20.09617","20.19738","5562546",""
"WU","2015-06-01T00:00:00-04:00","2015-06-01","20.21579","20.2894","20.02255","20.19738","4677260",""
"WU","2015-06-02T00:00:00-04:00","2015-06-02","20.22499","20.37221","20.16978","20.35381","4071817",""
"WU","2015-06-03T00:00:00-04:00","2015-06-03","20.36301","20.55624","20.33541","20.45503","3853593",""
"WU","2015-06-04T00:00:00-04:00","2015-06-04","20.2894","20.43662","20.10537","20.14217","2883430",""
"WU","2015-06-05T00:00:00-04:00","2015-06-05","20.14217","20.18818","19.95814","20.02255","3925972",""
"WU","2015-06-08T00:00:00-04:00","2015-06-08","20.02255","20.08697","19.77411","19.80172","4305365",""
"WU","2015-06-09T00:00:00-04:00","2015-06-09","19.84772","19.98575","19.72811","19.84772","4820062",""
"WU","2015-06-10T00:00:00-04:00","2015-06-10","19.83852","20.18818","19.80172","20.05936","4149087",""
"WU","2015-06-11T00:00:00-04:00","2015-06-11","20.08697","20.20658","20.02255","20.11457","4288846",""
"WU","2015-06-12T00:00:00-04:00","2015-06-12","19.98019","20.01726","19.84118","19.89679","5018532",""
"WU","2015-06-15T00:00:00-04:00","2015-06-15","19.72998","19.73924","19.50756","19.63731","6471498",""
"WU","2015-06-16T00:00:00-04:00","2015-06-16","19.64657","19.75778","19.5539","19.72998","3517763",""
"WU","2015-06-17T00:00:00-04:00","2015-06-17","19.80412","19.85045","19.57244","19.59097","3946369",""
"WU","2015-06-18T00:00:00-04:00","2015-06-18","19.63731","19.72998","19.5261","19.72071","6652242",""
"WU","2015-06-19T00:00:00-04:00","2015-06-19","19.69291","19.75778","19.56317","19.73924","6675010",""
"WU","2015-06-22T00:00:00-04:00","2015-06-22","19.88752","19.89679","19.73924","19.89679","2869135",""
"WU","2015-06-23T00:00:00-04:00","2015-06-23","19.89679","20.008","19.85045","19.85972","3720736",""
"WU","2015-06-24T00:00:00-04:00","2015-06-24","19.81338","19.86899","19.54463","19.59097","3468342",""
"WU","2015-06-25T00:00:00-04:00","2015-06-25","19.56317","19.60024","19.34076","19.34076","6187919",""
"WU","2015-06-26T00:00:00-04:00","2015-06-26","19.43343","19.46123","19.03493","19.09981","7010708",""
"WU","2015-06-29T00:00:00-04:00","2015-06-29","18.94226","19.18321","18.84959","18.86812","6576060",""
"WU","2015-06-30T00:00:00-04:00","2015-06-30","19.03493","19.09981","18.78472","18.84032","6035015",""
"WU","2015-07-01T00:00:00-04:00","2015-07-01","18.9886","19.0164","18.84959","18.89593","4797862",""
"WU","2015-07-02T00:00:00-04:00","2015-07-02","17.86726","18.16381","17.54291","17.59851","20521618",""
"WU","2015-07-06T00:00:00-04:00","2015-07-06","17.5151","17.60778","17.31123","17.56144","10482396",""
"WU","2015-07-07T00:00:00-04:00","2015-07-07","17.69118","17.8858","17.3761","17.70045","8149665",""
"WU","2015-07-08T00:00:00-04:00","2015-07-08","17.49657","17.61704","17.4595","17.46877","7256412",""
"WU","2015-07-09T00:00:00-04:00","2015-07-09","17.76532","17.86726","17.52437","17.52437","5181255",""
"WU","2015-07-10T00:00:00-04:00","2015-07-10","17.65411","17.73752","17.55218","17.63558","4295232",""
"WU","2015-07-13T00:00:00-04:00","2015-07-13","17.77459","17.77459","17.59851","17.69118","3795192",""
"WU","2015-07-14T00:00:00-04:00","2015-07-14","17.69118","17.82092","17.67265","17.76532","5199276",""
"WU","2015-07-15T00:00:00-04:00","2015-07-15","17.75605","17.78386","17.47804","17.57071","4544605",""
"WU","2015-07-16T00:00:00-04:00","2015-07-16","17.50584","17.9414","17.50584","17.85799","7502872",""
"WU","2015-07-17T00:00:00-04:00","2015-07-17","17.85799","17.9414","17.77459","17.79312","4849658",""
"WU","2015-07-20T00:00:00-04:00","2015-07-20","17.76532","17.92286","17.73752","17.79312","3483773",""
"WU","2015-07-21T00:00:00-04:00","2015-07-21","17.78386","17.85799","17.64485","17.70045","3765949",""
"WU","2015-07-22T00:00:00-04:00","2015-07-22","17.72825","17.90433","17.68192","17.70972","3464673",""
"WU","2015-07-23T00:00:00-04:00","2015-07-23","17.70972","17.74679","17.47804","17.5151","3556933",""
"WU","2015-07-24T00:00:00-04:00","2015-07-24","17.52437","17.62631","17.24636","17.28342","3057109",""
"WU","2015-07-27T00:00:00-04:00","2015-07-27","17.22782","17.25562","16.98687","17.01468","3687177",""
"WU","2015-07-28T00:00:00-04:00","2015-07-28","17.11661","17.32976","16.82933","17.27416","11897702",""
"WU","2015-07-29T00:00:00-04:00","2015-07-29","17.28342","17.65411","17.25562","17.64485","6084436",""
"WU","2015-07-30T00:00:00-04:00","2015-07-30","17.56144","17.76532","17.35756","17.62631","7869647",""
"WU","2015-07-31T00:00:00-04:00","2015-07-31","18.67351","18.97933","18.35843","18.75692","16961124",""
"WU","2015-08-03T00:00:00-04:00","2015-08-03","18.77545","18.78472","18.44183","18.73838","8016184",""
"WU","2015-08-04T00:00:00-04:00","2015-08-04","18.84959","18.97933","18.56231","18.69205","6770076",""
"WU","2015-08-05T00:00:00-04:00","2015-08-05","18.87739","19.06274","18.80325","18.84032","6081415",""
"WU","2015-08-06T00:00:00-04:00","2015-08-06","18.84959","19.0442","18.80325","18.87739","10481101",""
"WU","2015-08-07T00:00:00-04:00","2015-08-07","18.83105","18.94226","18.76618","18.90519","7059482",""
"WU","2015-08-10T00:00:00-04:00","2015-08-10","19.00713","19.10907","18.97933","19.0442","4895950",""
"WU","2015-08-11T00:00:00-04:00","2015-08-11","18.90519","19.02567","18.81252","18.90519","4773475",""
"WU","2015-08-12T00:00:00-04:00","2015-08-12","18.75692","18.99787","18.63644","18.92373","6053790",""
"WU","2015-08-13T00:00:00-04:00","2015-08-13","18.91446","18.99787","18.84959","18.88666","2810757",""
"WU","2015-08-14T00:00:00-04:00","2015-08-14","18.82179","18.97933","18.76618","18.85886","3553480",""
"WU","2015-08-17T00:00:00-04:00","2015-08-17","18.82179","18.94226","18.72911","18.92373","2518438",""
"WU","2015-08-18T00:00:00-04:00","2015-08-18","18.95153","19.09054","18.83105","18.88666","3411907",""
"WU","2015-08-19T00:00:00-04:00","2015-08-19","18.75692","18.78472","18.39549","18.48817","5298442",""
"WU","2015-08-20T00:00:00-04:00","2015-08-20","18.32136","18.43256","18.04334","18.06187","6380748",""
