symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"WYN","2015-01-02T00:00:00-05:00","2015-01-02","80.60258","80.60258","78.59359","79.78964","655704",""
"WYN","2015-01-05T00:00:00-05:00","2015-01-05","79.39719","79.63079","78.07032","78.35064","928924",""
"WYN","2015-01-06T00:00:00-05:00","2015-01-06","78.54687","78.59359","76.8182","77.41623","1613096",""
"WYN","2015-01-07T00:00:00-05:00","2015-01-07","78.33195","78.91129","77.68721","78.86457","808527",""
"WYN","2015-01-08T00:00:00-05:00","2015-01-08","79.59341","80.95766","79.51866","80.92028","1183843",""
"WYN","2015-01-09T00:00:00-05:00","2015-01-09","80.87357","80.92028","79.47194","80.02324","800073",""
"WYN","2015-01-12T00:00:00-05:00","2015-01-12","80.46242","80.50914","79.4439","79.82702","811417",""
"WYN","2015-01-13T00:00:00-05:00","2015-01-13","80.31291","81.40618","78.92998","79.45325","825864",""
"WYN","2015-01-14T00:00:00-05:00","2015-01-14","78.82719","79.26637","78.16376","79.01408","1162439",""
"WYN","2015-01-15T00:00:00-05:00","2015-01-15","79.24767","79.8644","78.40671","78.58424","761118",""
"WYN","2015-01-16T00:00:00-05:00","2015-01-16","78.35999","79.48128","77.99557","79.43456","771285",""
"WYN","2015-01-20T00:00:00-05:00","2015-01-20","79.71488","80.14471","78.44408","79.33178","717026",""
"WYN","2015-01-21T00:00:00-05:00","2015-01-21","79.07014","79.96718","78.7244","79.26637","613111",""
"WYN","2015-01-22T00:00:00-05:00","2015-01-22","79.62144","82.36862","79.62144","82.19109","1208029",""
"WYN","2015-01-23T00:00:00-05:00","2015-01-23","82.31255","82.61157","81.4529","81.50896","998058",""
"WYN","2015-01-26T00:00:00-05:00","2015-01-26","81.6024","81.9201","80.9016","81.53699","991209",""
"WYN","2015-01-27T00:00:00-05:00","2015-01-27","80.63996","81.49962","80.13538","80.87357","636976",""
"WYN","2015-01-28T00:00:00-05:00","2015-01-28","81.20061","81.23798","79.13555","79.27571","866746",""
"WYN","2015-01-29T00:00:00-05:00","2015-01-29","79.28506","80.21947","78.68703","79.94849","697656",""
"WYN","2015-01-30T00:00:00-05:00","2015-01-30","79.07948","79.2944","78.21048","78.29458","1065052",""
"WYN","2015-02-02T00:00:00-05:00","2015-02-02","77.92081","77.92081","74.33266","76.60329","2978229",""
"WYN","2015-02-03T00:00:00-05:00","2015-02-03","76.74345","78.13573","76.62197","77.96754","1549633",""
"WYN","2015-02-04T00:00:00-05:00","2015-02-04","77.66852","78.32261","76.93967","77.34147","1239064",""
"WYN","2015-02-05T00:00:00-05:00","2015-02-05","77.67786","78.36933","77.31344","78.00491","770108",""
