symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"WYNN","2015-01-02T00:00:00-05:00","2015-01-02","139.6143","140.3006","133.6442","138.1006","2370652",""
"WYNN","2015-01-05T00:00:00-05:00","2015-01-05","136.8596","137.4237","133.3528","135.7502","1813408",""
"WYNN","2015-01-06T00:00:00-05:00","2015-01-06","134.9134","135.7032","130.9271","132.8545","2111548",""
"WYNN","2015-01-07T00:00:00-05:00","2015-01-07","135.5903","138.4014","134.6784","136.7562","1565579",""
"WYNN","2015-01-08T00:00:00-05:00","2015-01-08","138.204","140.1125","137.6305","138.4014","1791284",""
"WYNN","2015-01-09T00:00:00-05:00","2015-01-09","141.0715","142.5476","139.8023","140.1313","2350761",""
"WYNN","2015-01-12T00:00:00-05:00","2015-01-12","140.5544","140.5544","137.9784","139.5766","1329875",""
"WYNN","2015-01-13T00:00:00-05:00","2015-01-13","141.2313","144.3433","139.2476","140.8459","1731295",""
"WYNN","2015-01-14T00:00:00-05:00","2015-01-14","138.9091","140.3946","136.7092","139.7083","1466553",""
"WYNN","2015-01-15T00:00:00-05:00","2015-01-15","140.4604","141.9647","138.4297","138.8151","1131611",""
"WYNN","2015-01-16T00:00:00-05:00","2015-01-16","136.6151","139.0219","135.7408","138.1946","1018652",""
"WYNN","2015-01-20T00:00:00-05:00","2015-01-20","138.1758","138.1946","129.846","133.5314","2687618",""
"WYNN","2015-01-21T00:00:00-05:00","2015-01-21","130.6169","135.3083","130.6169","134.3399","1708320",""
"WYNN","2015-01-22T00:00:00-05:00","2015-01-22","135.5057","138.8151","135.1391","138.4202","1499101",""
"WYNN","2015-01-23T00:00:00-05:00","2015-01-23","137.7715","138.6459","136.1545","137.2732","1026098",""
"WYNN","2015-01-26T00:00:00-05:00","2015-01-26","138.0536","147.333","138.0536","146.5056","2751756",""
"WYNN","2015-01-27T00:00:00-05:00","2015-01-27","146.4774","148.3108","143.939","145.7629","1850316",""
"WYNN","2015-01-28T00:00:00-05:00","2015-01-28","147.0885","147.3706","143.6382","144.2963","1851380",""
"WYNN","2015-01-29T00:00:00-05:00","2015-01-29","144.9638","147.8219","140.639","143.8168","1508780",""
"WYNN","2015-01-30T00:00:00-05:00","2015-01-30","141.8612","142.2749","138.8245","139.0972","1848721",""
"WYNN","2015-02-02T00:00:00-05:00","2015-02-02","139.351","140.8271","136.7374","140.7801","1288393",""
"WYNN","2015-02-03T00:00:00-05:00","2015-02-03","140.686","147.5492","139.2382","146.4774","2538707",""
"WYNN","2015-02-04T00:00:00-05:00","2015-02-04","142.7732","145.6313","135.5621","137.3673","5114643",""
"WYNN","2015-02-05T00:00:00-05:00","2015-02-05","137.7433","139.3322","135.8066","137.8562","1871908",""
"WYNN","2015-02-06T00:00:00-05:00","2015-02-06","139.8869","139.9809","136.8784","137.4895","1557708",""
"WYNN","2015-02-09T00:00:00-05:00","2015-02-09","137.01","140.6296","136.8032","139.5672","1378058",""
"WYNN","2015-02-10T00:00:00-05:00","2015-02-10","142.1809","147.0228","141.7578","145.3963","2504671",""
"WYNN","2015-02-11T00:00:00-05:00","2015-02-11","145.5482","145.738","142.8804","143.583","1186574",""
"WYNN","2015-02-12T00:00:00-05:00","2015-02-12","144.2","147.1431","143.0133","146.8868","2729805",""
"WYNN","2015-02-13T00:00:00-05:00","2015-02-13","147.6083","152.2887","146.8963","151.2729","2268764",""
"WYNN","2015-02-17T00:00:00-05:00","2015-02-17","150.6748","151.1495","146.9817","149.0513","1907367",""
"WYNN","2015-02-18T00:00:00-05:00","2015-02-18","149.8963","151.9469","148.9754","150.4944","1351209",""
"WYNN","2015-02-19T00:00:00-05:00","2015-02-19","150.6937","151.6431","149.4311","150.5419","930826",""
"WYNN","2015-02-20T00:00:00-05:00","2015-02-20","150.2475","150.4659","148.3393","150.4469","970010",""
"WYNN","2015-02-23T00:00:00-05:00","2015-02-23","147.1526","148.5007","145.1589","146.5165","2445933",""
"WYNN","2015-02-24T00:00:00-05:00","2015-02-24","142.6241","142.6621","139.4152","139.5576","2919826",""
"WYNN","2015-02-25T00:00:00-05:00","2015-02-25","138.1146","138.1146","133.8234","135.8076","3813575",""
"WYNN","2015-02-26T00:00:00-05:00","2015-02-26","135.8076","138.3899","135.0671","135.5418","1954872",""
"WYNN","2015-02-27T00:00:00-05:00","2015-02-27","136.1684","136.8329","134.4215","135.2854","1180254",""
"WYNN","2015-03-02T00:00:00-05:00","2015-03-02","135.2854","138.0386","135.1051","135.219","1508050",""
"WYNN","2015-03-03T00:00:00-05:00","2015-03-03","134.8962","137.431","132.5418","132.9785","2260969",""
"WYNN","2015-03-04T00:00:00-05:00","2015-03-04","131.6684","131.9626","128.5924","131.7918","3006199",""
"WYNN","2015-03-05T00:00:00-05:00","2015-03-05","131.2601","132.2","129.836","131.9626","2218309",""
"WYNN","2015-03-06T00:00:00-05:00","2015-03-06","130.662","131.0797","129.143","130.0639","3003671",""
"WYNN","2015-03-09T00:00:00-04:00","2015-03-09","128.6398","129.2854","124.9658","126.1145","5695135",""
"WYNN","2015-03-10T00:00:00-04:00","2015-03-10","124.3582","125.7538","122.9246","122.9531","3886360",""
"WYNN","2015-03-11T00:00:00-04:00","2015-03-11","122.9246","123.2379","119.7822","120.2189","3297549",""
"WYNN","2015-03-12T00:00:00-04:00","2015-03-12","121.4436","123.067","118.7854","119.9246","2573807",""
"WYNN","2015-03-13T00:00:00-04:00","2015-03-13","119.0417","121.6525","118.1113","120.6366","2752557",""
"WYNN","2015-03-16T00:00:00-04:00","2015-03-16","118.8233","121.0069","116.298","119.279","4564177",""
"WYNN","2015-03-17T00:00:00-04:00","2015-03-17","119.6208","121.4721","118.1113","118.2727","2622998",""
"WYNN","2015-03-18T00:00:00-04:00","2015-03-18","117.3803","117.855","115.3771","116.6968","5004995",""
"WYNN","2015-03-19T00:00:00-04:00","2015-03-19","118.6809","123.798","118.1778","123.5227","3775128",""
"WYNN","2015-03-20T00:00:00-04:00","2015-03-20","125.2601","126.5038","123.162","123.3993","2550002",""
"WYNN","2015-03-23T00:00:00-04:00","2015-03-23","123.105","129.4563","121.1493","125.355","3449334",""
"WYNN","2015-03-24T00:00:00-04:00","2015-03-24","125.431","125.5639","122.412","122.9436","2320061",""
"WYNN","2015-03-25T00:00:00-04:00","2015-03-25","123.4278","123.4563","121.1018","122.6778","1657622",""
"WYNN","2015-03-26T00:00:00-04:00","2015-03-26","121.4436","122.0227","119.8582","120.4373","2010803",""
"WYNN","2015-03-27T00:00:00-04:00","2015-03-27","120.5702","120.6082","119.4594","119.8582","1028575",""
"WYNN","2015-03-30T00:00:00-04:00","2015-03-30","120.2949","121.6715","119.3075","121.0069","1222176",""
"WYNN","2015-03-31T00:00:00-04:00","2015-03-31","120.2094","123.2664","119.4309","119.5069","1434738",""
"WYNN","2015-04-01T00:00:00-04:00","2015-04-01","119.7253","120.6177","117.4278","119.1746","1802666",""
"WYNN","2015-04-02T00:00:00-04:00","2015-04-02","119.355","123.0006","118.6714","122.8487","1417990",""
"WYNN","2015-04-06T00:00:00-04:00","2015-04-06","121.4626","125.355","120.9689","124.1019","2163220",""
"WYNN","2015-04-07T00:00:00-04:00","2015-04-07","124.1113","124.9278","121.4056","121.4056","1698281",""
"WYNN","2015-04-08T00:00:00-04:00","2015-04-08","123.2759","124.8993","121.3677","122.7348","1755477",""
"WYNN","2015-04-09T00:00:00-04:00","2015-04-09","125.6588","129.9974","125.3645","129.7126","2705895",""
"WYNN","2015-04-10T00:00:00-04:00","2015-04-10","129.4373","129.4468","126.5892","129.1335","1868920",""
"WYNN","2015-04-13T00:00:00-04:00","2015-04-13","128.1652","128.6304","126.5892","126.8361","2089487",""
"WYNN","2015-04-14T00:00:00-04:00","2015-04-14","123.7411","124.6335","120.2759","121.0734","3306924",""
"WYNN","2015-04-15T00:00:00-04:00","2015-04-15","120.5607","123.6651","119.2411","123.4373","2321957",""
"WYNN","2015-04-16T00:00:00-04:00","2015-04-16","123.4753","124.2443","120.7601","120.9025","1408300",""
"WYNN","2015-04-17T00:00:00-04:00","2015-04-17","119.7158","121.6999","118.2063","119.1461","1615173",""
"WYNN","2015-04-20T00:00:00-04:00","2015-04-20","120.3328","123.5512","120.124","122.4215","1732830",""
"WYNN","2015-04-21T00:00:00-04:00","2015-04-21","122.9341","122.9911","120.0006","120.3518","1494672",""
"WYNN","2015-04-22T00:00:00-04:00","2015-04-22","120.9784","123.3518","119.3455","122.5354","1670473",""
"WYNN","2015-04-23T00:00:00-04:00","2015-04-23","120.4942","122.9911","119.7632","121.5955","1425679",""
"WYNN","2015-04-24T00:00:00-04:00","2015-04-24","122.8392","124.6525","122.374","123.5037","1284428",""
"WYNN","2015-04-27T00:00:00-04:00","2015-04-27","123.9405","124.3772","122.0417","122.3075","1427997",""
"WYNN","2015-04-28T00:00:00-04:00","2015-04-28","122.0322","125.317","121.1588","123.874","4177921",""
"WYNN","2015-04-29T00:00:00-04:00","2015-04-29","110.317","111.1239","102.7885","103.2631","16531041",""
"WYNN","2015-04-30T00:00:00-04:00","2015-04-30","103.0923","106.1018","102.8359","105.4467","5737795",""
"WYNN","2015-05-01T00:00:00-04:00","2015-05-01","105.9878","107.5733","104.4309","107.0037","2588870",""
"WYNN","2015-05-04T00:00:00-04:00","2015-05-04","107.5448","112.9088","107.4214","111.2474","4873750",""
