symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"XL","2015-01-02T00:00:00-05:00","2015-01-02","32.54139","32.71117","32.1641","32.49423","2060900",""
"XL","2015-01-05T00:00:00-05:00","2015-01-05","32.29615","32.7489","32.05091","32.69231","4670659",""
"XL","2015-01-06T00:00:00-05:00","2015-01-06","32.68287","33.03187","32.56968","32.85266","6855177",""
"XL","2015-01-07T00:00:00-05:00","2015-01-07","32.83379","33.07903","32.60741","32.87152","4072395",""
"XL","2015-01-08T00:00:00-05:00","2015-01-08","33.12619","33.58838","33.12619","33.40916","3125435",""
"XL","2015-01-09T00:00:00-05:00","2015-01-09","33.20165","34.27693","33.16392","33.84304","13683532",""
"XL","2015-01-12T00:00:00-05:00","2015-01-12","33.68269","33.73929","33.21108","33.52235","4885029",""
"XL","2015-01-13T00:00:00-05:00","2015-01-13","33.71099","34.04112","33.28654","33.56008","7749658",""
"XL","2015-01-14T00:00:00-05:00","2015-01-14","33.24881","33.34313","32.79606","33.25824","3337790",""
"XL","2015-01-15T00:00:00-05:00","2015-01-15","33.16392","33.26767","32.86209","33.06017","2519961",""
"XL","2015-01-16T00:00:00-05:00","2015-01-16","33.07903","33.53178","32.93754","33.51291","2400372",""
"XL","2015-01-20T00:00:00-05:00","2015-01-20","33.54121","33.6261","32.80549","32.96584","2842258",""
"XL","2015-01-21T00:00:00-05:00","2015-01-21","32.97527","33.06017","32.70174","32.88095","1895192",""
"XL","2015-01-22T00:00:00-05:00","2015-01-22","33.09789","33.82418","32.89982","33.76759","2049238",""
"XL","2015-01-23T00:00:00-05:00","2015-01-23","33.75816","33.78645","33.40916","33.41859","1226425",""
"XL","2015-01-26T00:00:00-05:00","2015-01-26","33.42802","33.63553","33.28654","33.61667","1119028",""
"XL","2015-01-27T00:00:00-05:00","2015-01-27","33.51291","33.76759","33.34313","33.64497","1840699",""
"XL","2015-01-28T00:00:00-05:00","2015-01-28","33.72985","33.75816","32.97527","32.99414","3097764",""
"XL","2015-01-29T00:00:00-05:00","2015-01-29","32.93754","33.12619","32.62628","33.02243","2247705",""
"XL","2015-01-30T00:00:00-05:00","2015-01-30","32.67344","32.96584","32.44707","32.53196","3385393",""
"XL","2015-02-02T00:00:00-05:00","2015-02-02","32.60741","33.21108","32.26785","33.21108","3251597",""
"XL","2015-02-03T00:00:00-05:00","2015-02-03","33.6261","33.87134","32.80549","33.14505","3821554",""
"XL","2015-02-04T00:00:00-05:00","2015-02-04","32.96584","33.67326","32.95641","33.58838","3409353",""
"XL","2015-02-05T00:00:00-05:00","2015-02-05","33.63553","33.98453","33.53178","33.96566","2229364",""
"XL","2015-02-06T00:00:00-05:00","2015-02-06","34.06942","34.12601","33.67326","33.76759","2718110",""
"XL","2015-02-09T00:00:00-05:00","2015-02-09","33.71099","33.73929","33.29597","33.67326","1640217",""
"XL","2015-02-10T00:00:00-05:00","2015-02-10","33.6544","33.75816","33.40916","33.72042","2016584",""
"XL","2015-02-11T00:00:00-05:00","2015-02-11","33.47519","33.82418","33.42802","33.69213","1853845",""
"XL","2015-02-12T00:00:00-05:00","2015-02-12","33.69213","33.80532","33.45632","33.77702","2300926",""
"XL","2015-02-13T00:00:00-05:00","2015-02-13","33.71099","33.81475","33.50348","33.71099","1316965",""
"XL","2015-02-17T00:00:00-05:00","2015-02-17","33.82418","33.82418","33.55064","33.6544","2373867",""
"XL","2015-02-18T00:00:00-05:00","2015-02-18","33.6544","33.6544","33.29597","33.53178","2194165",""
"XL","2015-02-19T00:00:00-05:00","2015-02-19","33.41859","33.51291","33.13562","33.27711","3104549",""
"XL","2015-02-20T00:00:00-05:00","2015-02-20","33.18279","33.39973","32.83379","33.34313","2890391",""
"XL","2015-02-23T00:00:00-05:00","2015-02-23","33.27711","33.3054","33.09789","33.23938","2603398",""
"XL","2015-02-24T00:00:00-05:00","2015-02-24","33.24881","33.72985","33.22995","33.66383","2094508",""
"XL","2015-02-25T00:00:00-05:00","2015-02-25","33.57894","33.76759","33.57894","33.63553","2817768",""
"XL","2015-02-26T00:00:00-05:00","2015-02-26","33.50348","33.9751","33.45632","33.85247","2408111",""
"XL","2015-02-27T00:00:00-05:00","2015-02-27","33.76759","34.2392","33.75816","34.14488","4429042",""
"XL","2015-03-02T00:00:00-05:00","2015-03-02","34.05055","34.48444","34.00339","34.46558","4127525",""
"XL","2015-03-03T00:00:00-05:00","2015-03-03","34.10715","34.44671","34.00339","34.16374","3340547",""
"XL","2015-03-04T00:00:00-05:00","2015-03-04","34.05999","34.58819","34.03169","34.56933","6988443",""
"XL","2015-03-05T00:00:00-05:00","2015-03-05","34.58819","34.65422","34.39012","34.62592","3627858",""
"XL","2015-03-06T00:00:00-05:00","2015-03-06","34.47501","34.76741","34.36182","34.57876","5492623",""
"XL","2015-03-09T00:00:00-04:00","2015-03-09","34.46558","34.5599","34.28636","34.36182","2880637",""
"XL","2015-03-10T00:00:00-04:00","2015-03-10","33.95623","33.98453","33.6261","33.64497","4462226",""
"XL","2015-03-11T00:00:00-04:00","2015-03-11","33.58812","33.87236","33.5218","33.72076","2738425",""
"XL","2015-03-12T00:00:00-04:00","2015-03-12","33.94816","34.32715","33.93869","34.29873","2107382",""
"XL","2015-03-13T00:00:00-04:00","2015-03-13","34.18503","34.32715","34.01448","34.28925","2157726",""
"XL","2015-03-16T00:00:00-04:00","2015-03-16","34.4219","34.91459","34.41243","34.84826","2050178",""
"XL","2015-03-17T00:00:00-04:00","2015-03-17","34.63034","34.99986","34.51665","34.89564","1896084",""
"XL","2015-03-18T00:00:00-04:00","2015-03-18","34.87669","35.07566","34.65877","34.99039","3858134",""
"XL","2015-03-19T00:00:00-04:00","2015-03-19","35.02829","35.09461","34.67772","34.72509","2191289",""
"XL","2015-03-20T00:00:00-04:00","2015-03-20","34.82932","35.11356","34.70614","35.07566","2923865",""
"XL","2015-03-23T00:00:00-04:00","2015-03-23","35.16093","35.26516","35.02829","35.13251","1518134",""
"XL","2015-03-24T00:00:00-04:00","2015-03-24","35.03776","35.26516","35.01881","35.24621","2565546",""
"XL","2015-03-25T00:00:00-04:00","2015-03-25","35.27463","35.30305","35.00934","35.05671","3556914",""
"XL","2015-03-26T00:00:00-04:00","2015-03-26","34.92406","35.01881","34.89564","34.89564","2704546",""
"XL","2015-03-27T00:00:00-04:00","2015-03-27","34.83879","35.02829","34.72509","34.97144","2436361",""
"XL","2015-03-30T00:00:00-04:00","2015-03-30","35.01881","35.48308","35.01881","35.36938","1642042",""
"XL","2015-03-31T00:00:00-04:00","2015-03-31","35.12303","35.17041","34.86721","34.86721","3077114",""
"XL","2015-04-01T00:00:00-04:00","2015-04-01","34.95249","35.13251","34.73457","34.95249","1978197",""
"XL","2015-04-02T00:00:00-04:00","2015-04-02","34.94301","35.15145","34.88616","35.13251","1750118",""
"XL","2015-04-06T00:00:00-04:00","2015-04-06","34.97144","35.38832","34.92406","35.34095","1070631",""
"XL","2015-04-07T00:00:00-04:00","2015-04-07","35.60625","35.77679","35.36938","35.37885","2417363",""
"XL","2015-04-08T00:00:00-04:00","2015-04-08","35.4736","35.92839","35.46413","35.69152","2462324",""
"XL","2015-04-09T00:00:00-04:00","2015-04-09","35.85259","36.07051","35.77679","35.92839","2983919",""
"XL","2015-04-10T00:00:00-04:00","2015-04-10","35.71994","35.91891","35.71994","35.87154","1369951",""
"XL","2015-04-13T00:00:00-04:00","2015-04-13","35.74837","36.06104","35.701","35.97577","1592542",""
"XL","2015-04-14T00:00:00-04:00","2015-04-14","35.82417","36.06104","35.75785","36.03261","2074664",""
"XL","2015-04-15T00:00:00-04:00","2015-04-15","36.03261","36.25053","35.99472","36.00419","1915927",""
"XL","2015-04-16T00:00:00-04:00","2015-04-16","35.82417","35.99472","35.79574","35.82417","1619983",""
"XL","2015-04-17T00:00:00-04:00","2015-04-17","35.57782","35.59677","35.23673","35.34095","1819143",""
"XL","2015-04-20T00:00:00-04:00","2015-04-20","35.322","35.68204","35.25568","35.56835","1905900",""
"XL","2015-04-21T00:00:00-04:00","2015-04-21","35.46413","35.53992","35.07566","35.322","2612512",""
"XL","2015-04-22T00:00:00-04:00","2015-04-22","34.98091","35.34095","34.89564","35.16093","4672717",""
"XL","2015-04-23T00:00:00-04:00","2015-04-23","34.96196","35.80522","34.96196","35.7389","4605908",""
"XL","2015-04-24T00:00:00-04:00","2015-04-24","35.91891","35.96629","35.64415","35.80522","2740114",""
"XL","2015-04-27T00:00:00-04:00","2015-04-27","35.89997","36.11789","35.81469","35.82417","4974465",""
"XL","2015-04-28T00:00:00-04:00","2015-04-28","35.77679","36.20316","35.44518","35.44518","16447970",""
"XL","2015-04-29T00:00:00-04:00","2015-04-29","35.35043","35.5115","34.85774","35.06618","4353871",""
"XL","2015-04-30T00:00:00-04:00","2015-04-30","35.60625","35.60625","34.61139","35.13251","6164044",""
"XL","2015-05-01T00:00:00-04:00","2015-05-01","35.23673","35.38832","34.93354","35.04724","3177591",""
