symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"XLNX","2015-01-02T00:00:00-05:00","2015-01-02","40.48016","40.87091","40.10801","40.56389","2582214",""
"XLNX","2015-01-05T00:00:00-05:00","2015-01-05","40.45224","40.53598","39.78238","39.8103","2806427",""
"XLNX","2015-01-06T00:00:00-05:00","2015-01-06","39.84751","39.93124","39.0474","39.24277","3687157",""
"XLNX","2015-01-07T00:00:00-05:00","2015-01-07","39.53119","39.65213","39.14043","39.25208","2268573",""
"XLNX","2015-01-08T00:00:00-05:00","2015-01-08","39.61492","40.31269","39.49397","40.12662","3035584",""
"XLNX","2015-01-09T00:00:00-05:00","2015-01-09","40.14523","40.3313","39.74517","40.09871","1560678",""
"XLNX","2015-01-12T00:00:00-05:00","2015-01-12","40.09871","40.17314","39.3079","39.51258","2752469",""
"XLNX","2015-01-13T00:00:00-05:00","2015-01-13","39.87542","40.25687","38.50778","38.93575","5198070",""
"XLNX","2015-01-14T00:00:00-05:00","2015-01-14","37.51229","38.68456","37.25179","38.48917","6610850",""
"XLNX","2015-01-15T00:00:00-05:00","2015-01-15","38.51709","39.01948","38.10773","38.18216","4493400",""
"XLNX","2015-01-16T00:00:00-05:00","2015-01-16","37.90305","38.48917","37.66115","38.34962","4562513",""
"XLNX","2015-01-20T00:00:00-05:00","2015-01-20","38.56361","38.94506","38.12634","38.20076","4109465",""
"XLNX","2015-01-21T00:00:00-05:00","2015-01-21","37.96817","38.73107","37.94026","38.61943","5938318",""
"XLNX","2015-01-22T00:00:00-05:00","2015-01-22","35.45619","37.06572","34.60025","36.247","21999336",""
"XLNX","2015-01-23T00:00:00-05:00","2015-01-23","36.19118","36.66566","36.08884","36.54471","4617760",""
"XLNX","2015-01-26T00:00:00-05:00","2015-01-26","35.69808","36.52611","35.69808","36.27491","4467496",""
"XLNX","2015-01-27T00:00:00-05:00","2015-01-27","35.88416","36.80522","35.88416","36.69357","5086609",""
"XLNX","2015-01-28T00:00:00-05:00","2015-01-28","36.79591","37.25179","36.06092","36.07023","4837889",""
"XLNX","2015-01-29T00:00:00-05:00","2015-01-29","36.05162","36.62845","35.82833","36.27491","3241095",""
"XLNX","2015-01-30T00:00:00-05:00","2015-01-30","35.88416","36.34003","35.84694","35.89346","4829075",""
"XLNX","2015-02-02T00:00:00-05:00","2015-02-02","35.97783","36.47466","35.68723","36.39967","4977326",""
"XLNX","2015-02-03T00:00:00-05:00","2015-02-03","36.22155","37.05585","36.22155","36.84962","3052450",""
"XLNX","2015-02-04T00:00:00-05:00","2015-02-04","36.80275","37.6183","36.54965","37.34645","4155168",""
"XLNX","2015-02-05T00:00:00-05:00","2015-02-05","37.37457","37.48706","36.69026","37.08397","3817323",""
"XLNX","2015-02-06T00:00:00-05:00","2015-02-06","37.27145","37.49643","36.83087","36.93399","2986310",""
"XLNX","2015-02-09T00:00:00-05:00","2015-02-09","36.88712","37.15897","36.77463","37.0371","2954414",""
"XLNX","2015-02-10T00:00:00-05:00","2015-02-10","37.31833","37.67454","36.99961","37.64642","2147404",""
"XLNX","2015-02-11T00:00:00-05:00","2015-02-11","37.55268","37.63705","37.25271","37.43082","2378573",""
"XLNX","2015-02-12T00:00:00-05:00","2015-02-12","37.55268","38.45259","37.46831","38.43385","3577407",""
"XLNX","2015-02-13T00:00:00-05:00","2015-02-13","38.42447","38.96817","38.29323","38.91192","3633625",""
"XLNX","2015-02-17T00:00:00-05:00","2015-02-17","38.89318","39.30564","38.70569","39.29626","3554471",""
"XLNX","2015-02-18T00:00:00-05:00","2015-02-18","39.16502","39.24939","38.8463","39.04316","2746287",""
"XLNX","2015-02-19T00:00:00-05:00","2015-02-19","39.0994","39.0994","38.89318","39.00566","1781396",""
"XLNX","2015-02-20T00:00:00-05:00","2015-02-20","38.8463","39.15565","38.61195","39.06191","2246720",""
"XLNX","2015-02-23T00:00:00-05:00","2015-02-23","39.07129","39.10878","38.49946","38.70569","1601539",""
"XLNX","2015-02-24T00:00:00-05:00","2015-02-24","38.6682","39.86808","38.5932","39.82121","3874715",""
"XLNX","2015-02-25T00:00:00-05:00","2015-02-25","39.56811","39.73684","39.30564","39.41813","1807105",""
"XLNX","2015-02-26T00:00:00-05:00","2015-02-26","39.57749","39.69935","39.11815","39.21189","2301659",""
"XLNX","2015-02-27T00:00:00-05:00","2015-02-27","39.34313","39.79309","39.21189","39.7181","2996231",""
"XLNX","2015-03-02T00:00:00-05:00","2015-03-02","39.65248","40.08369","39.24939","39.47437","4485440",""
"XLNX","2015-03-03T00:00:00-05:00","2015-03-03","39.33376","39.47437","38.90255","39.00566","3666055",""
"XLNX","2015-03-04T00:00:00-05:00","2015-03-04","38.87443","39.22127","38.22761","38.48071","5709023",""
"XLNX","2015-03-05T00:00:00-05:00","2015-03-05","38.71507","39.10878","38.48071","38.79006","3757050",""
"XLNX","2015-03-06T00:00:00-05:00","2015-03-06","38.49009","38.65882","37.93702","38.04013","3277538",""
"XLNX","2015-03-09T00:00:00-04:00","2015-03-09","38.09637","38.61195","38.04013","38.10575","3973071",""
"XLNX","2015-03-10T00:00:00-04:00","2015-03-10","38.02139","38.19012","37.15897","37.18708","5440731",""
"XLNX","2015-03-11T00:00:00-04:00","2015-03-11","37.39332","37.5433","36.88712","37.22458","5086564",""
"XLNX","2015-03-12T00:00:00-04:00","2015-03-12","37.34645","37.80578","37.02773","37.77766","3411631",""
"XLNX","2015-03-13T00:00:00-04:00","2015-03-13","37.79641","37.8714","37.00898","37.27145","4105457",""
"XLNX","2015-03-16T00:00:00-04:00","2015-03-16","37.80578","38.91192","37.80578","38.81818","5575463",""
"XLNX","2015-03-17T00:00:00-04:00","2015-03-17","38.64945","38.70569","38.087","38.4151","3258336",""
"XLNX","2015-03-18T00:00:00-04:00","2015-03-18","38.23699","39.11815","38.03076","38.99629","3148992",""
