symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"XRAY","2015-01-02T00:00:00-05:00","2015-01-02","51.3691","52.34464","51.12275","51.17202","1856092",""
"XRAY","2015-01-05T00:00:00-05:00","2015-01-05","51.18187","51.38881","50.54136","50.81727","1491469",""
"XRAY","2015-01-06T00:00:00-05:00","2015-01-06","50.83698","51.33953","50.17675","50.18661","2017751",""
"XRAY","2015-01-07T00:00:00-05:00","2015-01-07","50.61034","51.76326","50.18661","51.48734","973915",""
"XRAY","2015-01-08T00:00:00-05:00","2015-01-08","51.77311","53.02457","51.77311","52.75851","1433321",""
"XRAY","2015-01-09T00:00:00-05:00","2015-01-09","52.96545","53.02457","51.8618","51.9899","808196",""
"XRAY","2015-01-12T00:00:00-05:00","2015-01-12","52.09829","52.46289","51.42822","51.4972","723561",""
"XRAY","2015-01-13T00:00:00-05:00","2015-01-13","51.97019","52.38406","50.98479","51.33953","776838",""
"XRAY","2015-01-14T00:00:00-05:00","2015-01-14","50.85669","51.20158","50.18661","50.59063","819562",""
"XRAY","2015-01-15T00:00:00-05:00","2015-01-15","50.50194","50.51179","49.7826","49.85157","952604",""
"XRAY","2015-01-16T00:00:00-05:00","2015-01-16","49.71362","50.24574","49.71362","50.01909","914954",""
"XRAY","2015-01-20T00:00:00-05:00","2015-01-20","50.23588","50.28515","49.12238","49.56581","1153740",""
"XRAY","2015-01-21T00:00:00-05:00","2015-01-21","49.24062","49.66435","49.02383","49.40814","1088183",""
"XRAY","2015-01-22T00:00:00-05:00","2015-01-22","49.27019","50.19646","48.98442","50.13734","1431291",""
"XRAY","2015-01-23T00:00:00-05:00","2015-01-23","50.02895","50.48223","49.75304","50.14719","1022931",""
"XRAY","2015-01-26T00:00:00-05:00","2015-01-26","50.13734","50.17675","49.50668","50.00924","624109",""
"XRAY","2015-01-27T00:00:00-05:00","2015-01-27","49.81216","49.97968","49.20121","49.75304","490661",""
"XRAY","2015-01-28T00:00:00-05:00","2015-01-28","49.77274","50.14719","49.26033","49.26033","621978",""
"XRAY","2015-01-29T00:00:00-05:00","2015-01-29","49.38843","50.05851","48.9253","49.98953","829000",""
"XRAY","2015-01-30T00:00:00-05:00","2015-01-30","49.38843","49.76289","49.10267","49.29975","1386538",""
"XRAY","2015-02-02T00:00:00-05:00","2015-02-02","49.46727","49.99939","48.69865","49.76289","829609",""
"XRAY","2015-02-03T00:00:00-05:00","2015-02-03","49.85157","50.33442","49.61507","49.95997","767401",""
"XRAY","2015-02-04T00:00:00-05:00","2015-02-04","49.83187","50.39355","49.64464","49.9304","636388",""
"XRAY","2015-02-05T00:00:00-05:00","2015-02-05","50.14719","50.59063","49.99939","50.04866","892832",""
"XRAY","2015-02-06T00:00:00-05:00","2015-02-06","49.97968","50.2753","49.60522","49.79245","536531",""
"XRAY","2015-02-09T00:00:00-05:00","2015-02-09","49.46727","49.6742","49.09281","49.28004","636591",""
"XRAY","2015-02-10T00:00:00-05:00","2015-02-10","49.26033","50.30486","49.26033","50.25559","1939205",""
"XRAY","2015-02-11T00:00:00-05:00","2015-02-11","50.35413","50.82713","50.09792","50.80742","1392525",""
"XRAY","2015-02-12T00:00:00-05:00","2015-02-12","51.0242","51.68443","50.64975","51.65486","824433",""
"XRAY","2015-02-13T00:00:00-05:00","2015-02-13","51.8618","52.19683","51.50705","51.97019","983454",""
"XRAY","2015-02-17T00:00:00-05:00","2015-02-17","51.98005","52.2264","51.31983","51.88151","1487207",""
