symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"XRX","2015-01-02T00:00:00-05:00","2015-01-02","12.86559","12.99536","12.66167","12.74509","4220449",""
"XRX","2015-01-05T00:00:00-05:00","2015-01-05","12.64313","12.71728","12.36506","12.46702","7587314",""
"XRX","2015-01-06T00:00:00-05:00","2015-01-06","12.48555","12.50409","12.12406","12.30017","7735547",""
"XRX","2015-01-07T00:00:00-05:00","2015-01-07","12.35579","12.51336","12.26309","12.45775","5217735",""
"XRX","2015-01-08T00:00:00-05:00","2015-01-08","12.5319","12.80997","12.5319","12.80071","6721108",""
"XRX","2015-01-09T00:00:00-05:00","2015-01-09","12.80997","12.82851","12.52263","12.72655","8721829",""
"XRX","2015-01-12T00:00:00-05:00","2015-01-12","12.74509","12.74509","12.49482","12.59678","4675614",""
"XRX","2015-01-13T00:00:00-05:00","2015-01-13","12.67094","12.94901","12.49482","12.66167","6768685",""
"XRX","2015-01-14T00:00:00-05:00","2015-01-14","12.49482","12.73582","12.42994","12.71728","8196754",""
"XRX","2015-01-15T00:00:00-05:00","2015-01-15","12.72655","12.80071","12.40213","12.4114","6464558",""
"XRX","2015-01-16T00:00:00-05:00","2015-01-16","12.36506","12.61532","12.24456","12.60605","6275112",""
"XRX","2015-01-20T00:00:00-05:00","2015-01-20","12.60605","12.68021","12.37432","12.51336","5507405",""
"XRX","2015-01-21T00:00:00-05:00","2015-01-21","12.44848","12.59678","12.35579","12.58751","5301453",""
"XRX","2015-01-22T00:00:00-05:00","2015-01-22","12.6524","12.97682","12.57825","12.94901","5506434",""
"XRX","2015-01-23T00:00:00-05:00","2015-01-23","12.95828","13.11586","12.7729","12.79144","5734071",""
"XRX","2015-01-26T00:00:00-05:00","2015-01-26","12.80071","12.86559","12.59678","12.73582","5423255",""
"XRX","2015-01-27T00:00:00-05:00","2015-01-27","12.49482","12.69874","12.42994","12.57825","7350723",""
"XRX","2015-01-28T00:00:00-05:00","2015-01-28","12.69874","12.70801","12.26309","12.27236","8371312",""
"XRX","2015-01-29T00:00:00-05:00","2015-01-29","12.30017","12.63386","12.17967","12.56898","11263053",""
"XRX","2015-01-30T00:00:00-05:00","2015-01-30","12.28163","12.52263","11.99429","12.20748","19931156",""
"XRX","2015-02-02T00:00:00-05:00","2015-02-02","12.20748","12.43921","12.0499","12.40213","9646833",""
"XRX","2015-02-03T00:00:00-05:00","2015-02-03","12.54117","12.6524","12.34652","12.44848","11877888",""
"XRX","2015-02-04T00:00:00-05:00","2015-02-04","12.37432","12.54117","12.35579","12.42994","10223153",""
"XRX","2015-02-05T00:00:00-05:00","2015-02-05","12.46702","12.52263","12.38359","12.47628","7012720",""
"XRX","2015-02-06T00:00:00-05:00","2015-02-06","12.50409","12.54117","12.40213","12.44848","7287934",""
"XRX","2015-02-09T00:00:00-05:00","2015-02-09","12.40213","12.51336","12.37432","12.42067","6332291",""
"XRX","2015-02-10T00:00:00-05:00","2015-02-10","12.48555","12.52263","12.28163","12.50409","8580069",""
"XRX","2015-02-11T00:00:00-05:00","2015-02-11","12.5319","12.58751","12.4114","12.48555","5699440",""
"XRX","2015-02-12T00:00:00-05:00","2015-02-12","12.52263","12.63386","12.48555","12.57825","6805905",""
"XRX","2015-02-13T00:00:00-05:00","2015-02-13","12.58751","12.80071","12.58751","12.76363","7490433",""
"XRX","2015-02-17T00:00:00-05:00","2015-02-17","12.73582","12.74509","12.59678","12.68948","6101742",""
"XRX","2015-02-18T00:00:00-05:00","2015-02-18","12.68948","12.87486","12.60605","12.81924","4771092",""
"XRX","2015-02-19T00:00:00-05:00","2015-02-19","12.80071","12.91193","12.72655","12.74509","5235104",""
