symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"XYL","2015-01-02T00:00:00-05:00","2015-01-02","36.88678","37.06929","36.02225","36.5794","630964",""
"XYL","2015-01-05T00:00:00-05:00","2015-01-05","35.86855","35.9454","34.26436","34.30278","1426097",""
"XYL","2015-01-06T00:00:00-05:00","2015-01-06","34.29318","34.50451","33.72643","34.10106","1391015",""
"XYL","2015-01-07T00:00:00-05:00","2015-01-07","34.45648","34.58136","33.86091","34.37003","1081623",""
"XYL","2015-01-08T00:00:00-05:00","2015-01-08","34.59096","34.66781","34.27397","34.62939","855512",""
"XYL","2015-01-09T00:00:00-05:00","2015-01-09","34.65821","34.68702","33.92815","33.97618","787950",""
"XYL","2015-01-12T00:00:00-05:00","2015-01-12","33.94737","33.9954","33.0252","33.23653","1496783",""
"XYL","2015-01-13T00:00:00-05:00","2015-01-13","33.3518","33.79367","32.80426","33.31337","1187078",""
"XYL","2015-01-14T00:00:00-05:00","2015-01-14","32.6986","33.29416","32.59293","33.10204","666879",""
"XYL","2015-01-15T00:00:00-05:00","2015-01-15","33.26535","33.52471","32.85229","32.8715","1014789",""
"XYL","2015-01-16T00:00:00-05:00","2015-01-16","32.6986","33.13086","32.64096","33.11165","942438",""
"XYL","2015-01-20T00:00:00-05:00","2015-01-20","33.26535","33.3518","32.6986","33.04441","1011041",""
"XYL","2015-01-21T00:00:00-05:00","2015-01-21","32.90032","33.75525","32.90032","33.71682","956596",""
"XYL","2015-01-22T00:00:00-05:00","2015-01-22","33.92815","34.13948","33.58234","33.93776","910270",""
"XYL","2015-01-23T00:00:00-05:00","2015-01-23","33.91855","34.12027","33.78407","33.78407","621803",""
"XYL","2015-01-26T00:00:00-05:00","2015-01-26","33.73603","33.86091","33.45747","33.80328","719555",""
"XYL","2015-01-27T00:00:00-05:00","2015-01-27","33.23653","33.53431","33.06362","33.37101","688532",""
"XYL","2015-01-28T00:00:00-05:00","2015-01-28","33.52471","33.86091","32.82347","32.90992","835004",""
"XYL","2015-01-29T00:00:00-05:00","2015-01-29","32.89072","33.01559","32.2183","32.81387","2039781",""
"XYL","2015-01-30T00:00:00-05:00","2015-01-30","32.58332","33.04441","32.57372","32.75623","1700511",""
"XYL","2015-02-02T00:00:00-05:00","2015-02-02","32.90032","33.43826","32.47766","33.37101","1618166",""
"XYL","2015-02-03T00:00:00-05:00","2015-02-03","33.64958","34.08185","33.48628","33.9954","1245896",""
"XYL","2015-02-04T00:00:00-05:00","2015-02-04","33.79367","33.97618","33.34219","33.5151","1428388",""
"XYL","2015-02-05T00:00:00-05:00","2015-02-05","33.50549","33.9954","33.05402","33.48628","2457231",""
"XYL","2015-02-06T00:00:00-05:00","2015-02-06","33.46707","34.005","33.38062","33.80328","2067784",""
"XYL","2015-02-09T00:00:00-05:00","2015-02-09","33.71682","34.26436","33.57273","33.72643","1903615",""
"XYL","2015-02-10T00:00:00-05:00","2015-02-10","33.8417","34.04343","33.63037","33.9954","1295553",""
"XYL","2015-02-11T00:00:00-05:00","2015-02-11","33.88013","33.9954","33.63998","33.86091","759426",""
"XYL","2015-02-12T00:00:00-05:00","2015-02-12","34.04343","34.26436","33.77446","34.20673","884661",""
"XYL","2015-02-13T00:00:00-05:00","2015-02-13","34.33287","34.82472","34.13034","34.7765","1096633",""
"XYL","2015-02-17T00:00:00-05:00","2015-02-17","34.70899","34.74757","34.26536","34.60291","866854",""
"XYL","2015-02-18T00:00:00-05:00","2015-02-18","34.60291","34.81507","34.41967","34.55469","645578",""
"XYL","2015-02-19T00:00:00-05:00","2015-02-19","34.41967","34.6897","34.28465","34.39074","999267",""
"XYL","2015-02-20T00:00:00-05:00","2015-02-20","34.33287","34.88258","34.11106","34.74757","799040",""
"XYL","2015-02-23T00:00:00-05:00","2015-02-23","34.6897","34.83436","34.30394","34.5354","969093",""
"XYL","2015-02-24T00:00:00-05:00","2015-02-24","34.46789","34.74757","34.42931","34.68006","757668",""
"XYL","2015-02-25T00:00:00-05:00","2015-02-25","34.6222","34.98867","34.6222","34.75721","817497",""
"XYL","2015-02-26T00:00:00-05:00","2015-02-26","34.7765","34.7765","34.37145","34.49682","940060",""
"XYL","2015-02-27T00:00:00-05:00","2015-02-27","34.43895","34.67041","34.31358","34.42931","687676",""
"XYL","2015-03-02T00:00:00-05:00","2015-03-02","34.39074","34.95974","34.27501","34.88258","853685",""
"XYL","2015-03-03T00:00:00-05:00","2015-03-03","34.74757","35.08511","34.66077","34.81507","846842",""
"XYL","2015-03-04T00:00:00-05:00","2015-03-04","34.6222","34.6222","34.25572","34.41967","1004348",""
"XYL","2015-03-05T00:00:00-05:00","2015-03-05","34.41967","34.6222","34.17857","34.31358","903872",""
"XYL","2015-03-06T00:00:00-05:00","2015-03-06","34.0532","34.31358","33.80245","33.91817","1785657",""
"XYL","2015-03-09T00:00:00-04:00","2015-03-09","33.97604","34.2075","33.86995","33.99533","880852",""
"XYL","2015-03-10T00:00:00-04:00","2015-03-10","33.57099","33.65779","33.34918","33.4649","1204678",""
"XYL","2015-03-11T00:00:00-04:00","2015-03-11","33.4842","33.4842","32.97306","33.34918","995016",""
"XYL","2015-03-12T00:00:00-04:00","2015-03-12","33.43597","34.01462","33.38775","33.91817","844975",""
