symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZION","2015-01-02T00:00:00-05:00","2015-01-02","27.98526","28.03407","27.38983","27.61434","2355353",""
"ZION","2015-01-05T00:00:00-05:00","2015-01-05","27.55577","27.55577","26.52109","26.57966","5457134",""
"ZION","2015-01-06T00:00:00-05:00","2015-01-06","26.55037","26.67727","25.35951","25.5645","9318763",""
"ZION","2015-01-07T00:00:00-05:00","2015-01-07","25.81829","26.03303","25.47664","25.79876","2827326",""
"ZION","2015-01-08T00:00:00-05:00","2015-01-08","26.06231","26.30634","25.95494","26.16969","1876210",""
"ZION","2015-01-09T00:00:00-05:00","2015-01-09","26.34539","26.34539","25.35951","25.4376","1922925",""
"ZION","2015-01-12T00:00:00-05:00","2015-01-12","25.37903","25.39856","24.94954","25.04715","1970461",""
"ZION","2015-01-13T00:00:00-05:00","2015-01-13","25.14477","25.35951","24.38339","24.61766","3813478",""
"ZION","2015-01-14T00:00:00-05:00","2015-01-14","24.26626","24.54933","23.80749","24.19793","4222241",""
"ZION","2015-01-15T00:00:00-05:00","2015-01-15","24.21745","24.37363","23.67083","23.9051","3373982",""
"ZION","2015-01-16T00:00:00-05:00","2015-01-16","23.88557","24.22721","23.87581","24.18817","3547219",""
"ZION","2015-01-20T00:00:00-05:00","2015-01-20","24.27602","24.37363","23.75868","23.80749","2420919",""
"ZION","2015-01-21T00:00:00-05:00","2015-01-21","23.76844","24.16865","23.65131","23.86605","2256800",""
"ZION","2015-01-22T00:00:00-05:00","2015-01-22","24.03199","24.79336","23.96366","24.66647","3074939",""
"ZION","2015-01-23T00:00:00-05:00","2015-01-23","24.6079","24.79336","24.17841","24.21745","1628186",""
"ZION","2015-01-26T00:00:00-05:00","2015-01-26","24.07104","24.54933","23.92462","24.52005","3948810",""
"ZION","2015-01-27T00:00:00-05:00","2015-01-27","23.68059","24.49077","23.21206","24.11984","4634794",""
"ZION","2015-01-28T00:00:00-05:00","2015-01-28","24.19793","24.79336","23.29014","23.29991","2891867",""
"ZION","2015-01-29T00:00:00-05:00","2015-01-29","23.34871","23.70011","23.15349","23.67083","2815442",""
"ZION","2015-01-30T00:00:00-05:00","2015-01-30","23.39752","23.79772","23.15349","23.38775","2542319",""
"ZION","2015-02-02T00:00:00-05:00","2015-02-02","23.54393","24.10032","23.32919","24.03199","2856933",""
"ZION","2015-02-03T00:00:00-05:00","2015-02-03","24.2565","24.82265","24.17841","24.69575","3055372",""
"ZION","2015-02-04T00:00:00-05:00","2015-02-04","24.54933","24.81289","24.17841","24.22721","2763706",""
"ZION","2015-02-05T00:00:00-05:00","2015-02-05","24.23698","25.12524","24.23698","25.0862","3153721",""
"ZION","2015-02-06T00:00:00-05:00","2015-02-06","25.42784","26.06231","25.36927","25.46688","3723428",""
"ZION","2015-02-09T00:00:00-05:00","2015-02-09","25.27166","25.58402","25.15453","25.18381","2411802",""
"ZION","2015-02-10T00:00:00-05:00","2015-02-10","25.23262","25.33023","24.94954","25.05692","1982549",""
"ZION","2015-02-11T00:00:00-05:00","2015-02-11","24.93978","25.16429","24.70551","24.90074","2133966",""
"ZION","2015-02-12T00:00:00-05:00","2015-02-12","25.06668","25.69139","24.90074","25.64259","2602045",""
"ZION","2015-02-13T00:00:00-05:00","2015-02-13","25.74996","26.04279","25.62306","25.69139","1758806",""
"ZION","2015-02-17T00:00:00-05:00","2015-02-17","25.67184","26.02378","25.45677","25.99445","2124278",""
"ZION","2015-02-18T00:00:00-05:00","2015-02-18","25.85758","25.98467","25.39811","25.45677","1553903",""
"ZION","2015-02-19T00:00:00-05:00","2015-02-19","25.27102","25.61318","24.95819","25.37856","1840318",""
"ZION","2015-02-20T00:00:00-05:00","2015-02-20","25.25147","25.84781","24.98752","25.74027","1925118",""
"ZION","2015-02-23T00:00:00-05:00","2015-02-23","25.75005","25.75005","25.48609","25.72072","2353001",""
"ZION","2015-02-24T00:00:00-05:00","2015-02-24","25.73049","26.11176","25.63273","25.86736","2311676",""
"ZION","2015-02-25T00:00:00-05:00","2015-02-25","25.85758","25.94557","25.79893","25.86736","1039481",""
"ZION","2015-02-26T00:00:00-05:00","2015-02-26","25.79893","25.92602","25.63273","25.83803","1385021",""
"ZION","2015-02-27T00:00:00-05:00","2015-02-27","25.92602","26.34638","25.75005","26.14109","2625198",""
"ZION","2015-03-02T00:00:00-05:00","2015-03-02","26.07265","26.51258","25.91624","26.5028","2149851",""
"ZION","2015-03-03T00:00:00-05:00","2015-03-03","26.16064","26.55168","26.16064","26.39526","3311878",""
"ZION","2015-03-04T00:00:00-05:00","2015-03-04","26.41482","26.62989","26.09221","26.62989","3297046",""
"ZION","2015-03-05T00:00:00-05:00","2015-03-05","26.73742","26.83519","26.27795","26.80586","2382154",""
"ZION","2015-03-06T00:00:00-05:00","2015-03-06","26.23885","27.12847","26.23885","26.72765","4961424",""
"ZION","2015-03-09T00:00:00-04:00","2015-03-09","26.75698","26.97205","26.61034","26.84496","1767078",""
"ZION","2015-03-10T00:00:00-04:00","2015-03-10","26.48325","26.67877","25.95534","25.95534","3041829",""
"ZION","2015-03-11T00:00:00-04:00","2015-03-11","25.97489","26.52235","25.90646","26.47347","3394734",""
"ZION","2015-03-12T00:00:00-04:00","2015-03-12","26.82541","27.49018","26.64944","27.41197","4674191",""
"ZION","2015-03-13T00:00:00-04:00","2015-03-13","27.39242","27.39242","26.59078","26.97205","2746515",""
"ZION","2015-03-16T00:00:00-04:00","2015-03-16","26.98182","27.14802","26.59078","26.82541","3426444",""
"ZION","2015-03-17T00:00:00-04:00","2015-03-17","26.57123","26.76675","26.45392","26.73742","4094814",""
"ZION","2015-03-18T00:00:00-04:00","2015-03-18","26.65922","26.94272","26.18019","26.53213","3862818",""
"ZION","2015-03-19T00:00:00-04:00","2015-03-19","26.45392","26.52235","25.8087","25.91624","3052979",""
"ZION","2015-03-20T00:00:00-04:00","2015-03-20","26.18997","26.85474","26.12153","26.83519","4362817",""
"ZION","2015-03-23T00:00:00-04:00","2015-03-23","26.83519","26.91339","26.5419","26.64944","1833874",""
"ZION","2015-03-24T00:00:00-04:00","2015-03-24","26.59078","26.62011","26.36593","26.48325","2000097",""
"ZION","2015-03-25T00:00:00-04:00","2015-03-25","26.5419","26.5419","25.87713","25.88691","1430847",""
"ZION","2015-03-26T00:00:00-04:00","2015-03-26","25.78915","26.18997","25.55453","26.13131","2525873",""
"ZION","2015-03-27T00:00:00-04:00","2015-03-27","26.014","26.15086","25.60341","25.82825","1651591",""
"ZION","2015-03-30T00:00:00-04:00","2015-03-30","25.97489","26.53213","25.90646","26.39526","1625098",""
"ZION","2015-03-31T00:00:00-04:00","2015-03-31","26.22907","26.45392","26.06288","26.39526","1451715",""
"ZION","2015-04-01T00:00:00-04:00","2015-04-01","26.40504","26.45392","26.04333","26.32683","1572725",""
"ZION","2015-04-02T00:00:00-04:00","2015-04-02","26.27795","26.58101","26.2193","26.5028","1498155",""
"ZION","2015-04-06T00:00:00-04:00","2015-04-06","26.08243","26.43437","25.61318","26.2975","1590933",""
"ZION","2015-04-07T00:00:00-04:00","2015-04-07","26.19974","26.73742","26.18997","26.60056","1936983",""
"ZION","2015-04-08T00:00:00-04:00","2015-04-08","26.57123","26.80586","26.36593","26.65922","2219000",""
"ZION","2015-04-09T00:00:00-04:00","2015-04-09","26.62011","26.97205","26.45392","26.91339","2055948",""
"ZION","2015-04-10T00:00:00-04:00","2015-04-10","26.90362","27.02093","26.57123","26.71787","1135328",""
"ZION","2015-04-13T00:00:00-04:00","2015-04-13","26.68854","27.17735","26.67877","27.0307","1596661",""
"ZION","2015-04-14T00:00:00-04:00","2015-04-14","26.84496","27.05026","26.65922","26.82541","1334080",""
"ZION","2015-04-15T00:00:00-04:00","2015-04-15","26.7863","27.4804","26.62989","27.29466","2073644",""
"ZION","2015-04-16T00:00:00-04:00","2015-04-16","27.26533","27.35331","26.90362","27.15779","1471252",""
"ZION","2015-04-17T00:00:00-04:00","2015-04-17","27.10891","27.21645","26.68854","26.77653","1856276",""
"ZION","2015-04-20T00:00:00-04:00","2015-04-20","26.87429","26.98182","26.58101","26.84496","2794592",""
"ZION","2015-04-21T00:00:00-04:00","2015-04-21","26.66899","27.00138","26.33661","26.61034","2612207",""
"ZION","2015-04-22T00:00:00-04:00","2015-04-22","27.12847","27.46085","26.68854","27.26533","2730865",""
"ZION","2015-04-23T00:00:00-04:00","2015-04-23","27.09914","27.29466","26.90362","27.07959","1546538",""
"ZION","2015-04-24T00:00:00-04:00","2015-04-24","27.0307","27.12847","26.79608","26.9916","1480561",""
"ZION","2015-04-27T00:00:00-04:00","2015-04-27","27.09914","27.35331","26.71787","26.87429","1935858",""
"ZION","2015-04-28T00:00:00-04:00","2015-04-28","26.93295","27.32399","26.61034","27.25555","1463580",""
"ZION","2015-04-29T00:00:00-04:00","2015-04-29","27.14802","27.81279","27.09914","27.65637","2717669",""
"ZION","2015-04-30T00:00:00-04:00","2015-04-30","27.53906","28.00831","27.09914","27.69547","2815255",""
"ZION","2015-05-01T00:00:00-04:00","2015-05-01","27.88122","27.97898","27.56839","27.6857","1928493",""
"ZION","2015-05-04T00:00:00-04:00","2015-05-04","27.76391","28.1354","27.65637","28.10607","1872233",""
"ZION","2015-05-05T00:00:00-04:00","2015-05-05","28.07674","28.42868","27.94965","27.99853","2080805",""
"ZION","2015-05-06T00:00:00-04:00","2015-05-06","28.11584","28.2136","27.90077","28.1354","1993550",""
"ZION","2015-05-07T00:00:00-04:00","2015-05-07","28.00831","28.11584","27.75413","27.93987","3619672",""
"ZION","2015-05-08T00:00:00-04:00","2015-05-08","28.06696","28.1745","27.79324","28.07674","1951304",""
