symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZTS","2015-01-02T00:00:00-05:00","2015-01-02","42.54533","42.78028","42.16353","42.39848","1823171",""
"ZTS","2015-01-05T00:00:00-05:00","2015-01-05","42.33974","42.71175","42.06564","42.14396","3183603",""
"ZTS","2015-01-06T00:00:00-05:00","2015-01-06","42.24185","42.44743","41.40974","41.7328","4072715",""
"ZTS","2015-01-07T00:00:00-05:00","2015-01-07","42.09501","42.64322","42.07543","42.59427","2535258",""
"ZTS","2015-01-08T00:00:00-05:00","2015-01-08","43.80818","43.92565","43.07396","43.25017","3188302",""
"ZTS","2015-01-09T00:00:00-05:00","2015-01-09","43.1327","43.5047","42.7607","43.3187","3063577",""
"ZTS","2015-01-12T00:00:00-05:00","2015-01-12","43.40681","43.40681","42.37891","42.50616","2214813",""
"ZTS","2015-01-13T00:00:00-05:00","2015-01-13","42.96627","43.28933","41.67406","41.90901","3747368",""
"ZTS","2015-01-14T00:00:00-05:00","2015-01-14","41.60553","42.32017","41.39995","42.12437","2534645",""
"ZTS","2015-01-15T00:00:00-05:00","2015-01-15","42.35933","42.8488","41.99711","42.03627","2777659",""
"ZTS","2015-01-16T00:00:00-05:00","2015-01-16","41.89922","43.35786","41.86985","43.28933","2820869",""
"ZTS","2015-01-20T00:00:00-05:00","2015-01-20","43.32169","43.35112","42.38994","42.72341","3538967",""
"ZTS","2015-01-21T00:00:00-05:00","2015-01-21","42.73322","43.77286","42.60571","43.40016","2030904",""
"ZTS","2015-01-22T00:00:00-05:00","2015-01-22","43.49824","43.95921","42.81168","43.65516","2971672",""
"ZTS","2015-01-23T00:00:00-05:00","2015-01-23","43.68459","43.93959","43.12554","43.27266","2942002",""
"ZTS","2015-01-26T00:00:00-05:00","2015-01-26","43.19419","43.45901","43.00784","43.24323","1964529",""
"ZTS","2015-01-27T00:00:00-05:00","2015-01-27","42.76264","43.05688","42.38013","42.4684","3067105",""
"ZTS","2015-01-28T00:00:00-05:00","2015-01-28","42.89014","43.43939","42.24282","42.28205","2472587",""
"ZTS","2015-01-29T00:00:00-05:00","2015-01-29","42.18397","42.8313","41.74262","42.48802","5023784",""
"ZTS","2015-01-30T00:00:00-05:00","2015-01-30","42.35071","42.72341","41.82108","41.90935","3208521",""
"ZTS","2015-02-02T00:00:00-05:00","2015-02-02","42.20359","42.54687","41.55626","42.54687","2178539",""
"ZTS","2015-02-03T00:00:00-05:00","2015-02-03","42.67437","42.96861","42.37033","42.66456","5006961",""
"ZTS","2015-02-04T00:00:00-05:00","2015-02-04","43.01765","43.19419","42.38994","42.62533","5202822",""
"ZTS","2015-02-05T00:00:00-05:00","2015-02-05","42.7136","43.23343","42.29186","42.56649","3538865",""
"ZTS","2015-02-06T00:00:00-05:00","2015-02-06","42.60571","43.39035","42.44879","42.82149","5513897",""
"ZTS","2015-02-09T00:00:00-05:00","2015-02-09","42.66456","42.82149","41.84069","42.04666","4554572",""
"ZTS","2015-02-10T00:00:00-05:00","2015-02-10","42.30167","43.16477","41.98782","43.06669","4192825",""
"ZTS","2015-02-11T00:00:00-05:00","2015-02-11","44.09652","45.23425","44.01806","44.89097","7209461",""
